 [1] " one funny entertaining comedies year just happens animated "                                                                                                                                                        
 [2] " great voice commentaries hollywoods famous celebrities fabulous animation compelling story "                                                                                                                        
 [3] " best weve seen disney since beauty beast "                                                                                                                                                                          
 [4] " film begins unspecified time following happilyeverafter conclusion toy story "                                                                                                                                      
 [5] " aftermath earlier adventures buzz voice tim allen woody voice tom hanks now fast friends toys live perfect harmony content lives "                                                                                  
 [6] "one day andy broke woodys arm playing "                                                                                                                                                                              
 [7] "woody now officially discarged worthless left nightmares lies trash can discards "                                                                                                                                   
 [8] "later andys mother decides yard sale collects old toys sons room "                                                                                                                                                   
 [9] "since one discards member moving toy gang woody goes rescue leaving safety house uncertainty front lawn order bring toy back "                                                                                       
[10] "although mission successful placed serious predicament toy collector named al voice wayne knight spies woody hunting wares available sale "                                                                          
[11] " cowboy toy represents final collectible needed complete collection merchandise old tv series woodys roundup "                                                                                                       
[12] " can acquire woody al can ship everything toy museum japan huge profit "                                                                                                                                             
[13] " andys mother refuses sell wooden cowboy al steals toys led buzz go city save friend "                                                                                                                               
[14] " buzz rex voice wallace shawn hamm voice john ratzenberger mr potatohead voice don rickles slinky voice jim varney go dangerous journey rescue friend find confronting things like busy streets buzz lightyear toys "
[15] " car chases gun fights finally confrontation buzz nemesis way resembles darth vader "                                                                                                                                
[16] "meanwhile woody learns tv celebrity family cowgirl named jessie voice joan cusack horse named bullseye father figure called prospector voice kelsey grammar "                                                        
[17] " offer another life celebrity toy museum japan "                                                                                                                                                                     
[18] " now forced choose loved intensively andy little grows forgotten admired children generations "                                                                                                                      
[19] " problem woody escapes als clutches returns home will end back lonely darkness storage "                                                                                                                             
[20] " real effort made technical department "                                                                                                                                                                             
[21] " animation rich colorful lots wonderful details cinematography also extremely improved since toy story lot complicated swings turns closeups really make impression "                                                
[22] "lighting filters used create mood surprisingly emotional moment jessies remembrance days beloved toy film contains lot inside jokes one videogames entertaining parodies jurassic park star wars "                   
[23] " film ends failed takes kind scenes used see comedy shows tv "                                                                                                                                                       
[24] " outtakes funniest scenes film "                                                                                                                                                                                     
[25] " end makes toy story memorable experience jokes multiple parodies marvelous animation "                                                                                                                              
[26] " heart emotions story meaning friendship love even life "                                                                                                                                                            
[27] " difficult predict toy story huge economical success artistic achievement unexpected "                                                                                                                               
[28] "unexpected first film wasnt much demonstration special effects "                                                                                                                                                     
[29] " mostly unexpected disney hasnt produced anything spectacular years constantly surpassed companies dreamworks warner brs "                                                                                           
[30] " director changed atmosphere film making accessible interesting persons older years "                                                                                                                                
[31] " big stepaway ancient laws disneyanimation "                                                                                                                                                                         
[32] " course antz intelligent landmark masterpiece promise youll find funny enjoyable "                                                                                                                                   
[33] "whether best animated film year dare say "                                                                                                                                                                           
[34] " choice probably iron giant along side american pie comedy year "                                                                                                                                                    
[35] " almost lost hopes disney toy story proves disney hasnt lost ability entertain "                                                                                                                                     
