 [1] " many childrens films treat target audience utter contempt "                                                                                                                                                                           
 [2] " many write direct childrens movies assume kids just cant handle serious thoughtful discussions meaningful issues "                                                                                                                    
 [3] " iron giant directed cowritten brad bird late animated series simpsons king hill assumes can children handle discussions can entertained time "                                                                                        
 [4] " iron giant holds absolutely contempt young people audience making film thats enjoyable children adults alike "                                                                                                                        
 [5] "hogarth hughes voice eli marienthal spirited young lad lives hardworking single mother annie jennifer aniston small town maine "                                                                                                       
 [6] " staying late watching scary movies night mother away hogarth treks forest investigate stolen antenna ruined tv reception "                                                                                                            
 [7] " comes across giant robot vin diesel space eats metal food "                                                                                                                                                                           
 [8] " saving robot nicknamed iron giant electric shock hogarth befriends creature takes pet sorts "                                                                                                                                         
 [9] " damage suffered upon landing giant forgotten original mission just follows hogarth around like lost puppy "                                                                                                                           
[10] "realizing cant just keep giant barn time giant needs food takes junkyard owned dean harry connick jr eccentric artist assembles sculptures scrap iron spare time "                                                                     
[11] " soon becomes apparent dean hogarth cant keep giant secret forever government spook named kent mansley christopher mcdonald brought investigate mysterious sightings surrounding forest area considers giant threat national security "
[12] " suspects hogarth knows something giant takes residence hogarths house lodger "                                                                                                                                                        
[13] "meanwhile giant begins exhibit ominous behavior suggests built weapon kind "                                                                                                                                                           
[14] " iron giant exactly family films doesn t talk audience "                                                                                                                                                                               
[15] " story simple simple alien drops sky befriends young boy "                                                                                                                                                                             
[16] " similar spielberg classic e t comparisons actually deserved case iron giant "                                                                                                                                                         
[17] " film holds many better elements spielbergs film ability sentimental without turning sappy "                                                                                                                                           
[18] " film delivers several serious messages important ones ability choose ones fate "                                                                                                                                                      
[19] "hogarth teaches giant go programming become wants hero "                                                                                                                                                                               
[20] " final sequence touching appropriate though wont give away will say will disappointed "                                                                                                                                                
[21] " animation disney standards tarzan good enough make forget youre watching cartoon "                                                                                                                                                    
[22] " giant computeranimated human characters handdrawn oldfashioned way "                                                                                                                                                                  
[23] " characters faces done quite well drawn realistically enough make personalities credible features exaggerated allow cartoonish expressions provide comic relief "                                                                      
[24] "fine voice work turned young eli marienthal hogarth jennifer aniston surprisingly convincing waitress mother "                                                                                                                         
[25] "harry connick jr nice characterization dean really enjoyed voice work john mahoney tvs frasier army general called agent mansley "                                                                                                     
[26] "unlike several cartoon features character actually developed personality rather stereotype actually integral plot rather superfluous comicrelief sidekick clich disney still hasnt ditched "                                           
[27] "dean example stereotypical beatnik character profile seems suggest presented character real emotions thoughts motivations "                                                                                                            
[28] "even heavy agent mansley villain bad things simply wants fear paranoia "                                                                                                                                                               
[29] " lesser animated feature drawn paperthin stereotypes figure kids wont mind iron giant clearly put little work making characters real pays "                                                                                            
[30] " film isnt around deliver heavyhanded messages though "                                                                                                                                                                                
[31] " also funny humor kind children adults will enjoy "                                                                                                                                                                                    
[32] " scenes hogarth teaches giant certain things dive pool handled well director brad bird clearly sense comic timing worked simpsons many years "                                                                                         
[33] " sequence hogarth mansley attempt outlast one another trying stay awake nicely timed also extremely clever "                                                                                                                           
[34] " film even takes jabs americas nuclear paranoia early stages cold war satirizing lame safety films shown grade school students tell duck cover event nuclear attack "                                                                  
[35] " iron giant much satirical edge family films edgy humor actually quite refreshing "                                                                                                                                                    
[36] "instead seeing people get bonked head get welltimed clever gags seem required imagination come "                                                                                                                                       
[37] " get right iron giant story boy robot "                                                                                                                                                                                                
[38] " story straightforward quaint ultimately becomes charming "                                                                                                                                                                            
[39] "though enjoy complex plotting film noir much next person comes family entertainment simple way go "                                                                                                                                    
[40] " akin one bedtime stories father told hanging every word story sets film others kind rather elements go story namely real characters thoughtful dialogue iron giant spades "                                                           
