 [1] " arguably anticipated movie century george lucas achieved mixed reaction sure blockbuster "                                                        
 [2] "despite fact script plot bit let entire movie whole can considered milestone technical excellence sound special effects department "               
 [3] " terms characters far outstanding interesting queen amidala natalie portman whose mature performance far exceeds tender years age "                
 [4] " one hot babe defines true woman leadership "                                                                                                      
 [5] " presence knows take command situation save planet ruination "                                                                                     
 [6] " thanks jedi knights although led force lack leadership qualities terms thinking plan anything "                                                   
 [7] " young obiwan kenobi ewan mcgregor bad hair day every scene gets kill bad guy end lacks love interest make desirable sort hero "                   
 [8] " fact jedi knight bit asexual must something force makes hermits loners "                                                                          
 [9] " mean interesting see yodas girlfriend change one "                                                                                                
[10] " much better quigon jinn liam neeson mostly broods better hair obiwan find young anakin skywalker make biggest mistake life "                      
[11] "also fascinating george lucas metoclorian theory claims microorganisms live within cells tie us fabric universe "                                  
[12] " high concentrations organisms individual make particularly powerful force "                                                                       
[13] " humerous claims immaculate conception darth vader doubt concept stolen christian faith except will christmas celebrate birth dark emissary force "
[14] "overall experience missed fact predecessor almost command viewing inferior successor "                                                             
[15] " means pinnacle star wars phenomena adequate addition clan "                                                                                       
[16] "watch next one one steamy encounter queen amidala anakin skywalker believe portrayed leonardo di caprio "                                          
