 [1] "susan grangers review closet miramax films "                                                                                                                                        
 [2] " hilarious french farce shy boring accountant daniel auteil named francois pignon discovers hes going fired job condom factory "                                                    
 [3] "lonely distraught contemplates suicide "                                                                                                                                            
 [4] " runs belone michel aumont elderly homosexual neighbor suggests sex discrimination lawsuit intimidate management "                                                                  
 [5] " evidence belone concocts provocative photographs pignon locked leatherclad embrace another man mails anonymously pignons boss "                                                    
 [6] " racy snapshots start circulating around factory pignon get job back suddenly finds focus attention openly gay man "                                                                
 [7] " lusty supervisor michele laroque intrigued wonders perhaps change sexual preferences "                                                                                             
 [8] "even exwife alexandra vandernoot indifferent teenage son stanislas crevillen drop disdain "                                                                                         
 [9] " everyone enchanted "                                                                                                                                                               
[10] " mucho macho coworker felix gerard depardieu selfrighteous homophobe stunned repulsed hes forced pr director thierry lhermite grovel court pignons friendship risk losing job "     
[11] "writerdirector francis verber artfully milks farcical comedy dissects hypocrisy political correctness veering offtrack occasionally pedophilia "                                    
[12] "daniel auteuil widow saintpierre delightful particularly blownup condom perched head riding float gay pride parade gerard depardieu delivers one restrained effective performances "
[13] " granger movie gauge closet frankly sexual adult "                                                                                                                                  
[14] " clever fact hollywood already planning remake english like la cage aux folles "                                                                                                    
