 [1] " happened "                                                                                                                                                                                                                                                                       
 [2] " movie well scripted well acted well directed "                                                                                                                                                                                                                                   
 [3] " involving suspenseful "                                                                                                                                                                                                                                                          
 [4] " even unexpected twist end packs punch like blow solar plexus "                                                                                                                                                                                                                   
 [5] " order accept premise one must also accept spiritual lie "                                                                                                                                                                                                                        
 [6] " sixth sense movie "                                                                                                                                                                                                                                                              
 [7] "starring bruce willis armageddon child psychologist haley joel osment forrest gump troubled youngster sixth sense spooky scary though contain disturbing images designed startle "                                                                                                
 [8] "eightyearold cole sear osment sees dead people "                                                                                                                                                                                                                                  
 [9] " just dreams "                                                                                                                                                                                                                                                                    
[10] " just lifeless bodies "                                                                                                                                                                                                                                                           
[11] " sees walking around like regular people "                                                                                                                                                                                                                                        
[12] " sees time "                                                                                                                                                                                                                                                                      
[13] "dr malcolm crowe willis trying help "                                                                                                                                                                                                                                             
[14] " recognizes cole many attributes one earlier patients crowe failed resulting patient shooting crowe turning gun "                                                                                                                                                                 
[15] " crowe manage find way help cole believes just might able put demons rest "                                                                                                                                                                                                       
[16] " first needs gain coles trust "                                                                                                                                                                                                                                                   
[17] " boy frightened sees closed emotionally unwilling tell anyone "                                                                                                                                                                                                                   
[18] " crowe even mother toni collette clockwatchers "                                                                                                                                                                                                                                  
[19] " secrets "                                                                                                                                                                                                                                                                        
[20] "crowe begins spend time even marriage starts dissolve around wife anna olivia williams rushmore becoming cold distant neglect preoccupation boy "                                                                                                                                 
[21] "bruce willis underplays role allowing excellent script work building character development "                                                                                                                                                                                      
[22] "crowe moves treating troubled boy wont communicate treating troubled boy hallucinations wondering perhaps isnt truth behind boy sees "                                                                                                                                            
[23] "mr willis serviceable job letting focus remain story instead familiar action hero screen persona "                                                                                                                                                                                
[24] "elevenyearold haley joel osment manages impress us performance "                                                                                                                                                                                                                  
[25] " demonstrates amazing amount selfcomposure well ability play nuances complex character seasoned pro "                                                                                                                                                                             
[26] " fine work one tender age "                                                                                                                                                                                                                                                       
[27] "keep eye young man "                                                                                                                                                                                                                                                              
[28] " supporting cast also quite effective "                                                                                                                                                                                                                                           
[29] "toni collette confused frightened frustrated mother cant understand happening child olivia williams crowes loving wife shutting emotionally due lack attention husband donnie wahlberg ransom crowes expatient now grown illustrates doctors failure help vivid terms imaginable "
[30] "twentyeight year old m night shyamalan wide awake directed script maintaining proper tension throughout film crafting storytelling expertly films full impact reached final moments surprising revelation forces reevaluation preceded "                                          
[31] " rare movie manages pull mr shyamalan one responsible certainly commended "                                                                                                                                                                                                       
[32] " giving sixth sense favorable three star review craftsmanship artistic merit must also point spiritually speaking film highly misleading "                                                                                                                                        
[33] " scriptural foundation upon base belief ghosts living dead "                                                                                                                                                                                                                      
[34] " concept death doorway another plane existence devilish lie around long man "                                                                                                                                                                                                     
[35] " first lie recorded bible devised serpent assured eve thou shall surely die direct contradiction gods admonition "                                                                                                                                                                
[36] " lie perpetuated ad infinitum throughout ages "                                                                                                                                                                                                                                   
[37] "scriptures speak time dead shall rise wonderful demonstration victory death will commence second coming christ "                                                                                                                                                                  
[38] " event yet occurred "                                                                                                                                                                                                                                                             
[39] "therefore dead remain state oblivion consciousness longawaited time final trump shall sound "                                                                                                                                                                                     
[40] " youll need six senses register joy rejoicing will resound throughout heavens "                                                                                                                                                                                                   
