 [1] " jaws rare film grabs attention shows single image screen "                                                                                                                                                                                
 [2] " movie opens blackness distant alienlike underwater sounds "                                                                                                                                                                               
 [3] " comes first ominous bars composer john williams now infamous score "                                                                                                                                                                      
 [4] "dahdum "                                                                                                                                                                                                                                   
 [5] " director steven spielberg wastes time taking us water midnight swim beautiful girl turns deadly "                                                                                                                                         
 [6] "right away lets us know vulnerable floating ocean jaws attacked never relinquishes grip "                                                                                                                                                  
 [7] "perhaps outstanding jaws spielberg builds movie "                                                                                                                                                                                          
 [8] " works like theatrical production first act second act "                                                                                                                                                                                   
 [9] "unlike many modern filmmakers great deal restraint refuses show us shark middle second act "                                                                                                                                               
[10] " merely suggests presence creepy subjective underwater shots williams music "                                                                                                                                                              
[11] "hes building tension bit bit comes time climax sharks arrival truly terrifying "                                                                                                                                                           
[12] " doesnt let us get bored imagery "                                                                                                                                                                                                         
[13] " first act opens police chief martin brody roy scheider new york cop taken easy peaceful job running police station amity island fictitious new england resort town hasnt murder gun fired years "                                         
[14] " island shaken several vicious great white shark attacks right fourth july mayor larry vaughn murray hamilton doesnt want shut beaches island reliant summer tourist money "                                                               
[15] "brody joined matt hooper richard dreyfuss young ambitious shark expert marine institute "                                                                                                                                                  
[16] "hooper fascinated shark determined help brody stop knowledge exact workings shark perfect engine eating machine make much terrifying "                                                                                                     
[17] " vaughn finally relents hooper brody join crusty old shark killer named quint robert shaw decrepit boat orca search shark "                                                                                                                
[18] " entire second act takes place orca three men hunt shark inevitably hunted "                                                                                                                                                               
[19] " jaws thriller keen sense humor incredible sense pacing tension horror "                                                                                                                                                                   
[20] " like ten movies rolled one wonder took america storm summer taking enough money crown box office champ time unceremoniously dethroned star wars "                                                                                         
[21] "even today fascination film par hitchcocks psycho never seems age "                                                                                                                                                                        
[22] "although grand new technology exists makes technical sequences including several mechanical sharks obsolete none improve film lead overkill "                                                                                              
[23] " technical limitations faced spielberg may actually produced better film forced rely traditional cinematic elements like pacing characterization sharp editing creative photography instead simply dousing audience digital shark effects "
[24] "scheider dreyfuss shaw known actors time jaws made none draw robert redford paul newman "                                                                                                                                                  
[25] "nevertheless film guaranteed successful careers gave outstanding performance refused overshadowed shark "                                                                                                                                  
[26] "scheider hits just right notes sympathetic husband father caught political quagmire whats right going entire town "                                                                                                                        
[27] " first summer know mayor vaughn warns "                                                                                                                                                                                                    
[28] "dreyfuss previously seen american graffiti apprenticeship duddy kravitz gives surprisingly mature complex performance someone literally played kids teenagers "                                                                            
[29] "however outstanding gnarled performance robert shaw movies captain ahab performance sorely overlooked academy awards "                                                                                                                     
[30] "bordering parody shaw plays quint grizzled old loner whose machismo borders masochism "                                                                                                                                                    
[31] "hes slightly deranged shaws performance almost caricature "                                                                                                                                                                                
[32] "however one scene late film brody hooper deck orca comparing scars "                                                                                                                                                                       
[33] "quint drawn telling story experiences aboard u s s "                                                                                                                                                                                       
[34] "indianapolis navy ship world war ii sunk japanese "                                                                                                                                                                                        
[35] " tale floating water week men swarms sharks slowly devoured actually hairraising anything spielberg put screen "                                                                                                                           
[36] "shaw delivers story one long take best acting film "                                                                                                                                                                                       
[37] " course cant leave shark black eyes endless rows teeth insatiable urge eat basically epitome mankinds fears unknown threatening nature "                                                                                                   
[38] " shark perfect nemesis real survived sinch dinosaurs great whites exist can large shark jaws threat "                                                                                                                                      
[39] "every one spielbergs subjective underwater shots makes us feel queasy lets us see look shark bunch writihing dangling completely unprotected legs just ready chomped "                                                                     
[40] " shark jaws actually combination actual footage five different mechanical sharks nicknamed bruce crew built shot different angles "                                                                                                        
[41] "many forgotten jaws sort precursor waterworld movies soggy production cost overruns universal studios worried bomb "                                                                                                                       
[42] " can see now spielberg overcame obstacles delivered one finest primal scarethrillers ever come hollywood "                                                                                                                                 
