 [1] "seen may p m crossgates cinema guilderland n y theater brother john "                                                                                                           
 [2] "theater rating excellent seats sound picture "                                                                                                                                  
 [3] " critics note review longest ive ever written still scratches surface "                                                                                                         
 [4] "id recommend read seen film form critical analysis "                                                                                                                            
 [5] " friend fellow film critic ted prigge said review phantom menace even write review "                                                                                            
 [6] "never mind fact ive waiting new star wars movie since seven years old "                                                                                                         
 [7] "never mind fact everyone internet already dissected discussed movie even released "                                                                                             
 [8] "never mind theres much going movie terms plot action special effects longterm story analyze every aspect take lot time energy still wouldnt cover everything "                  
 [9] " also like ted reviews ill try review way different usual reviews instead write casually possible talking directly reader "                                                     
[10] " can begin analyzing specific aspects film many general significant factors must considered get specifics film skip next four paragraphs "                                      
[11] " made obvious last several years another trilogy films will produced account missing initial three installments star wars series first films actually episode four one "        
[12] "george lucas creator series probably just assumed people know firstproduced trilogy star wars empire strikes back return jedi actually second trilogy chronologically "         
[13] " media interviews past explained movies made order cant recall reasons "                                                                                                        
[14] " new film writer director also assumed viewers least vaguely familiar storylines significant plot points first trilogy err "                                                    
[15] "second trilogy "                                                                                                                                                                
[16] "well know mean "                                                                                                                                                                
[17] " order review thorough many significant points must mentioned unfortunately may serve spoilers proceed caution "                                                                
[18] "critics note one personal policy intentionally analyze spoilers like reviews able make sense reader viewing film reviewed nearly impossible film justice without breaking rule "
[19] "critics note reviewing film also breaks universal critics law reviewing movies roger ebert coined movie "                                                                       
[20] " many outside factors come play films plot significance part trilogy just considering modern society difficult impossible simply review film completely autonomous story "      
[21] "first catalog know film even going "                                                                                                                                            
[22] " know young anakin skywalker will grow become evil ruler darth vader also father luke skywalker will lead successful revolution empire "                                        
[23] " know obiwan ben kenobi trainer anakin ways force attempts become jedi knight fail thus anakin fall dark side "                                                                 
[24] " also know something force kind universal force determines fate can manipulated whose minds expanded enough believe feel jedi "                                                 
[25] " dont know sure history ruling galaxy likely much longer complex government earth "                                                                                             
[26] " one fascinating aspects first three films seemed subtle definite order complexity "                                                                                            
[27] "also seems supposed familiar details story come thousands comic books paperbacks published years since movies ended "                                                           
[28] " notably details regarding emperor empire jedi senator last name palpatine "                                                                                                    
[29] " havent kept star wars paraphernalia years still way know details simply recognizing actor voice least "                                                                        
[30] " phantom menace first chapter long saga one assume basic groundwork laid including history behind major factors series especially force jedi knights "                          
[31] "unfortunately film opposite simply builds top must history long detailed never explained "                                                                                      
[32] " didnt liked aspect film one reasons falls just short greatness "                                                                                                               
[33] " youre going tell story beginning tell beginning possible trilogy complete another trilogy episodes clarify back story even "                                                   
[34] " digress "                                                                                                                                                                      
[35] "ive said much yet havent even touched specifics film "                                                                                                                          
[36] " necessary disclaiming elements go show just vast story star wars series individual film "                                                                                      
[37] " get movie unlike three weve come know love since late s "                                                                                                                      
[38] " similarity films helps keep spirit series familiar time seems flaw filmmaking process since sometimes rings unoriginality "                                                    
[39] " basic story rather sorted complex even confusing times "                                                                                                                       
[40] " told army known trade federation set blockade around seemingly insignificant planet called naboo "                                                                             
[41] " given many details clarify back story federation purpose instead film opts get story moving quickly "                                                                          
[42] " introduced two jedi master quigon jinn neeson apprentice obiwan kenobi mcgregor "                                                                                              
[43] " two acting ambassadors sort hopes ending obvious hostility federation planets queen amidala portman "                                                                          
[44] " leader federation alien called viceroy following orders strange mythical character older human man whose face body covered shadowed black robe hood wears "                    
[45] " referred lord sidious considering appearance especially creepy evil voice obviously one significant characters series "                                                        
[46] "sidious communicates viceroy digital transmissions never person "                                                                                                               
[47] "clearly actual whereabouts something wants keep secret also reveal identity never openly revealed film clear viewers "                                                          
[48] " feeling well delve background next two films "                                                                                                                                 
[49] " doesnt take film long spring action within minutes hero jedi fighting lives films story begins move along "                                                                    
[50] " film doesnt one specific plot works manner films series get one miniplot adventure top another "                                                                               
[51] " many miniplotswithinplots film describe gives movie hook "                                                                                                                     
[52] " films relied type storytelling limits technology time films screenplays also limiting "                                                                                        
[53] " sense limitlessness gives phantom menace unique traits "                                                                                                                       
[54] " already know film takes place least generation two original star wars trilogy means lot background unclear andor unexplained may cleared beginning vast epic story "           
[55] " significant storyline involving discovery yearold anakin skywalker lloyd quigon jinn introduction jedi council "                                                               
[56] " briefly summarize story jinn stumbles upon skywalker attempt buy parts queen amidalas spaceship damaged efforts free federation "                                              
[57] " meeting tatooine mostly chance course jinn chalks will force "                                                                                                                 
[58] "jinn can feel skywalker great natural power force another subplot involving bet skywalker fantastic race will enter details significance begin reveal "                         
[59] " also provides new elaboration explanation force never mentioned "                                                                                                              
[60] " fact seems something important upsetting never mentioned "                                                                                                                     
[61] " element seriously undermines mystical aspect force transforms something physical scientific completely unnecessary "                                                           
[62] " films third act major significant elements become tied together rather familiar execution plot "                                                                               
[63] " funny reality star wars world seems embedded mythology new agelike philosophy religion yet solution major conflicts series violence "                                          
[64] " technique hasnt used movies reallife situations countless times throughout history "                                                                                           
[65] " least spirit ultimate powers good versus evil fun exciting matter "                                                                                                            
[66] " border cartoonish sometimes thats just film appealing inner child basic reason entire saga exists become big part modern society "                                             
[67] " phantom menace delivers exactly youd expect star wars film succeeds well always never truly achieves greatness "                                                               
[68] " many things film weve seen done heart filmmakers concentrated just bit story character limited "                                                                               
[69] " film far bad least embraces spirit sheer fun movies "                                                                                                                          
