 [1] " brief film needs introduction "                                                                                                                                                                                                   
 [2] " havent heard must space sabbatical havent seen well suspect youre small minority "                                                                                                                                                
 [3] "first things first hyped "                                                                                                                                                                                                         
 [4] "well yes "                                                                                                                                                                                                                         
 [5] " good film theres lot like without problems "                                                                                                                                                                                      
 [6] " saw first trailer titanic went see bean last summer think intial reaction aint downright sick make disaster movie dreadful reallife tragedy "                                                                                     
 [7] " mean whats happened hollywoods scriptwriters run entirely new ideas "                                                                                                                                                             
 [8] "gads whatever next asked action film based hiroshima starring jean claude van damme "                                                                                                                                              
 [9] " entirely filled anticipation wasnt alone respect "                                                                                                                                                                                
[10] " came cinema rave reviews well mostly anyone whod see seemed disturbingly obsessed started take notice "                                                                                                                           
[11] " didnt see film several months release time sister seen four times "                                                                                                                                                               
[12] " went slightly open mind still didnt think id enjoy much "                                                                                                                                                                         
[13] " yes "                                                                                                                                                                                                                             
[14] "mainly yes im happy say "                                                                                                                                                                                                          
[15] " first hour beautifully done much scripting ill talk later recreated ship sets stunning look camerons directing performances principal cast strong human aspect story romance rose kate winslet jack leonardo dicaprio enchanting "
[16] " film told via flashback gloria stuart playing elderly rose modern day knew course "                                                                                                                                               
[17] " "                                                                                                                                                                                                                                 
[18] "well often effective device use storytelling though sometimes can fall flat "                                                                                                                                                      
[19] " work "                                                                                                                                                                                                                            
[20] " script form doesnt add much story "                                                                                                                                                                                               
[21] " add lot story gloria stuart whose stunning performance strongest moving film "                                                                                                                                                    
[22] " presence brings much deeper level passion depth story though appearances relatively brief film suffered without "                                                                                                                 
[23] "also impressive dicaprio winslet wholly succeed rising often poor dialogue bond form heartfelt moving "                                                                                                                            
[24] " old story know forbidden love ala romeo juliet works jacks rescuing rose literal figurative senses teaching live life counts pointed touching "                                                                                   
[25] " fact enjoyed first half film lot largely winslet dicaprio bring charm energy romance "                                                                                                                                            
[26] " engaging touching enjoyable "                                                                                                                                                                                                     
[27] "theres tinge poignancy well simply know going happy ending "                                                                                                                                                                       
[28] " leads us second half film "                                                                                                                                                                                                       
[29] " knew coming "                                                                                                                                                                                                                     
[30] "im sure director cameron looking forward eager anticipation hes stated interviews real thrust story sinking jackrose romance merely manipulative plot device get emotionally film "                                                
[31] " think understates importance romance found far enjoyable hour watching people die "                                                                                                                                               
[32] " iceberg arrives captain announces titanic will sunk hour "                                                                                                                                                                        
[33] " hour "                                                                                                                                                                                                                            
[34] " goodness dont miss second hour "                                                                                                                                                                                                  
[35] "gratuitous well perhaps todays standards im sure theres far worse produced banner entertainment films "                                                                                                                            
[36] " certainly wasnt prepared shocking graphic last hour "                                                                                                                                                                             
[37] " id expect word understatement part camerons vocabulary brought us umm vivid films terminator aliens "                                                                                                                             
[38] " overdone "                                                                                                                                                                                                                        
[39] " thought "                                                                                                                                                                                                                         
[40] "understatement can sometimes work wonders conveying tragedy "                                                                                                                                                                      
[41] " one expected happy ending didnt quite expect horrendously shocking powerful scenes bombarded throughout films second half "                                                                                                       
[42] "still whether overdone heavyhanded shockfactor cameron worked shocked moved fact spent last hour tears "                                                                                                                           
[43] " really couldnt help get emotionally involved whether wishing someone knock dreadfully psychotic fiance roses overboard desperately hoping rose rescue jack jack rescue rose survive "                                             
[44] "perhaps harrowing scene ship sunk sunk along ship freeze death water surface "                                                                                                                                                     
[45] " bit rose lets go jacks hand promising shell never let go heart particularly heartwrenching sight rescue boats sailing amid ocean corpses pretty powerful image put fine point "                                                   
[46] " loved ending however moving slightly uplifting following horror past hour half "                                                                                                                                                  
[47] " weve established film powerful moving last hour rather excessive "                                                                                                                                                                
[48] "havent mentioned script "                                                                                                                                                                                                          
[49] "plotwise ok though jackrose relationship beautifully developed ive feeling thats actors credit anything "                                                                                                                          
[50] " dialogue well titanic set "                                                                                                                                                                                                       
[51] " period drama "                                                                                                                                                                                                                    
[52] " saw little indication period far dialogue concerned "                                                                                                                                                                             
[53] " really use phrases like goddamn "                                                                                                                                                                                                 
[54] "back turn century "                                                                                                                                                                                                                
[55] " doubt "                                                                                                                                                                                                                           
[56] " someone talk like ya love guy "                                                                                                                                                                                                   
[57] " doubt "                                                                                                                                                                                                                           
[58] " dialogue saw iceberg see eyes now just bit clumsy "                                                                                                                                                                               
[59] "yes "                                                                                                                                                                                                                              
[60] " little attention dialogue gone astray cameron blame wrote script "                                                                                                                                                                
[61] "stick directing dude "                                                                                                                                                                                                             
[62] " redeemed acting dicaprio winslet fine form ably supported strong cast "                                                                                                                                                           
[63] "star show gloria stuart though didnt win oscar "                                                                                                                                                                                   
[64] " throwing oscars titanic left right centre gloria perhaps deserving nominee "                                                                                                                                                      
[65] "directingwise cameron spectacular job "                                                                                                                                                                                            
[66] "like said vision bit excessive least directed well "                                                                                                                                                                               
[67] " havent even mentioned james horners beautiful score "                                                                                                                                                                             
[68] "utterly heavenly though dad sister play soundtrack lot start get bit bored "                                                                                                                                                       
[69] " "                                                                                                                                                                                                                                 
[70] "ive finished rant lasted lot longer thought "                                                                                                                                                                                      
[71] "just leaves couple questions worth oscars "                                                                                                                                                                                        
[72] "hell dont talk oscars "                                                                                                                                                                                                            
[73] "bloomin farce "                                                                                                                                                                                                                    
[74] " deserving number departments though "                                                                                                                                                                                             
[75] "last question suggest one best films alltime "                                                                                                                                                                                     
[76] "nope dont think "                                                                                                                                                                                                                  
[77] " certainly one powerful memorable films ive ever seen dont think quite ranks one alltime favourites "                                                                                                                              
[78] " fact theyre reportedly making titanic well guess thats typical hollywood "                                                                                                                                                        
