 [1] "im really sure think crash "                                                                                                                                              
 [2] " surface cold boring unerotic porn name starts name director cool camerawork "                                                                                            
 [3] " mean left completely bored unsatisfied generally kinda weirded "                                                                                                         
 [4] " every films supposed leave entertained "                                                                                                                                 
 [5] " crash structured play like porn flick significantly plot dialogue "                                                                                                      
 [6] " see several extremely taboo scenes weirdo sex also skimpy little plot going mostly towards beginning maybe just hair characterization "                                  
 [7] " mention acting generally pretty good dont really see lot actors completely exposed "                                                                                     
 [8] " makes supremely different porn fact erotic experience "                                                                                                                  
 [9] " film posess erotic hypnotism henry june just plain horniness say deep throat ive seen "                                                                                  
[10] " one made completely hot film probably mean also whole auto eroticism thing "                                                                                             
[11] " film leaves cold erotically maybe many ways present group people live edge "                                                                                             
[12] " film opens woman catherine deborah kara ungar game pressing bare breast car public air hangar "                                                                          
[13] "suddenly man enters frame begins take behind film doesnt show though even nc "                                                                                            
[14] " next scene film director james james spader sex camera woman alice poon office highlypopulated set movie "                                                               
[15] " next scene two coming together revealing us theyre husband wife sharing one anothers escapades "                                                                         
[16] " two arguably freaky people least know love live edge "                                                                                                                   
[17] "soon afterwards james driving road night reclessly course hes reading something drifts lane hits another car face "                                                       
[18] "james killed passenger car flies seat obviously dying leaving driver helen remington holly hunter porn also alive "                                                       
[19] " two go therapy together getting run eachother "                                                                                                                          
[20] " james gives ride home almost get another accident immeadiately afterwards go unbusy parking lot little quickie aroused accident "                                        
[21] " wouldnt think many people shared kind fetish run freaky guy named vaughan elias kosteas crutchcarrying girlfriend gabrielle rosanna arquette also "                      
[22] "vaughan living edge takes another level loves recreate famous car crashes "                                                                                               
[23] " one scene friend colin seagrave peter macneill recreate james deans car crash without padding safety belts suffer concussions nevertheless get rush attention police "   
[24] "soon five sex one another straight gay lesbian sex "                                                                                                                      
[25] " admittingly bit comical film almost like black comedy film pretty awesome portrayal people whos main fetish living edge "                                                
[26] "im sure somewhere people get aroused car accidents personally dont see connection car crashes sex "                                                                       
[27] " main connection cronenberg shows us give definite rush "                                                                                                                 
[28] " car crash scenes quick exciting minimasterpieces first sure theyll take place everytime looks like may occur gasp "                                                      
[29] " happens hold breath "                                                                                                                                                    
[30] " thing happens sex although fashion "                                                                                                                                     
[31] " people merely taking another level "                                                                                                                                     
[32] " problem film tad redundant "                                                                                                                                             
[33] " normal porn lasts hour hour half "                                                                                                                                       
[34] " goes minutes just seems little long "                                                                                                                                    
[35] " sex car crashes far one another time tad boring side "                                                                                                                   
[36] "theres characterization although definitely argued hey porn sympathize "                                                                                                  
[37] " still coulda cut bit "                                                                                                                                                   
[38] " film saved presentation well elements "                                                                                                                                  
[39] " atmosphere dark forboding creating kind cool weird feeling "                                                                                                             
[40] " several scenes just amazing "                                                                                                                                            
[41] "one scene catherine james sex softly asks questions man sounds almost erotic way says "                                                                                   
[42] " sequence involving one characters death filled edgy disjointment film needs "                                                                                            
[43] " final shot shot perfectly creating image car crash couple sex front despite fact shes wounded "                                                                          
[44] " acting also pretty good especially almost porn ousting linda lovelace best actress porn "                                                                                
[45] " james spader pretty boring hes usually pretty intense deborah kara ungar amazing "                                                                                       
[46] " speaks words almost zombielike hushes shes sex blank look face showing viewer whether shes enjoying "                                                                    
[47] " one scene actually looks dead someone sex "                                                                                                                              
[48] "holly hunter gets extra credit just appearing something like pretty good rosanna arquette adds kinda cool kinkiness role "                                                
[49] " film stolen elias kosteas plays character intensely almost upstages everyone "                                                                                           
[50] " often speaks breath showing definite affinity way life "                                                                                                                 
[51] " great deal energy several scenes especially one scene hes taking photographs picture later scene hes getting freaky tatoo "                                              
[52] " spader share sexual chemistry several scenes foreshadowing later scene "                                                                                                 
[53] "kosteas little known actor biggest role casey jones teenage mutant ninja turtles shows denirolike presence hinting hes capable bigger roles "                             
[54] " hardly enjoyed crash still pretty intriguing portrayal group people exist strangest bizarre people world "                                                               
[55] " people able share rush two completely different entities film doesnt exactly pain negative light sucessful bringing light even leaves viewer unnerved generally freaked "
[56] "despite hardcore nature film subsequent nc rating theres also rrated version wouldnt even go near thing anyone looking quick turnon just rent regular porno "             
