 [1] "notting hills trailer awful laughless schmaltzy montage "                                                                                                                                                                 
 [2] " movie desperately marketed antiphantom menace crowd lovelorn females ignored love letter "                                                                                                                               
 [3] " apparently worked "                                                                                                                                                                                                      
 [4] "perhaps presence julia robertswhose allure beyond perfect teeth still escapes mehad lot notting hills opening weekend success films staying power based word mouth "                                                      
 [5] "allow spread good buzz notting hill "                                                                                                                                                                                     
 [6] "grant stars william thacker travelbookstore owner works resides tiny english district called notting hill "                                                                                                               
 [7] " shop one day wanders famous actress anna scott roberts "                                                                                                                                                                 
 [8] " common thief spilled orange juice stilted conversation leads first highly impetuous improbable kiss "                                                                                                                    
 [9] "days later william sneaks hotel suite guise magazine journalist begins passionate albeit surreptitious affair "                                                                                                           
[10] " aside notting hills portrayal press junkets deadly accurate "                                                                                                                                                            
[11] " annas celebrityor williams lack thereofthreatens drive wedge "                                                                                                                                                           
[12] "richard curtis tapped fantasy considered least first halfhour pictures beauty beast like scenario romantic escapism highest order "                                                                                       
[13] " groundhog day pleasantville watching highconcept comedy notting hill one constantly imagines himherself lead williams ordinaryness entices spoiled bored anna "                                                          
[14] "curtis previously penned four weddings funeral also smart enough know unlikely couples situation enough fuel two hours worth entertainment notting hills finest moments revolve around williams eccentric friends family "
[15] " now dear reader youve probably heard lot rhys ifans performance williams imbecilic welsh flatmate "                                                                                                                      
[16] "yes hes crowd pleaser walking sight gag character nearly involving wheelchairbound appropriately named bella mckee anguished waitress naked max tom mcinnerny lousy chef husband "                                        
[17] " movies best sequence william anna company sit around bloated maxs latest concoction hold contest last brownie table goes diner saddest life "                                                                            
[18] " scene ends british writer end "                                                                                                                                                                                          
[19] " anything fantastic bits like dull main plots dramatic impact "                                                                                                                                                           
[20] "roberts grant especially appealing relationship convolutedly interrupted many times four weddings suffered similar flaws william anna ultimately one thing common theyre lonely "                                         
[21] " worth noting roberts grants favour ubiquitous im just girl standing across boy asking love episode nearly syrupy appears clips features best emoting either actor ever done "                                            
[22] "notting hill nonetheless enjoyable visual side things especially appreciated michells playful changingoftheseasons number "                                                                                               
[23] " surprisinly minor gripe lopped egregious epilogue story thrives bring filmmakers work hard tidy things leaving imaginations lurch "                                                                                      
