 [1] "edward zwicks siege raises questions can convincingly answer even clearly articulate "                                                                                                        
 [2] " subject rising threat terrorism american cities "                                                                                                                                            
 [3] "denzel washington anthony hub hubbard runs fbis antiterrorism task force new york "                                                                                                           
 [4] " investigation arab terrorist cells intensifies suicide bombers take busload people "                                                                                                         
 [5] "hub focuses mysterious cia operative annette bening whose goes elise sharon "                                                                                                                 
 [6] " terrorist attacks continue body count rises question martial law raised "                                                                                                                    
 [7] "enter general devereaux bruce willis opposes martial law first soon president decides send army begins herding arab immigrants prison camp attacking every link hub uncovers terrorist chain "
 [8] "hub listens devereaux tortures murders suspect "                                                                                                                                              
 [9] " future zwick screenwriter lawrence wright offer possible "                                                                                                                                   
[10] " happen ask terrorism became much fact daily life new york cities like beirut belfast "                                                                                                       
[11] " happen civil liberties soldiers patrol streets machine guns "                                                                                                                                
[12] " questions siege answers realistic detail "                                                                                                                                                   
[13] " implies tougher ones though can done combat terrorism without sacrificing justice freedom "                                                                                                  
[14] " encourage terrorism abroad benings character discover cia trained bombers will inevitably come back us "                                                                                     
[15] " siege avoids tougher questions endowing hero hub uncompromising sense clear right wrong "                                                                                                    
[16] " comforting fantasy sir galahad confronting evils modern world escape thoughtprovoking issues movie raises "                                                                                  
[17] "still zwick deserves credit least addressing issue much realism many movies willis die hard series example offer comicbook view terrorism "                                                   
