 [1] "krippendorfs tribe formula comedy "                                                                                                       
 [2] "done poorly formulaic comedies might seem signify downfall american cinema "                                                              
 [3] "however every now one emerges like krippendorfs tribe actually works "                                                                    
 [4] "professor james krippendorf richard dreyfuss renowned anthropologist trouble "                                                            
 [5] " university gave hefty grant discover lost tribe new guinea "                                                                             
 [6] "however found nothing "                                                                                                                   
 [7] " wife recently died spent remainder grant money raising three kids shelly natasha lyonne mickey gregory smith edmund carl michael lidner "
 [8] "tonight expected lecture newfound tribe "                                                                                                 
 [9] "rather break news face consequences misusing funds invents tribe shelmikedmu named kids "                                                 
[10] "however one lie begets another required deliver filmed proof shelmikedmu research becomes popular phenomenon "                            
[11] "soon professor krippendorf caught elaborate ruse films mockumentary footage starring children shelmikedmu tribal members "                
[12] " efforts hampered boasts overeager colleague veronica micelli jenna elfman intense scrutiny rival anthropologist ruth allen lily tomlin " 
[13] "krippendorfs tribe seem require little suspension disbelief "                                                                             
[14] " one seems question way field documentaries seem shot multiple cameras newly discovered tribesmen startlingly blue eyes "                 
[15] "luckily film builds momentum suspension disbelief easy come "                                                                             
[16] "though theres mild humor krippendorf family trying pass lost tribe real humor film james gets trapped ever increasing snowball lies "     
[17] " double meanings many shelmikedmu appearances enjoyable comic timing required films latter scenes superb "                                
[18] "richard dreyfuss terrific hapless professor soon loses control imaginary tribe "                                                          
[19] "jenna elfmans position romantic lead seems bit forced times plays part extreme affability "                                               
[20] "even kids films like tend bit precocious side endearing humorous "                                                                        
[21] "yes film veer occasionally rather lowbrow humor best excuse funny "                                                                       
[22] " may go alltime classic certainly delivers expect comedy plenty laughs "                                                                  
