 [1] "bruce willis typecasted actor "                                                                                                                                                                                
 [2] " die hard played john mcclaine rough tough chicago cop gets caught wrong place wrong time "                                                                                                                    
 [3] " pulp fiction butch coolidge overthehill boxer steps wrong guys toes "                                                                                                                                         
 [4] " luc bessons fifth element willis plays korben dallas new york cabby takes wrong passenger worst possible time "                                                                                               
 [5] " stylish science fiction epic fifth elements complex plot begins right away deserts egypt think stargate "                                                                                                     
 [6] " enormous spacecraft lands pyramid elements stored takes away vowing return evil comes back "                                                                                                                  
 [7] "cut present day future "                                                                                                                                                                                       
 [8] " year new york city "                                                                                                                                                                                          
 [9] " basic differences bessons futuristic depiction real life new york smog thicker buildings higher traffic floats "                                                                                              
[10] "anyway evil comes back ball fire wreak havoc fair citizens earth back come tortoiselike aliens return elements earth order defend evil "                                                                       
[11] " process however ship intercepted fighter pods destroyed landing "                                                                                                                                             
[12] " officials arrive site remains hand "                                                                                                                                                                          
[13] " can hand "                                                                                                                                                                                                    
[14] "hey st century heredna reconstruction "                                                                                                                                                                        
[15] " hand turns belong beautiful mysterious woman named leeloo milla jovovich dazed confused "                                                                                                                     
[16] " escapes attempting escape police swan diving enormous skyscraper crashing roof korbens floating cab "                                                                                                         
[17] " love first site korben leeloo elude lazyasalways cops "                                                                                                                                                       
[18] " leeloo begins mumbling cornelius ian holm night falls manhattan korben searches yellow pages delivers door good reverend man knows background duties "                                                        
[19] "now korben leeloo cornelius must journey foreign planet board cruise ship special effects spectacular find remaining four elements "                                                                           
[20] " discover followed evil jeanbaptiste emmanuel zorg gary oldman murder first "                                                                                                                                  
[21] " wants possession elements group piglike warriors think gamorreans return jedi "                                                                                                                               
[22] " spectacular ending time running leeloo faced problemwhy save people live destroy "                                                                                                                            
[23] " question good one one pondered "                                                                                                                                                                              
[24] " enough "                                                                                                                                                                                                      
[25] " korben points love leeloo inclined become th element save world total destruction "                                                                                                                           
[26] " fifth element features good performances willis holm excellent portrayal comedic villain reminded lot jack nicholsons joker batman one masters villainy oldman heartfelt offering relative newcomer jovovich "
[27] " supporting cast includes brion james tango cash tim tiny lester holds barred luke perry buffy vampire slayer chris tucker friday added comedic effect film "                                                  
[28] "although bessons fifth element can criticized outlandish use cliches solid motion picture definite point "                                                                                                     
[29] " directors like anacondas luis llosa take lesson guyusing ideas epic motion pictures right way "                                                                                                               
[30] "ideas star wars stargate utilized improvement film "                                                                                                                                                           
[31] "scifi fan movielover see wonderfully stylish motion picture "                                                                                                                                                  
[32] " "                                                                                                                                                                                                             
