 [1] "fritz langs first american film since leaving nazi germany eyeopener lynch mob small town "                                                                         
 [2] "joe wilson spencer tracy regular joe hardworking stiff decent guy living two brothers tom walcott charlie albertson chicago "                                       
 [3] " engaged katherine grant sylvia sidney cant save enough money marry "                                                                                               
 [4] " takes train west better paying job teacher "                                                                                                                       
 [5] " departs gives wedding ring father gave mother sews ripped trench coat corrects mistakingly says wrong word memento kisses goodbye "                                
 [6] " year goes joe buys car tells katherine will meet get married capitol city quit job hopes open gas station "                                                        
 [7] "driving rural backroads camping night going met arrives nearby town called strand "                                                                                 
 [8] " deputy sheriff buggs meyers walter brennan comes upon waving shotgun arrests "                                                                                     
 [9] " accuses kidnapping little girl "                                                                                                                                   
[10] " sheriff ellis finds salted peanuts just like kidnapper pocket also five dollar bill matches one numbers ransom money fits general description suspect "            
[11] "locked jail waits district attorney look claim innocence "                                                                                                          
[12] " local bar town citizens go rage learning arrest made kidnapping "                                                                                                  
[13] "fueled angry talk getting back kidnapper deputy inadvertently telling ransom money found suspect mob storms jail burns dynamites cant get prisoners jail cell "     
[14] " sheriff called governor national guard one political advisers countermanded request saying wouldnt look right governor election year call troops wants vote "      
[15] "somehow joe escapes dog rainbow dies "                                                                                                                              
[16] "katherine hears happened radio rushes neighboring town strand see engulfed flames cell becomes convinced died "                                                     
[17] " next day newspapers announce guilty kidnapper confesses "                                                                                                          
[18] "joe makes way back chicago tells brothers startled see alive wants revenge "                                                                                        
[19] " thereby supplies brothers names leaders lynch mob "                                                                                                                
[20] " ambitious district attorney walter abel prosecutes murder "                                                                                                        
[21] "katherine knowing hes alive remains state shock asked witness saw joe burning death "                                                                               
[22] " defense claims cant charge murder without corpse "                                                                                                                 
[23] " trial proves interesting citizens closeknit respectable community lie oath providing alibis prove couldnt jail "                                                   
[24] " sheriff also lies saying cant identify anyone mob "                                                                                                                
[25] " proof comes way newsreel cameraman caught whole incident film "                                                                                                    
[26] " proof corpse anonymous letter addressed judge enclosed wedding ring katherine gave joe "                                                                           
[27] " note memento misspelled makes katherine realize joe alive "                                                                                                        
[28] " sentence announced accused found guilty murder joe marches courtroom gives pious speech happened "                                                                 
[29] "katherine forgives strong film ends weaker note think "                                                                                                             
[30] " dont blame lang changes film trying take town hook introducing wild revenge motive "                                                                               
[31] "mgm couldnt bear made way lang wanted tracy die lynching "                                                                                                          
[32] "instead wanted stop short condemning many small american towns lynchings actually occur thereby meddled throughout entire script "                                  
[33] " langs credit even film failed masterpiece interference still let good citizens moral hook "                                                                        
[34] " portrayal attempted lynching powerfully done compromised "                                                                                                         
[35] " couldnt help get feeling citizens didnt care much almost lynched innocent man cared protecting reputation town anything keep vigilantes going jail even perjuring "
[36] " reaction seeing joe alive satisfying meant werent going convicted "                                                                                                
[37] "lang means implies town learned lesson incident "                                                                                                                   
[38] " imply dark side joe wilson exposed innocent jovial goodguy seen beginning film largely altered forever traumatic experience "                                      
