 [1] "bruce lee biggerthanlife martial artist actor "                                                                                       
 [2] "bruces unique character e selfproduced sound effects etc seemingly perfected martial art physique well portrayed actor james lee "    
 [3] " story told wife lindas point view put lot family practical side bruce lees life "                                                    
 [4] "however cant help like whenever fight scenes can body familiar bruce attitude character "                                             
 [5] " also like little bits insight scenes bruce lees life became famous scenes like bruce practicing pronunciation english "              
 [6] " seemed better anybody else "                                                                                                         
 [7] "scenes like bruce delivering chinese food delivery boy ridding bike american college looking allwhite students cheerleaders athletes "
 [8] " seemed wished american dreams hopes "                                                                                                
 [9] " conclusion movie well made produced realization bruce lee actor james lee much like bruce remind just actor "                        
[10] " fighting scenes excellent "                                                                                                          
[11] " go see enjoy movie "                                                                                                                 
[12] "p s seen movie unforgiven clint eastwood feeling left dragon much like feeling got unforgiven "                                       
