 [1] "warning review contains spoilers film failsafe "                                                                                                                                                                                                  
 [2] " havent seen film yet proceed caution "                                                                                                                                                                                                           
 [3] "nutshell relevant intelligent suspenseful drama "                                                                                                                                                                                                 
 [4] "still powerful today even end cold war "                                                                                                                                                                                                          
 [5] " failsafe usa drama minutes "                                                                                                                                                                                                                     
 [6] "screenplay walter bernstein based novel eugene burdick harvey wheeler produced max e youngstein directed sidney lumet "                                                                                                                           
 [7] "review jamahl epsicokhan "                                                                                                                                                                                                                        
 [8] " ironic aspect nuclear war doesnt winning side losing side "                                                                                                                                                                                      
 [9] " nuclear confrontation everybody loses aftereffects devastating effects impact entire worldassuming world survives "                                                                                                                              
[10] " ideaand perhaps real optionis avoid war costs "                                                                                                                                                                                                  
[11] " theme sidney lumets failsafe fictional drama based novel eugene burdick harvey wheeler "                                                                                                                                                         
[12] " failsafe takes place heart cold war actual film released two years cuban missile crisis united states soviet union static discord issue can summarized single word communism "                                                                   
[13] " premise centers around combination accidents operation flaws "                                                                                                                                                                                   
[14] "five u s bombers carrying nuclear warheads ordered set routine course moscow unidentified aircraft spotted heading toward america "                                                                                                               
[15] " unidentified aircraft turns commercial airliner mechanical failure strikes military base commands bombers "                                                                                                                                      
[16] "suddenly contact standing orders remain course receiving new directives bomber pilots recalled proceed moscow intention destroying nuclear strike "                                                                                               
[17] " great deal failsafe s plot follows various characters attempt devise ways stopping u s bombers reaching russias bordersat cost "                                                                                                                 
[18] " plot compelling story creates urgency dread painting grimmest worst case scenarios "                                                                                                                                                             
[19] " reality sets quickly one attempt turn bombers another fails "                                                                                                                                                                                    
[20] "general bogan frank overton taking orders directly president united states henry fonda powerlessthe fate world lies hands automated preprogrammed system may stoppable simply creators war machines efficient task make nowin situation winnable "
[21] " events failsafe fascinating theyre anything predictable real reason failsafe works understands nuclear war exists within confines plot "                                                                                                         
[22] " key ingredient film ability create ongoing polemic nuclear war communism cold war united states role "                                                                                                                                           
[23] " films use character groeteschele walter matthau arrogant civilian theorist nuclear weapons use incidentally presidents advising staff analyzing statistical plausibility waging nuclear war "                                                    
[24] "many films pointed messages arise discussions groeteschele one key voices "                                                                                                                                                                       
[25] "early film hosts dinner party explains importance strategy nuclear assault minimize casualties "                                                                                                                                                  
[26] " whats difference million million dead "                                                                                                                                                                                                          
[27] " guest asks impatiently "                                                                                                                                                                                                                         
[28] " forty million groeteschele responds wryly "                                                                                                                                                                                                      
[29] " problem groetescheles mindset believes nuclear combat viable method war "                                                                                                                                                                        
[30] " difference nuclear armageddon conventional warfare raw data casualty totals "                                                                                                                                                                    
[31] "groeteschele realizes weapons can destroy world several times "                                                                                                                                                                                   
[32] "yet answer arms race slow try cool situation general black dan oherlihy often recommended "                                                                                                                                                       
[33] " contraryaccording groeteschele lead russia nuclear weapons u s clearly put america disadvantage "                                                                                                                                                
[34] " stance perhaps central paradox misguided practice arms race "                                                                                                                                                                                    
[35] " failsafe clearly sees one central issues cold war likewise becomes central theme film "                                                                                                                                                          
[36] " continue build machines mass destruction already possessing enough destroy world several times "                                                                                                                                                 
[37] " wise "                                                                                                                                                                                                                                           
[38] " even logical "                                                                                                                                                                                                                                   
[39] " really "                                                                                                                                                                                                                                         
[40] "although failsafe issue nuclear weapons political ramifications communism scene film deals communism intentionally superficial onesided sort way "                                                                                                
[41] " achieved groeteschele easily films important character terms largertheme significance "                                                                                                                                                          
[42] " addition providing central pronuclear war voice film warns also makes key remarks communists show just much fear resentment people period prone came communism "                                                                                 
[43] " context film uses suggests hatred often glib "                                                                                                                                                                                                   
[44] "one groetescheles logical trains thought ventures far fantasy theoretical prediction merely absurd "                                                                                                                                              
[45] " labels average marxist unfeeling calculating machine will whatever takes preserve "                                                                                                                                                              
[46] "groeteschele takes far say u s drops warhead moscow soviets will instantly surrender retaliate invite countermeasures destroy russias home soilwhich must preserved costs "                                                                       
[47] "groeteschele seems forget people human beings emotions general black quickly reminds soviets attack revengeas normal person "                                                                                                                     
[48] " irony groetescheles mechanical theorizing "                                                                                                                                                                                                      
[49] " quick judge enemy doesnt even realize seemingly programmed thought patterns "                                                                                                                                                                    
[50] " film makes evident turning u s bombers will impossible question becomes consequences destroying moscow will "                                                                                                                                    
[51] "just will soviet unions leader react can president convey best intentions "                                                                                                                                                                       
[52] " just one pass deaths millions people mishap "                                                                                                                                                                                                    
[53] " help translator buck larry hagman president negotiates length soviet leader scenes prove amazingly taut powerful simplicity lumets long takes fonda hagman frame exchanging dialog president soviet leader "                                     
[54] "without getting much detail will say compromise ultimately reach costly yet necessary sensible possible circumstances "                                                                                                                           
[55] " sensible nuclear incident can probably "                                                                                                                                                                                                         
[56] " accomplish must avoids allout war something simply isnt possible alltooreal consequences "                                                                                                                                                       
[57] "dramatically ending quite powerful use oherlihys character symbolic matador providing bookend film ending story tying dream sequence films opening particularly appropriate "                                                                     
[58] " failsafe production major hollywood studio released columbia pictures structure hightension suspense thriller one might expect hollywood film "                                                                                                  
[59] "nevertheless lumets direction walter bernsteins intelligent adaptation burdicks wheelers novel film continues lasting effect even events screen unfolded "                                                                                        
[60] " film often warns automation war something may make nuclear holocaust unintentional consequence mass arming "                                                                                                                                     
[61] " conscious human choice initialize automatic arming failsafe also finds dangerous "                                                                                                                                                               
[62] " retrospect arms race seems one puzzling exercises futility century "                                                                                                                                                                             
[63] " just fortunate sides finally able come senses slow rather continuing groetescheles dangerous approach speeding causing possible meltdown "                                                                                                       
