 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
 [3] " startling consider years ago film distributors worriedly rearrange summer release schedules order give annual disney animated feature juggernaut wide berth "                                                                                                                                                                                                                                                                                                                                                                                                                                      
 [4] " lion king just cracked million domestic gross become one profitable ventures film history continuing build sturdy base left prior flicks aladdin beauty beast "                                                                                                                                                                                                                                                                                                                                                                                                                                    
 [5] "since though disneys animated features shown unbroken string diminishing returns pocahontas hunchback notre dame years hercules successively proving less less potent "                                                                                                                                                                                                                                                                                                                                                                                                                             
 [6] " seeminglyimpregnable disney stranglehold market share suddenly looking mighty vulnerable faced first serious competition animated film market foxs anastasia disney brought xmas home early dusting feature sparked modern revival feature animation little mermaid "                                                                                                                                                                                                                                                                                                                              
 [7] " animation film typically case disney films unquestionably topnotch magic little mermaid animation wonderful innocence story rousingly superb music "                                                                                                                                                                                                                                                                                                                                                                                                                                               
 [8] " films storyline fairly straightforward young teen falls handsome man father disapproves assigns hapless chaperone daughter teen disobeys father goes desperate lengths win man except case chaperone crab teen young mermaid object desire human prince "                                                                                                                                                                                                                                                                                                                                          
 [9] " makes little mermaid affecting emotionally resonant richness charm characters sheer clarity honest simplicity emotions "                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
[10] " moment mermaid ariel lays eyes prince eric shes resolutely smitten shes pure endearing character one cant help invest heart "                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
[11] " simple touching love story coupled healthy dose smart humour makes little mermaid remarkably captivating picture "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
[12] "one interesting things little mermaid something now curiously dates voices cast motley crew characters "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
[13] " film produced just distracting concept using celebrity voices became vogue started certain degree beauty beast irrevocably exacerbated robin williams muchheralded turn aladdin release lion king henceforth majority characters animated films voiced celebrities "                                                                                                                                                                                                                                                                                                                               
[14] " understandable animated features lacking namerecognition drawing power disney say baltos use kevin bacon bridget fonda even anastasias showcasing meg ryan john cusack forced turn strategy order hype products unfortunate even disney embraced policy "                                                                                                                                                                                                                                                                                                                                          
[15] " really need hear say demi moore esmerelda hunchback notre dame "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
[16] " films entertainment value really augmented hearing recognizable voice rather voice best suits role "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
[17] " im exactly edge seat eddie murphy upcoming mulan "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
[18] "fortunately performers voice characters little mermaid although perhaps obscure impeccably cast "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
[19] "chief among jodi benson tony nominee stage work crazy voices films heroine ariel perfection wonderfully expressive speaking voice full youthful vigor gorgeous singing voice ms benson provides engaging anchor film "                                                                                                                                                                                                                                                                                                                                                                              
[20] " shes reason id even consider catching flubber "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
[21] "similarly samuel e wright terrific showy role sebastian weary guardian crab "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
