 [1] "accepting oscar producer years best picture winner saul zaentz remarked cup runneth "                                                                                                                                  
 [2] "one almost say muchprized film "                                                                                                                                                                                       
 [3] "rarely screen overflowing potent imagery symbolism ideas metaphors complex literate storytelling possessed intelligence invites even demands constant scrutiny acuity perception observation must somehow yield truth "
 [4] " short antithesis things hollywood "                                                                                                                                                                                   
 [5] "yet surfeit signals made serve rather pale thinly realized love story whose emotional impact dry desert wind "                                                                                                         
 [6] "ralph fiennes title character amnesiac burn victim whose gradual return memory particularly memory love ostensible focus film "                                                                                        
 [7] " despite use numerous flashbacks help put pieces personal puzzle together never learn enough man feel much empathy "                                                                                                   
 [8] " emotional life story begins essential clue remains withheld "                                                                                                                                                         
 [9] " can easily said every character film many "                                                                                                                                                                           
[10] "juliette binoches nurse comes close film gets emotional heart "                                                                                                                                                        
[11] " least learn early scarred deaths close understand eager escape company comrades order seek refuge convalescence mysterious disfigured dying stranger "                                                                
[12] "even information imparted quickly cursory fashion however verges comical "                                                                                                                                             
[13] " many characters enjoying little screen time films minutes can taxing "                                                                                                                                                
[14] "yet something captivating sensibility behind camera couldnt help feel greatness air "                                                                                                                                  
[15] "hints everywhere man hates ownership wants desperately possess lover ancient cave paintings swimmers copied casually modernday swimmer sahara way shifting sands time obliterate everything completely world war "     
[16] " enough latent meaning supply college film students paper topics years "                                                                                                                                               
[17] " ultimately emotional truths writerdirector anthony minghella grasping never revealed "                                                                                                                                
[18] " end left impression witnessed quite oxymoron haunting bore "                                                                                                                                                          
[19] "bore perhaps strong word "                                                                                                                                                                                             
[20] " drinking rich production values cup remains slightly halffull "                                                                                                                                                       
