 [1] " film secrets innocent like cute little farm girl frances boyd ashley "                                                                                                                                                                                                                                                                                                                       
 [2] "others married couple impacting relationship like problems infertility affecting upwardly mobile couple geoffrey gaines stephen ramsey medical researcher working big corporation called fex striving get patent experiment become recognized field artist wife lillian miriam healylouie reluctantly stands behind husband suppressing natural artistic tendencies order make marriage work "
 [3] " still secrets greater implication world deadly political sense science carried big corporations like business run bottom line "                                                                                                                                                                                                                                                              
 [4] "receiving summer grant study chemoelectric therapy geoffrey wife hoping summer spent away intensity big city will bring back romance dwindling marriage casualness country atmosphere will give time together threeyear marriage become shaky interested work "                                                                                                                               
 [5] " slyly managed keep work secretive possible locking lab limits secretly goes conducting experiments rats mice convincing benefit humanity possible new treatments cures illnesses "                                                                                                                                                                                                           
 [6] " main argument public wants dont want hear animals die experiments just want benefits science "                                                                                                                                                                                                                                                                                               
 [7] " depicted monster creating another monster much like frankenstein created argument skewed director bad science science business opposed good science science cares small farmer represented handsome almost perfect gentleman alex vine david young ecologist chooses work field trying get farmers go back organic farming "                                                                 
 [8] " hired university monitor dangers pesticides chemicals farmer almost forced use survive financially irreparable harm consumer health risks attached new way farming methods just come last thirty years pushed big companies enhance profit margins "                                                                                                                                         
 [9] " third view artists represented lillian points artists work shown public scrutinized constantly shouldnt true scientist "                                                                                                                                                                                                                                                                     
[10] " argues artist watchdog public questioning good evil society something bad science completely ignored "                                                                                                                                                                                                                                                                                       
[11] "geoffrey impatient get ahead research feels bogged bureaucrats firm fail provide three chimps needs experiment contacts one companys higher ups argue case decides cant wait longer help sets animal trap countryside catches chester gorgeous pet dog frances dog means much family saved life "                                                                                             
[12] " field bloodied trapped dog already back seat car spotted alex one coworkers nervously invites dinner wife afraid alex will spot rushes away area "                                                                                                                                                                                                                                           
[13] " dinner scene unfortunately flatly done nevertheless heart film main characters get chance speak point view represent eat meat means getting protein radical scientists eschewed since became politically correct everything "                                                                                                                                                                
[14] " scientists engage rational argument highlighting different points view lillian reacts emotional way siding mostly davids view coming much different angle "                                                                                                                                                                                                                                  
[15] " actors puppets strings director controlled just spewed generalized philosophies "                                                                                                                                                                                                                                                                                                            
[16] " directors point view absolutely right beside point "                                                                                                                                                                                                                                                                                                                                         
[17] " point characters lost humanity became onedimensional characters "                                                                                                                                                                                                                                                                                                                            
[18] "geoffrey likened hideous monster alex vine likened last name one holds fast ground ensuring plant stability lillian likened muse poetry art inspiration goodness beauty "                                                                                                                                                                                                                     
[19] "alex spending lot time together lillian two seem share views physically attracted time ripe affair take place lillian changes mind decides go alexs apartment "                                                                                                                                                                                                                               
[20] "geoffrey already suspicious alex considers enemy marriage seems coming apart cunning tricks possess longer working now impossible see good becomes reason remain "                                                                                                                                                                                                                            
[21] " relationship disintegrated way beyond point just feeling lonely "                                                                                                                                                                                                                                                                                                                            
[22] " dog discovered alex deplorable state geoffrey seen electrically shocking mercifully dog dies "                                                                                                                                                                                                                                                                                               
[23] " thing left walk marriage also fails respond davids loving gesture stay instead opting head back city "                                                                                                                                                                                                                                                                                       
[24] " farmer whose dog tortured death comes scientists lab knocks cold middle phone conversation one higherups told animals needs way "                                                                                                                                                                                                                                                            
[25] " progress "                                                                                                                                                                                                                                                                                                                                                                                   
[26] " can one expect life "                                                                                                                                                                                                                                                                                                                                                                        
[27] " small farmer become extinct "                                                                                                                                                                                                                                                                                                                                                                
[28] " answers questions can best answered either good science art closely related american natives vision world entrusted mankind can respect take care enrich creations benefit mankind peaceful way "                                                                                                                                                                                            
[29] " work fails subtle polarizes opinions leaving room deeper arguments shame decent smart film tried hard say felt say said loudly without trusting audience catch message making everything seem black white "                                                                                                                                                                                  
[30] " telling said lot harmful trends sees science going probably said much better vision poetical less didactic "                                                                                                                                                                                                                                                                                 
[31] " something listening lecture turns rebel dont like hit head truth prefer presented form leads inspiration told metaphorically "                                                                                                                                                                                                                                                               
[32] " say found film without considerable merit inspite shortcomings worth seeing visual statements though also subtle least effective setting intense mood film needed show mental war going currently believe one way right others differ anyone neutral must considered enemy indifference "                                                                                                    
[33] " stakes ecological struggle high "                                                                                                                                                                                                                                                                                                                                                            
[34] "perhaps powerful visual statement film dead cow pesticides shown opening scene "                                                                                                                                                                                                                                                                                                              
[35] " image lillian spent time painting summer affect animal faces picassos guernica "                                                                                                                                                                                                                                                                                                             
[36] " artists envisioned horrors man world represented unspoken pain faces animals anyone cares really see going will mistake side fence "                                                                                                                                                                                                                                                         
[37] " pain lillian feels forgets desires raise family stares painting cow song make world go away blares background learned frances beautiful loving dog brutalized monster husband name science raw power personalizes dangers bad science "                                                                                                                                                      
[38] "perhaps pertinent question film asks requires answer must resolved farmers consumers caught changing world new way business question becomes can science happily married art "                                                                                                                                                                                                                
