 [1] " victims fate life can create destiny "                                                                                                                                                                  
 [2] "directorwriter brad anderson seems saying yes questions witty film next stop wonderland "                                                                                                                
 [3] " two main characters alan erin spend entire movie others orbit catching glimpses one another yet quite connecting inevitable conclusion "                                                                
 [4] " fate keeps near ultimately puts together "                                                                                                                                                              
 [5] " predestination carry aspects life "                                                                                                                                                                     
 [6] " film starts erin castleton hope davis melancholy year old late shift nurse ending livein relationship boyfriend hoffman "                                                                               
 [7] "rather ending "                                                                                                                                                                                          
 [8] "arriving home work erin finds boyfriend parked front apartment car packed belongings "                                                                                                                   
 [9] " fumbling amusing self deluding ramble instructs erin watch videotape hes made detailing relationship doomed fail hes leaving "                                                                          
[10] " obvious lacks courage confront directly rails accomplishing something life taking stand backpedaling way relationship "                                                                                 
[11] " flees scene grace inept thief "                                                                                                                                                                         
[12] "erins mother holland taylor surprisingly effective small role fearing daughter will without man life takes personal ad erin "                                                                            
[13] " erins embarrassed horror ad describes frisky cultured carefree professional zest life "                                                                                                                 
[14] "eventually erin responds tidal wave responses makes humorous telling moments movie meets prospective suitors poseurs "                                                                                   
[15] "alan plumber aspiring marine biologist first spots erin hes cleaning inside glass fish tank boston aquarium "                                                                                            
[16] "wearing wet suit goggles follows erin window window separated glass erin oblivious gaze enjoys fish "                                                                                                    
[17] "later see train sits platform outside mere feet away "                                                                                                                                                   
[18] " movie spends entirety paths circle without crossing "                                                                                                                                                   
[19] " several subplots involving alan "                                                                                                                                                                       
[20] "one concerns attempts get job track boston aquarium thereby escaping apparent fate carry family plumbing business "                                                                                      
[21] "another subplot involves fathers desperate attempts force fates hand gambling away life dog track "                                                                                                      
[22] " distracting focus put alans debt loan shark manner pays "                                                                                                                                               
[23] " movie tries hard make alan likable guy "                                                                                                                                                                
[24] "thankfully dream guy persona counterbalanced erins distant yet fundamentally hopeful personality "                                                                                                       
[25] " film moves along unhurried pace albeit much latter third wait two meet "                                                                                                                                
[26] "cowriters anderson lyn vaus throw couple possible red herrings mix two find possible relationships "                                                                                                     
[27] " films shifts much slower gear wait romances blow "                                                                                                                                                      
[28] " alan erin eventually meet see perhaps destined share lingering almost subliminally knowing gaze "                                                                                                       
[29] " sweet measured moment "                                                                                                                                                                                 
[30] " disappointment comes fact weve come know pair yet dont get view impending romance "                                                                                                                     
[31] " films inherent belief subtle persistence fate wonder can bring ones life makes next stop wonderland quiet pleasure cinematic landscape littered explosions shallow characters overdone special effects "
