 [1] "damn trailers "                                                                                                       
 [2] " advertising film reveals far much contents glued sand "                                                              
 [3] " film retains value thanks excellent performance charlotte rampling mature francois ozon directors chair "            
 [4] "marie charlotte rampling husband jean bruno cremer lounge beach "                                                     
 [5] " takes nap goes swim "                                                                                                
 [6] " marie wakes jean nowhere found "                                                                                     
 [7] " contacts authorities cant find either "                                                                              
 [8] " disappear start new life "                                                                                           
 [9] " killed accident "                                                                                                    
[10] " commit suicide "                                                                                                     
[11] "marie still asks questions year later order move life must find answers "                                             
[12] " fine premise little movie uses limit "                                                                               
[13] " film moves leisurely pace bit slow relaxing "                                                                        
[14] " visual story can pretty much just sit back without reading subtitles "                                               
[15] " mostly thanks excellent camera work antoine heberle jeanne lapoirie shot film dreamy haze lead performance rampling "
[16] "rampling expressive portrayal marie connect character instantly despite shes delusional "                             
[17] " scenes interacts husband still believes alive heartbreaking "                                                        
[18] " cant quite get "                                                                                                     
[19] "theyve married twentyfive years "                                                                                     
[20] " actors particularly jacques nolot excellent "                                                                        
[21] " sex film rather unneeded compared ozons criminal lovers disney channel "                                             
[22] "likely cause discussion afterwards sand fine movie going experience "                                                 
[23] " hard recommend entertainment fine adult alternative deal loss "                                                      
[24] "ozon seems ask thats certainly hard question answer "                                                                 
