 [1] "whenever writerdirector robert altman works specific genre tendency rewrite terms "                                                                                                                                                   
 [2] " made west dirty mccabe mrs miller parodied hardboiled detective stories long goodbye transformed cartoon flesh blood popeye "                                                                                                        
 [3] " holds true recent film gingerbread man reinvents genre developed exponential rate last five years john grisham movie "                                                                                                               
 [4] " time gingerbread man completed little evidence ever based story grisham "                                                                                                                                                            
 [5] "theres idealist young lawyer ala tom cruise matthew mcconaughey chris odonnell matt damon doesnt feature great showdown courtroom "                                                                                                   
 [6] "instead grand ode powers legal profession gingerbread man rainsoaked southern gothic noir thriller wildly eccentric characters twisting plot line black humor somewhat bleak ending even altmans trademark fullfrontal female nudity "
 [7] " central character film rick magruder unlike grishams lawyer heroes "                                                                                                                                                                 
 [8] " older experienced rich drives cherryred mercedes never gets dirty even incessantly pouring rain savannah georgia story unfolds "                                                                                                     
 [9] "rick midst ugly divorce wife leeanne famke janssen rarely gets see two children jeff jesse james libby mae whitman "                                                                                                                  
[10] " reason never given divorce isnt hard surmise ricks womanizing large part "                                                                                                                                                           
[11] "whenever hes late pick kids visitation days leeanne always assumes hes screwing around "                                                                                                                                              
[12] " office party celebrating another court victories hasnt lost eight years rick becomes involved mallory doss embeth davidtz one catering waitresses "                                                                                  
[13] " drives home car stolen end bed together "                                                                                                                                                                                            
[14] "rick finds mallory terrorized stalked slightly psychotic father dixon doss robert duvall grungy stringy barefooted old man leads commune greasy old codgers "                                                                         
[15] " actually dixon stole car night rick asks mallory replies always weird stuff like "                                                                                                                                                   
[16] " another character puts dixon beers short sixpack "                                                                                                                                                                                   
[17] "rick ends convincing mallory dixon brought court tried competency "                                                                                                                                                                   
[18] " succeeds information dug clyde pell private investigator friend robert downey jr testimony mallorys begrudging exhusband pete randle tom berenger "                                                                                  
[19] "dixon put mental hospital commune buddies succeed breaking "                                                                                                                                                                          
[20] " story delves kidnapping murder doublecrossing even hurricane adds ominous cloud constant violence action "                                                                                                                           
[21] "altmans cinematographer changwei gu gives film dark soaked look "                                                                                                                                                                     
[22] " isnt nighttime least raining "                                                                                                                                                                                                       
[23] "gu shoots interiors almost dark wood paneling minimum light "                                                                                                                                                                         
[24] " great deal action takes place leafy georgia backwoods altman uses create acute sense dread vulnerability "                                                                                                                           
[25] " city danger enough rick venture woods can almost feel leaving hope civilization behind literally enters another world "                                                                                                              
[26] "altman worked just every conceivable genre westerns epic dramas comedies "                                                                                                                                                            
[27] " matter genre always sure give altman stamp usually consists kinds idiosyncratic quirks little details often missed without repeat viewings "                                                                                         
[28] " gingerbread man different although style much restrained "                                                                                                                                                                           
[29] "however without little touches film easily slumped routine actionthriller "                                                                                                                                                           
[30] " great deal credit films success can given actors especially branagh rarely works outside period pieces direction "                                                                                                                   
[31] " british actor consistently maintains serviceable southern drawl making essentially contemptible character interesting sympathetic "                                                                                                  
[32] "rick extremely flawed man branaugh brings real humanity character "                                                                                                                                                                   
[33] "without entire film fall flat much reliant audience feeling ricks pain frustration "                                                                                                                                                  
[34] " supporting actors also put fine performances including embeth davidtz probably best known heartbreaking role jewish maid schindlers list "                                                                                           
[35] "tom berenger provides gruff comic relief robert duvall spends onscreen time just looking weird "                                                                                                                                      
[36] " doesnt seem like much little spoken dialogue watch closely films one courtroom scene entire performance eyes body language actors pulled without either silly overbearing "                                                          
[37] " gingerbread man isnt league altmans greatest works like nashville player nonetheless solid piece genre filmmaking may prove successful vehicle restart somewhat lagging career "                                                     
[38] " critics love stamp films like commercial altman can maintain artistic integrity films aimed tiny audience dont make money "                                                                                                          
[39] "altman done something much better took generic movie investing artistry effort made something "                                                                                                                                       
