 [1] "shakespeare hardly understood high school "                                                                                                            
 [2] " want now english grade doesnt count "                                                                                                                 
 [3] " attitude ill say right bat kenneth branaghs hamlet probably might well stop reading right now "                                                       
 [4] " however lover bard least openminded challenging script read something rotten state denmark "                                                          
 [5] "namely king died widow queen wed kings brother claudius prince hamlet suspects foul play "                                                             
 [6] " suspicions confirmed ghost father appears relates story murder brothers hands "                                                                       
 [7] "hamlet enlisting help friend horatio conspires capture conscience new king expose treachery "                                                          
 [8] " game afoot "                                                                                                                                          
 [9] " first things notice production sets costumes "                                                                                                        
[10] " external scenes filmed blemheim palace england also one sites recent avengers grandiose quality setting immediately established "                     
[11] "interior scenes similarly graced intricate flamboyant rooms chambers "                                                                                 
[12] " hamlet castles grand throne room impressive piece work incorporating high ceilings mirrorpanel doors bridges connect opposite sides secondstory loft "
[13] "costuming equally grand drawing upon history imagination "                                                                                             
[14] " quite denmark s characters attire something cross era turn century russia effectively giving film timeless feel "                                     
[15] " surprising tim harvey alexandra byrne nominated best art direction best costume design oscars respectively "                                          
[16] " addition directing kenneth branagh also plays title character "                                                                                       
[17] " revengedriven royal heir branagh provides riveting performance emotional highs lows "                                                                 
[18] " anticipation seeing fathers ghost melancholy finding burial site childhood jester eventual wrath branagh delivers spades "                            
[19] "every scene truly revolves around hamlet much tribute branaghs acting directing shakespeares manuscript "                                              
[20] "hamlet seems whos shakespeareantrained actors watching perform craft much love delight "                                                               
[21] "julie christie hamlets mother gertrude derek jacobi murderous uncle claudius fill classic roles superbly many supporting players "                     
[22] "kate winslet hamlets lover ophelia outstanding job demonstrating characters plummet depths dispair madness "                                           
[23] "richard briers ophelias father polonius michael moloney brother laertes equally convincing "                                                           
[24] "nicholas farrell hamlets trusted friend horatio timothy spall reece dinsdale twotiming rosencrantz guildenstern round excellent core cast "            
[25] "hamlet also seems film someone tried stuff many well known actors possible "                                                                           
[26] " cases made interesting scenes "                                                                                                                       
[27] "billy crystal surprisingly good gravedigger unearths skull yorick hamlet knew quite well "                                                             
[28] "crystal proves able deliver lines timing classic actor verbal countenance comedian result funny scene "                                                
[29] "however charleton heston many might think butcher shakespeare biggest surprise "                                                                       
[30] " player king leader troupe traveling actors absolutely breathtaking narrating story priam hecuba "                                                     
[31] "part monologue overlaid visual enactment story sir john gielgud judi dench unfortunate robs heston attention deserves time "                           
[32] " offcamera speaking gripping sort downplays scene narration done wellvoiced actor "                                                                    
[33] " wish branagh chosen allow us envision minds scene heston lays let venerable actor attention "                                                         
[34] "unfortunately casting choices led poor distractions "                                                                                                  
[35] "jack lemmon excellent actor just cant shakespeare "                                                                                                    
[36] " marcellus guard sees elder hamlets ghost lemmon sadly underperforms shown left right around "                                                         
[37] "gerard depardieu another talented actor wasted given little utterances yes lord lord role reynaldo "                                                   
[38] "richard attenborough literally walkon role showing eleventh hour english ambassador "                                                                  
[39] " think two lines "                                                                                                                                     
[40] " rufus sewell fortinbras norway "                                                                                                                      
[41] " went see dangerous beauty earlier year two ladies behind kept commenting handsome "                                                                   
[42] " bulging eyes idea handsome well guess comic actor marty feldman kind sex symbol "                                                                     
[43] "hamlet complicated tale treachery revenge triumph defeat become one "                                                                                  
[44] "branagh attempts help us intricacies visually representing elusive stretches dialogue presenting flashbacktype images "                                
[45] " works half time wonder just well without "                                                                                                            
[46] " dont kind genius appreciate shakespeare quite difficult understand unless time read hear carefully repeatedly "                                       
[47] " alternate method comprehension us familiar high school english course "                                                                               
[48] " hopefully fortunate enough educator willing help plot points nuances essential understanding play written rigmarole known kings english "             
[49] " suppose just read cliff notes "                                                                                                                       
