 [1] " theres beast men meets match women "                                                                                                                           
 [2] "starring sarah patterson angela lansbury tusse silberg david warner directed neil jordan written jordan angela carter story carter cinematography bryan loftus "
 [3] " recent years trend field fantasy writers revisiting fertile world myth fairy tale reclaiming world investing new life energy "                                 
 [4] " modern times fairy tales become disneyfied debased become trite adventures involving leering witches friendly dwarves cuddly talking animals "                 
 [5] " original forms fairy tales dark wicked edge "                                                                                                                  
 [6] "crows tear eyes cinderellas sisters gorier fate receive animated version "                                                                                      
 [7] "hansel gretel relish cooking witch oven "                                                                                                                       
 [8] "writers become fascinated bloodier morally ambivalent aspects fairy tales now modernizing old stories simultaneously going back roots "                         
 [9] " trend vogue angela carterwhose stories always dark wicked subversive edgehad reinventing fairy tales years "                                                   
[10] " company wolves neil jordan retell story red riding hood enlivening werewolves rolls royces visit satan "                                                       
[11] " story structured dream occurring mind rosaleen sarah patterson adolescent girl whose real life learn little "                                                  
[12] "within dream number inset stories told dreamrosaleens grandmother angela lansbury tales gloss central story intriguing suggestive ways "                        
[13] " result surprisingly successful example sinister contemporary fairy tale "                                                                                      
[14] " say surprisingly many ways film gone wrong "                                                                                                                   
[15] " ways "                                                                                                                                                         
[16] " performances mediocre except lansburysshe finds right note prim applecheeked granny wise stern teller cautionary tales "                                       
[17] " soundtrack synthheavy reminded bad s horror movies special effects shapechanging scenes "                                                                      
[18] "probably stateoftheart time now laughable "                                                                                                                     
[19] " jordan succeeds consider trickiest aspect film transcends poor actingmusiceffects conveys sense fantastic otherness "                                          
[20] "one problems adapting fullblown fantasies fantasy often best left imagination reader rather subjected realism screen "                                          
[21] "part love see adaptation lord rings hand know filmmakers recreation ents hobbits balrogs inevitably going really lame compared picture mind "                   
[22] " makes jordans accomplishment seem mighty impressive imbues company wolves genuine sense magic mystery "                                                        
[23] " somewhat ruritanian dreamworld becomes kind urreality "                                                                                                        
[24] " sunshine exceptionally warm abundant "                                                                                                                         
[25] " nights quiet misty eerie ghostly "                                                                                                                             
[26] " peasant village rustic cozy woods old hoary "                                                                                                                  
[27] " archetypal realm setting smart subtle literate script script good youd expect jordan accomplished fiction writer carter "                                      
[28] " carter cauldron story witches brew bubbling primal ingredients mistshrouded forests ancient graveyards virginal girls wise women wolves glowing eyes "         
[29] " adeptly blends together "                                                                                                                                      
[30] " symbolic richness film everything permeated sense significance "                                                                                               
[31] " point think represent girls ritesofpassage unconscious primordial level "                                                                                      
[32] " nightjourney forest village grandmothers home crux company wolves "                                                                                            
[33] " dont stray path rosaleen told path literal figurative path forest path life "                                                                                  
[34] "staying path conventional approach suggested rosaleens elders "                                                                                                 
[35] "carter jordan never conventional explore goes leave path "                                                                                                      
[36] " stray will supposedly meet dark fate "                                                                                                                         
[37] " fate literalized dream werewolves werewolves connote many things death sex knowledge "                                                                         
[38] " straying path leads death good ideabut thats risk get sex knowledge therefore power maybe worth risk "                                                         
[39] " leave path world becomes dangerous ambiguous place full potential "                                                                                            
[40] " certainly interesting disney version "                                                                                                                         
