 [1] " well mission difficult mr hunt mission impossible "                                                                                                                                                                    
 [2] "difficult walk park "                                                                                                                                                                                                   
 [3] "agent swanbeck sir anthony hopkins series new agent phelps takes ethan hunt tom cruise notch "                                                                                                                          
 [4] " russian scientist rade serbedzija created new virus antidote called chimera destroys host within twenty hours injection "                                                                                              
 [5] " rogue imf agent sean ambrose dougray scott wants use disease cure blackmail pharmaceutical company selling enough stock make owner company knows will soon worth weight gold thanks outbreak virus going cause "       
 [6] "posing ethan hunt ambrose gains confidence scientist long enough get cure realizing scientist injected virus prevent exactly ambrose trying "                                                                           
 [7] " real ethan hunt called vacation persuade beautiful thief nyah nordoffhall thandie newton assist imf team retrieving stolen goods "                                                                                     
 [8] "ethan nyah fall quickly love ethan soon finds real dilemma learns new love hired former lover ambroses "                                                                                                                
 [9] "reluctantly sets nyah rescued prison ambrose can infiltrate compound send back intelligence team "                                                                                                                      
[10] "ethan must race time keep ambrose obtaining spreading virus prevent harm coming nyah "                                                                                                                                  
[11] "although first mission impossible film moderate box office success audiences panned felt plot confusing wasnt much action although fan series old new thought movie pretty decent especially gutsy make phelps bad guy "
[12] " problem rectified sequel making plot accessible courtesy one writers previous entry robert towne turning film one gigantic action set piece steady hand action film guru john woo "                                    
[13] " end result one entertaining yet simple action films made long "                                                                                                                                                        
[14] "unfortunately first forty minutes relatively slow dwelling mainly ethan nyahs quickly blossoming romance seeming place james bond film less glamorous mission impossible tv series "                                    
[15] "ethans conflict compelling one seems rushed comes near fatal car wreck ethan causes "                                                                                                                                   
[16] "john woo handles artistic flair seems place featuring great deal slow fades dramatically framed closeups "                                                                                                              
[17] " surreal nature sequences distracting ultimately detriment film "                                                                                                                                                       
[18] "thankfully though point ambrose discovers nyahs deception mission impossible ii becomes entertaining actionpacked "                                                                                                     
[19] "robert townes screenplay takes conventions set first film parodies sequence ethan must break highrise building retrieve remaining specimens virus "                                                                     
[20] " action scenes just begin build intensity case many woos previous highoctane films "                                                                                                                                    
[21] " final half hour assault action good deal ruined trailer unfortunately "                                                                                                                                                
[22] " far summer entertainment goes mission impossible ii serviceable fare "                                                                                                                                                 
[23] "anyone looking hardcore action wont disappointed except first half film perhaps "                                                                                                                                       
[24] "even werent fan first film entry deserves checking "                                                                                                                                                                    
[25] "pg "                                                                                                                                                                                                                    
