 [1] "copyright graeme huggan carry henry henry viii eight wives "                                                                        
 [2] "sid james plays henry sooner film started getting rid present queen hopes find another one soon "                                   
 [3] " part alliance france requests handinmarriage queen normandy joan sims "                                                            
 [4] " comes england hope marrying henry finds loves garlic reeking garlic breath totally averse idea marriage "                          
 [5] "henrys court corrupt cardinal terry scott trying bribe cromwell kenneth williams cromwell trying bribe king "                       
 [6] " state crisis king puts marie queen sims tower london ready execution "                                                             
 [7] " queen pregnant liased king fingers pointed sir roger de lodgerley played charles hawtrey rather lecherous character play time "    
 [8] " cardinal cromwell decide get signed confession sir roger using kinds torture devices "                                             
 [9] "owing circumstances sir roger sometimes needed sign father sometimes isnt "                                                         
[10] " renewed threats king france peter gilmore come end "                                                                               
[11] " henry found new queen played none barbara windsor "                                                                                
[12] " looks like explaining "                                                                                                            
[13] " standout performances sid james henry joan sims marie terry scott unusual role cardinal "                                          
[14] "also cameos kenneth connor peter butterworth plays barbaras father "                                                                
[15] " set costume design first class overall production film good "                                                                      
[16] " even early appearance david prowse later became green cross code man darth vader "                                                 
[17] " film downsides though getting pretty routine carryon team stage historical films inventive streak script seems run pretty quickly "
[18] " also absence hattie jacques bernard bresslaw helped film along "                                                                   
[19] "however overall film funny plenty laughs saucy jokes mainly recommend carry fans enough humour film make worth anyones sit watch "  
