 [1] "seen april p m crossgates cinema guilderland n y theater free using hoyts critics pass "                                                                                                                                                                      
 [2] "theater rating good seats sound picture "                                                                                                                                                                                                                     
 [3] " realize every time encounter new person youve just become part story "                                                                                                                                                                                       
 [4] "everyone life story past present every time two interact become part others story necessarily important even significant part part nevertheless "                                                                                                             
 [5] " seems basic theory behind go several characters chance encounters effect extreme ways "                                                                                                                                                                      
 [6] " order test theory screenwriter john august director doug liman assemble cast characters wouldnt usually types entire film revolve around teenage supermarket cashier bottomofthedrugfoodchain dealer two struggling soap opera actors "                      
 [7] " types characters might sound original consider will somehow effected strip club bouncer psychotic father midlevel drug dealer narc obsessed multilevelmarketing horny wedding guests zen lovemaker two shrimpscarfers cute normal teenage girl round things "
 [8] " will come together process film deals "                                                                                                                                                                                                                      
 [9] "id imagine concept film started creators testing see actually pull outcome terrific achievement filmmaking craft fiction general "                                                                                                                            
[10] " film starts anything else little indication whats come "                                                                                                                                                                                                     
[11] " meet ronna polley depressed los angeles checkout girl doesnt seem much desire anything except work just pay rent "                                                                                                                                           
[12] "shes charming especially customers played mostly laughs rather characterization works "                                                                                                                                                                       
[13] "maybe shes afeminite character shes far masculine creative character indeed "                                                                                                                                                                                 
[14] "things start progress ronna reluctantly agrees take hours goofy hyperactive yet likable simon askew english teen vices sake experiences "                                                                                                                     
[15] " agreement starts threepronged storyline allows simon go las vegas weekend friends turn drags ronna friends buying selling experimental drug "                                                                                                                
[16] " process will bring ronna close arrested also death "                                                                                                                                                                                                         
[17] "nearly can said two characters zack mohr adam wolf dont think much first appear supporting characters later will become major players films makeup another process used filmmakers elaborate theory significant insignificant interaction might "             
[18] " pace picked film really begins show mettle "                                                                                                                                                                                                                 
[19] " title screen ronna flashed shortly aforementioned turning point scene clear film isnt going employ standard linear method storytelling "                                                                                                                     
[20] "considering good point long overdue change pace needed movies today "                                                                                                                                                                                         
[21] " film begins take shape first following ronna friends onenight adventure begins drug deal instigated zack adam actually looking simon doesnt exactly go planned thats keeps interesting "                                                                     
[22] " second storyline starts moment ronnas story time camera chooses follow simon instead "                                                                                                                                                                       
[23] "simon three friends head vegas night town process experience things never imagined "                                                                                                                                                                          
[24] " third arc zack adam overlaps ronnas story telling much story completely different angle "                                                                                                                                                                    
[25] " shown things never expected going following ronna "                                                                                                                                                                                                          
[26] " many events happen ronna zack adam arent even fault just happened "                                                                                                                                                                                          
[27] "id really like dissect three storylines especially film wraps end take much time space spoil everything havent seen film "                                                                                                                                    
[28] "perhaps greatest element film constant surprises unpredictability due plot twists confusing screenplay just great filmmaking "                                                                                                                                
[29] "still can list analyze nearly everything film well "                                                                                                                                                                                                          
[30] " direction trying piece together complex story easy task rookie filmmaker liman great accomplishment "                                                                                                                                                        
[31] " doesnt just depict story wraps us pulling us fray experience every high low "                                                                                                                                                                                
[32] " screenplay besides chiseled detail creative general clear script inspired many sources obvious subtle references yet never screams ripoff "                                                                                                                  
[33] " tonemood hollywood films failed bring charm independents mainstream one able create sense macabre "                                                                                                                                                          
[34] " overlydark twisted comedy isnt satirical considered black comedy like macabre light "                                                                                                                                                                        
[35] " cinematographyart direction able photograph intense lighthearted manner "                                                                                                                                                                                    
[36] " characterization nearly every character introduced matter role play big picture able get sense theyre thinking came situations "                                                                                                                             
[37] "even actions surprising never seems synch "                                                                                                                                                                                                                   
[38] " performances every actor nails role see "                                                                                                                                                                                                                    
[39] " themetheory film doesnt seem concerned conveying kind political social messages instead philosophical experiment "                                                                                                                                           
[40] " fact might meant intentionally definitely something existential "                                                                                                                                                                                            
[41] " think go just big comedy adventure "                                                                                                                                                                                                                         
[42] " see also big lebowski clerks jackie brown pulp fiction true romance also liman swingers "                                                                                                                                                                    
