 [1] "youd think easy spoof star trek try spoofing without cruelly mocking "                                                                                                                             
 [2] "thats bit difficult "                                                                                                                                                                              
 [3] " farfetched scifi series enormously popular gigantic fan base ongoing installments television movies "                                                                                             
 [4] " youre nice lose "                                                                                                                                                                                 
 [5] "galaxy quest star trek mel brookss spaceballs star wars affectionate riotously funny parody freely takes jabs various elements subject never seems meanspirited malintentioned "                   
 [6] " shows cancelled journey far "                                                                                                                                                                     
 [7] " current tagline galaxy quest star trek type show thats longer produced lives forever reruns "                                                                                                     
 [8] " also lives conventions gatherings shows obsessive fans never fail dress galaxy quest costumes ask absurdly logical questions delirious technobabble "                                             
 [9] "jason nesmith tim allen played commander peter quincy taggart show one cast still gets excited gigs "                                                                                              
[10] " attitudes rest tommy webber daryl mitchell gwen demarco sigourney weaver fred kwan tony shalhoub alexander dane alan rickman range indifference utter contempt "                                  
[11] "dane played spocklike alien especially disgusted considering demeaning job stubbornly refusing recite characters cheesy trademark line grabthars hammer shall avenged something like diehard fans "
[12] "one day nesmith greeted especially fanatical group galaxy quest followers "                                                                                                                        
[13] " actually aliens planet known thermia "                                                                                                                                                            
[14] " mistaken galaxy quest episodes historical documentation actual heroic space travel "                                                                                                              
[15] " next day thermians whisk nesmith away spaceship help defeat evil sarris named one films meanspirited gags village voice film critic andrew sarris "                                               
[16] "nesmith thinks elaborate gig sort blows transported say shot back earth rather celestial manner believes "                                                                                         
[17] "next thing cast knows dragged nesmith spaceship "                                                                                                                                                  
[18] " course think mind convince really spaceship want get fast transporters will take "                                                                                                                
[19] " persuading stay fight icky sarris find way provide peaceful existance flailing thermians "                                                                                                        
[20] " quite surprised well comedy came utterly brainless marketing campaign worked "                                                                                                                    
[21] "taking shots obvious notsoobvious elements star trek fandom galaxy quest never goes cheap laughs opting instead broad smart parody "                                                               
[22] "nothing safe cliches fans absurd taglines hand everything safe since galaxy quest treats subject utter respect sometimes even subtle admiration "                                                  
[23] " highlight movie tony shalhoubs fred k tech sergeant chen character complete opposite scotty original star trek "                                                                                  
[24] " scotty technician enterprise constantly yell need power captain "                                                                                                                                 
[25] "chens cry help tune core like wont take something "                                                                                                                                                
[26] " hoot doesnt stop weaver whose character menial task repeating everything computer says rickman relentlessly holierthanthou attitude arent far behind "                                            
[27] "galaxy quest succeeds funny parody star trek masterpiece tends falter serious moments immensely entertaining fluff excellent counterprogramming sober oscar contenders released holiday season "   
[28] " grabthars hammer hell movie "                                                                                                                                                                     
