 [1] "mary nortons childrens book series borrowers made several belowaverage television movies "                                       
 [2] " wasnt enthused entered theater bigscreen debut minute clan "                                                                    
 [3] " shock borrowers actually thoroughly delightful movie plenty good laughs even decent special effects "                           
 [4] " lender family thrown longtime home "                                                                                            
 [5] " aunt owned property never left will "                                                                                           
 [6] "now unscrupulous lawyer ocious potter john goodman plans demolish house replace ultramodern housing development "                
 [7] " lenders alone house "                                                                                                           
 [8] "living floorboards family borrowers inch tall people make living scavengers human beans "                                        
 [9] " clock family borrowers distressed lenders especially discover evil potter actually copy will leaves home lenders "              
[10] " clocks pod jim broadbent homily celia imrie along kids arrietty flora newbigin peagreen tom felton recover will save household "
[11] " potter learns tiny people enlists skills exterminator jeff mark williams kill clan "                                            
[12] "theres plenty attention detail borrowers especially furnishings clock family house made lost board game parts credit cards "     
[13] " background details nearly rich entertaining story "                                                                             
[14] " various predicaments clock family clever thrilling "                                                                            
[15] "based original story screenwriters good job imagining potential unusual perils exist inch tall person "                          
[16] " villain john goodmans performance veers edge overthetop "                                                                       
[17] " performance suits role well well films many slapstick moments "                                                                 
[18] " nearly seamless mix oversized sets bluescreen shots cgi special effects borrowers well done "                                   
[19] " times can spot effects work none jarring lose suspension disbelief "                                                            
[20] "hopefully borrowers will surpass curse labeled childrenonly movie surprisingly entertaining fun watch "                          
