 [1] " filmmaker deconstructs story well atom egoyan "                                                                                                                                       
 [2] "im referring specifically narrative form "                                                                                                                                             
 [3] " sweet hereafter egoyan tells story similar framework exotica adjuster "                                                                                                               
 [4] "said story fatal school bus accident small town sam dent british columbia shatters morale locals told unstraightforward manner "                                                       
 [5] " film opens accident already happened stephens wonderful holm polite ambulancechaser arrived promise lawsuit will eek truth really occurred fateful morning "                          
 [6] "throughout get meet parents dead broken souls follow stephens like pied piper passages read film "                                                                                     
 [7] " one living passenger paralyzed nicole polley whose dark secrets life accident may affect decision testify "                                                                           
 [8] " finally see accident three quarters film stunning visual effect "                                                                                                                     
 [9] " horrific long take shows bus sliding stopping collapsing frozen lake best digital trickery movie year perhaps ever motion picture "                                                   
[10] " fractured narrative also intercuts preoccupied stephens airplane traveling meet hivpositive runaway daughter well glimpses artificially happy lives people led preaccident "          
[11] " problem story story structure egoyans heavy handedness behind camera "                                                                                                                
[12] " first hour can quite honestly say verge tears miserable miserable people "                                                                                                            
[13] " thats just problem anguished folk sympathy wanes lot sadness becomes much "                                                                                                           
[14] "also subplot involving incest rings untrue "                                                                                                                                           
[15] "perhaps wouldnt feel contrived werent shot tasteful manner "                                                                                                                           
[16] " two characters father daughter first appeared thought lovers "                                                                                                                        
[17] " halfright "                                                                                                                                                                           
[18] "nevertheless worthseeing "                                                                                                                                                             
[19] " delightful critic geoff pevere recently wrote american films action canadian films consequences hence recent wave films effects shock death toronto directors including crash kissed "
[20] " sweet hereafter much better either two films simply boring case kissed afraid material necrophilia "                                                                                  
[21] "egoyan fine fine postmodern storyteller whose work entertaining edgy smart bit intellectual times "                                                                                    
[22] "though harped weightiness material always absorbed engrossed surprised sweet hereafter "                                                                                               
