 [1] " remember mpaa says horrific deplorable violence ok long dont say naughty words "                                                                                               
 [2] "featuring voice talents matt stone trey parker mary kay bergman "                                                                                                               
 [3] "rated r "                                                                                                                                                                       
 [4] "filmmakers jump reallife controversies faster austin powers felicity shagwell "                                                                                                 
 [5] " debate whether cinema blame teenagers turning hoodlums begun heat already someones made movie thank god tragic account family ripped apart effect violence films teenage boy " 
 [6] "instead get sharp biting satire takes prisoners leaves conservative point view unscathed "                                                                                      
 [7] "based popular controversial cable tv show south park bigger longer uncut can finally break loose shackles placed show television restrictions take bad taste brand new heights "
 [8] " movie group kids sneak canadian rrated movie learn naughty words "                                                                                                             
 [9] " exhibit new knowledge moms decide blame canada wage war neighbor country execute terrence phillip flatulent actors obscene film "                                              
[10] " kids form alliance name la resistance accent third syllable resistance save favorite thespians hilarious spoof tribute "                                                       
[11] "les mis rables "                                                                                                                                                                
[12] " subplot one characters kenny else "                                                                                                                                            
[13] "dies goes hell meets satan "                                                                                                                                                    
[14] "satan saddam hussein lovers see "                                                                                                                                               
[15] "satan benevolent soul favorite eastern ruler can think sex "                                                                                                                    
[16] "apparently terrence phillip executed will final sign apocalypse satan can emerge deepest bowels underground kingdom rule earth "                                                
[17] "aside brilliant satire south park also allstopsout musical unforgettable numbers like shut f ing face uncle f er cartmans mom big fat bitch "                                   
[18] "almost invariably funny stuff often juvenile always funny "                                                                                                                     
[19] " can said rest movie intelligent delivered sophomoric manner e "                                                                                                                
[20] "toilet humor endless profanity etc "                                                                                                                                            
[21] " theres anything wrong vulgarity done right bag baby "                                                                                                                          
[22] "trey parker matt stone twentysomethings behind film show paint bullseye motion picture association america proceed first start trying hit "                                     
[23] "cruelly mocking fact mpaas rating system will allegedly tolerate grotesque violence long obscenities arent uttered auteurs throw nasty oneliner insults way "                   
[24] " ratingsaplenty association isnt target unsparing banter people favor censoring movies gun control equally fair game blame canada plot notsocheap shot "                        
[25] " distinctively lowtech cardboard animation oddly effective even state art deep canvas technique aptly demonstrated recent tarzan "                                              
[26] " pleasant look less intimidating screen importantly doesnt detract films concept much disneys admirably aweinspiring work "                                                     
[27] " shows popularity waning late perhaps movie just thing boost ratings "                                                                                                          
[28] "perhaps "                                                                                                                                                                       
[29] " seen show numerous occasions can say nearly smart funny movie "                                                                                                                
[30] " series may better simply continuing big screen every couple years "                                                                                                            
[31] "parker stone outdone point forced ask must show go "                                                                                                                            
[32] " eugene novikov "                                                                                                                                                               
