 [1] " major spoilers film forwarned "                                                                                                                                                          
 [2] " wont appear till later article youre safe now "                                                                                                                                          
 [3] "eyes wide shot running time hours minutes theatrical aspect "                                                                                                                             
 [4] "starring tom cruise dr "                                                                                                                                                                  
 [5] "bill hardford nicole kidman alice hardford sidney pollack leelee sobieski todd field nick nightingale directed cowritten produced stanley kubrick inspired traumnovelle arthur schnitzer "
 [6] " interesting film "                                                                                                                                                                       
 [7] " must first state musnt believe rumors film "                                                                                                                                             
 [8] "cruise cross dresser kidman doesnt shoot heroin theres scene two suggest aided sex therapist "                                                                                            
 [9] " look film suggest follows translation inspired book film written "                                                                                                                       
[10] " translation dream novel makes thing film titled dream film "                                                                                                                             
[11] " noticable amount graininess film "                                                                                                                                                       
[12] "rather complain may already see style shooting "                                                                                                                                          
[13] " gather kubrick got another lighting kick shooting shot much natural light "                                                                                                              
[14] " film looks like pushed another two stops add grain brighten slightly "                                                                                                                   
[15] " auteur stickler details kubrick seemed bit lax one "                                                                                                                                     
[16] " film looks great good deal bloopersflubs occur "                                                                                                                                         
[17] " see lots boom shots reflection see camera least twice "                                                                                                                                  
[18] " months "                                                                                                                                                                                 
[19] "wow "                                                                                                                                                                                     
[20] "reflection biggest killer film "                                                                                                                                                          
[21] " apartment almost everything film casts reflections crew can seen quite glaringly "                                                                                                       
[22] "one topic heated discussion saw austin powers version perfectly frank unless know overlays supposed youll probably see "                                                                  
[23] "two girls standing next look little suspicious can wait unrated version video see way supposed "                                                                                          
[24] "spoilers "                                                                                                                                                                                
[25] " film starts cruise bill kidman alice getting ready little xmas soiree "                                                                                                                  
[26] " go quite elegant party seems storagehouse lighting equipment actually apartment owned pollack "                                                                                          
[27] "bill runs old friend medical school now partys entertainment "                                                                                                                            
[28] "soon bill alice flirting others party thinking noticed "                                                                                                                                  
[29] "bill called help partygoer bit much good time "                                                                                                                                           
[30] " next day bill alice casually smoking marijunana bedroom discuss previous nights flirtations "                                                                                            
[31] " discover knew flirting "                                                                                                                                                                 
[32] "bill starts talking women can provide relationship gets alice extremely angry "                                                                                                           
[33] " hazy state tells opportunity almost acted cheat bill caring possible aftereffects "                                                                                                      
[34] "bill gets called away one patients dies goes console daughter "                                                                                                                           
[35] " patients engaged daughter makes plea love affection struck images affair never occured wife alice naval officer "                                                                        
[36] " sees opportunity betrayal wife can continue interrupted "                                                                                                                                
[37] " strolls home encounters hooker "                                                                                                                                                         
[38] "seeing another opportunity arise follows hooker home "                                                                                                                                    
[39] " toy around act ensues alice calls cell phone "                                                                                                                                           
[40] " breaks date hooker heads back night "                                                                                                                                                    
[41] " passes lounge notices old medical school buddy playing heads "                                                                                                                           
[42] " meets friend friend reveals extra scratch plays strange parties blindfolded "                                                                                                            
[43] "bill intrigued wants go one "                                                                                                                                                             
[44] "nick reluctantly sets directions password "                                                                                                                                               
[45] " follows short meeting bill obtains costume party meets young girl leelee sobieski father "                                                                                               
[46] " young girl drawn eye young age prescence father deter happening "                                                                                                                        
[47] " gets party say least strange affair "                                                                                                                                                    
[48] " partaking strange religious right women men pair orgy end orgies "                                                                                                                       
[49] " woman warns bill disguise leave exposed fraud party "                                                                                                                                    
[50] " detained second warning outed group "                                                                                                                                                    
[51] " getting home hides evidence evenings events "                                                                                                                                            
[52] "unable carry day tries piece events previous night together "                                                                                                                             
[53] " process finds nick disappeared life possibly danger woman warned died "                                                                                                                  
[54] "im trying save bit film worth sitting get point "                                                                                                                                         
[55] " minutes point "                                                                                                                                                                          
[56] " strange film despite events occur film strong family message behind "                                                                                                                    
[57] " will hard pidgeonhole film certain kind film "                                                                                                                                           
[58] " got sex nudity drugs many immoralistic values "                                                                                                                                          
[59] " serve show bad ones life "                                                                                                                                                               
[60] " recommend film highly many merits "                                                                                                                                                      
[61] "cruise kidman rarely together longer minutes opening scene secrecy shrouded film hopefully apparent kept see "                                                                            
