 [1] "since dramatic picture undergone certain change style "                                                                                                                     
 [2] "now instead emphasizing feelgood stories replete characters noble virtues screenplays direction point toward human struggle sorrow "                                        
 [3] " realist tendancy can inspiring times s schindlers list shows "                                                                                                             
 [4] " todays mainstream drama however creates overabundance emoting can turn members audience "                                                                                  
 [5] "thats pictures like october sky throwback good ol dramas yesteryear welcome relief contemporary cinema "                                                                    
 [6] " movie based true story homer hickam jake gyllenhaal teenager s company town coalwood west virginia "                                                                       
 [7] " wellknown fact boys make name ones get town football scholarships rest grow work coal mine "                                                                               
 [8] " mine run homers father chris cooper place homer however "                                                                                                                  
 [9] " watching soviet satellite sputnik shoot across october sky homer feels connection outside world puts anyone world look see thing "                                         
[10] "drafting two best friends brainiac outcast homer begins construct rockets "                                                                                                 
[11] " help history teacher miss riley laura dern several mine workers four soon bound great things "                                                                             
[12] "october sky skillfully crafted film credit must go director joe johnston "                                                                                                  
[13] "johnston whose career film industry includes everything directing wellknown titles like jumanji rocketeer uncredited role death star trooper star wars certainly knows hes "
[14] " molds characters true life also fun watch plot straightforward robust "                                                                                                    
[15] " push barriers instead adopts conservative style filmmaking enhances films charm "                                                                                          
[16] " finesse brings elements might otherwise lost relationships homer various mine workers silent struggle homers mother father "                                               
[17] " cast well chosen although true bright spots supporting roles "                                                                                                             
[18] "laura dern jurassic park lends strong performance role history teacher giving boys support guidance need "                                                                  
[19] " role instantly likeable "                                                                                                                                                  
[20] "chris cooper horse whisperer homers father less likeable even downright despicable times turn gives gravity movie "                                                         
[21] "hes definitely driving force homers life humane moments give piece certain dynamic commendable "                                                                            
[22] " script generally cheerful projecting boys endeavors lighthearted manner "                                                                                                  
[23] " moments becomes predictable train tracks scene moments sacrifices orginality need come emotional plot twist "                                                              
[24] " highlights essence youth however exceptional job can forgiven missteps "                                                                                                   
[25] "october sky success audiences "                                                                                                                                             
[26] "although doesnt appeal current teen flicks like varsity blues shes certainly holds undeniable quality older crowds will lean towards "                                      
[27] " welcome change dramatic genre one everyone see "                                                                                                                           
