 [1] "showgirls second major outing production team pual verhoeven director joe eszterhas writer "                                                                                                                                                                                 
 [2] " last effort basic instinct played like sumptuous classic hitchcock dash raw sex sensuality made come across hit like curryspiced tabasco sauce dish everyones taste certainly wellcrafted movie "                                                                           
 [3] "possibly movies greatest strength important events happened offstage prior movie movie movie "                                                                                                                                                                               
 [4] " bringing plotlines together neatly left viewer full knowledge happen characters future need film "                                                                                                                                                                          
 [5] " actually four hours worth screen story eszterhas found ways get onscreen two leading audience analyzing really going still holding interest clever misdirection false trails "                                                                                              
 [6] " major elements made basic instinct work well present showgirls "                                                                                                                                                                                                            
 [7] " attractive sympathetic still highly repellent characters shows eyes ears plotlines play several levels beautifully delineated characters drawn life believable story innocent may innocent whos trying play straight trying improve station life slips behaving way around "
 [8] " recovers flourish quits winner "                                                                                                                                                                                                                                            
 [9] " sense movie bit departure verhoeven whos known treating characters well nomi part played elizabeth berkley definitely opts game positive way left feeling good future "                                                                                                     
[10] " one great movies far better wed led expect negative prerelease publicity "                                                                                                                                                                                                  
[11] "verhoeven got first oscar nomination last quartercentury pushed farther farther experimenting sociallyacceptable limits moviemaking "                                                                                                                                        
[12] " recent three movies robocop total recall basic instinct progression backdoor access american culture moving fantastic merely psychotic underlying basic drives now hes exploring sleeze "                                                                                   
[13] " movie may first movie ever made directors contract contained specific provision deliver r rated movie "                                                                                                                                                                     
[14] " verhoeven cut several parts basic instinct get r rating although original version available video "                                                                                                                                                                         
[15] "many reviewers taken politicallycorrect stance movie uses naked ladies scenery bad thing miss fact movie naked ladies people environment naked ladies common environment exist "                                                                                             
[16] " scum use people powertrip toys need escape power "                                                                                                                                                                                                                          
[17] " world sex nothing normal human values dont pertain lack sexual excitement passionate heat even blatant scenes something accomplishment "                                                                                                                                    
[18] " nc movie isnt sexually exciting says great deal phoniness emptiness social stratum sex robbed kind beauty power value "                                                                                                                                                     
[19] " one scene movie good sex scene berkley maclachlan swimming pool exciting already know character callous manipulator "                                                                                                                                                       
[20] " anything rape scene victim whos duped cooperation "                                                                                                                                                                                                                         
[21] " dont make movie history black people america without using black actors dont make movie world war ii without guns going people getting killed dont make movie las vegas showgirls without showing las vegas showgirls "                                                     
[22] " awful lot vegas shows awful lot ladies wear little clothing "                                                                                                                                                                                                               
[23] " legitimate portrayal rather seamy side entertainment industry town sex simply negotiable commodity "                                                                                                                                                                        
[24] "showgirls deglamorizes las vegas show sex industries great effectiveness "                                                                                                                                                                                                   
[25] "nomi played good performance elizabeth berkley gives us solid picture woman limited talents whos end rope desperate live life better one shes known "                                                                                                                        
[26] " nothing market except body limited dancing ability trying desperately hooker trying something better seems destined "                                                                                                                                                       
[27] " nomi realizes shes gone far little catches just time save essential part wants "                                                                                                                                                                                            
[28] "gina rivera plays molly dressmaker costumer befriends nomi providing may one solid positive relationship nomis entire life "                                                                                                                                                 
[29] "molly one makes difference provides role model framework nomi needs verify value system shell using rest life nomis feelings molly spur forces nomis decision "                                                                                                              
[30] "gina gershon plays cristal aging still attractive starring dancer reflexively competitive manipulator whos become villainess internalizing ethos crooks scum around "                                                                                                        
[31] "gershon plays cristal cross ava gardner raquel welch fading talent made bitter selfawareness "                                                                                                                                                                               
[32] " character well drawn performed major scene hospital room acknowledges essence passes torch nomi "                                                                                                                                                                           
[33] " relationship two honest one movie provides part impetus nomi needs follow different path "                                                                                                                                                                                  
[34] " accident three important parts movie women different stripe molly honest hardworking person means well nearly dies confuses glitter image reality "                                                                                                                         
[35] "cristal talented dancer whos compromised ideals sold cooperating part system exchanging selfrespect species stardom can las vegas "                                                                                                                                          
[36] "nomi believes can make without selling succumbs degree realizes can make without selling doesnt need las vegas brand stardom "                                                                                                                                               
[37] " male parts movie simply props exist demonstrate explicate cultural milieu showgirls exist "                                                                                                                                                                                 
[38] "kyle maclachlan whose single best previous work inhumanly emotionless cop hidden gives us nicely reptilian bit pond scum two legs camouflaged nice guy "                                                                                                                     
[39] "glenn plummer plays dancer whos working bellboy provides bit alternate perspective "                                                                                                                                                                                         
[40] "plummers character one movie whos maintaining interest dance performing art even hes succumbed cult manipulation "                                                                                                                                                           
[41] "plummers character closest thing sympathetic male character whole movie "                                                                                                                                                                                                    
[42] " jost vacanos cinematography fantastic one particular delineation nomis character alteration nodialog scene using nothing color changes lighting utterly terrifying "                                                                                                        
[43] " movie rated nc due language sexual situations full frontal nudity violence probably costuming well "                                                                                                                                                                        
[44] " dont see way particular story told well without regard legitimate exercise moviemaking "                                                                                                                                                                                    
[45] " dont go see youre tough mood person possible like movie ends c u "                                                                                                                                                                                                          
[46] " life support probably one character movie youd enjoy meeting person "                                                                                                                                                                                                       
