 [1] "every year hollywood crowns new boy young actor pegged major movie stardom "                                                                                                                                                                      
 [2] "inheriting mantle last years winner matthew mcconaughey matt damon like mcconaughey proves just fresh young face evidenced two radically different projects currently releasejohn grishams rainmaker good will hunting "                          
 [3] "damon first major starring role la mcconaughey john grisham adaptationin case francis ford coppolas take rainmaker "                                                                                                                              
 [4] "damon plays wetbehindtheears attorney rudy baylor immediately passing bar exam finds representing mother mary kay place terminally ill young man john whitworth bigleague suit negligent insurance company "                                      
 [5] " rudys films main concern case also finds time protect young wife claire danes abusive husband melrose placer andrew shue mercifully brief role "                                                                                                 
 [6] "written screen directed coppola rainmaker best grisham film yet mostly take seriously "                                                                                                                                                           
 [7] "coppolas notableand effectivecontribution triedandtrue grisham formula sense humor largely comes presence danny devito rudys unlicensed cocounsel golden globe nominee jon voight insurance companys hotshot attorney "                           
 [8] " inclusion battered wife subplot feels rather superfluous danes superb always "                                                                                                                                                                   
 [9] " course damon nicely juggles weighty insurance case spousal abuse humorous rudys often comical naivete requirements role without missing beat "                                                                                                   
[10] " good rainmaker damon showcases depth talent good will hunting directed gus van sant written actor ben affleck damon "                                                                                                                            
[11] "damon plays title character will hunting troubled young construction workerjanitor mit also happens supergenius "                                                                                                                                 
[12] " attempt steer brilliant young mind right direction mit math professor stellan skarsgard taps old college friend community college psychologist sean mcguire robin williams counsel abrasive standoffish will try help come terms turbulent life "
[13] "good will hunting touchyfeely enterprise plot synopsis suggests simply dismiss discount true emotional chords affleck damons intelligent script touches "                                                                                         
[14] "even though one people can directly relate wills burden superhuman intelligence insecurities suffers universal "                                                                                                                                  
[15] " material brought life terrific ensemble actors "                                                                                                                                                                                                 
[16] "williams delivers nice dramatic turn affleck hot upandcoming actor chasing amy turns warm charming performance wills best friend everappealing minnie driver shines wills harvardschooled love interest "                                         
[17] " clear standout cast though damon bravely soften wills prickly nature natural ease audience hard care "                                                                                                                                           
[18] " many names come go fluctuations hollywood hype machine based impressive work john grishams rainmaker especially good will hunting safe bet matt damon one name will hearing lot years come "                                                     
