 [1] " must say outset never much kurt russell fan "                                                                                                           
 [2] "ive seen films silkwood backdraft unlawful entry gave adequate performances never impressed work "                                                       
 [3] "breakdown something surprise "                                                                                                                           
 [4] "russell gives fine performance cast one upstaged action orchestrated second half film "                                                                  
 [5] " say holds film together completely true harm "                                                                                                          
 [6] "russell plays jeff one half married couple travelling wife amy kathleen quinlan cross country san diego start new job new life "                         
 [7] " journeying desert car breaks left helpless stranded jeff waves passing truck driver j t "                                                               
 [8] "walsh offers take nearby diner call tow truck "                                                                                                          
 [9] " nasty incident earlier couple ruffians jeff decides stay car amy gets help "                                                                            
[10] " seems last time jeff anyone else sees "                                                                                                                 
[11] "breakdown compared several movies george sluizers vanishing original hopefully appalling hollywood remake steven spielbergs duel number hitchcock films "
[12] " breakdown part stray conventional path american actionthriller "                                                                                        
[13] "jeff become guntoting vigilante hunt wife instead becomes scared confused everyman idea hell going "                                                     
[14] " find happened amy come slight disappointment early film one done extra twenty minutes mystery bewilderment affects film little "                        
[15] "russell mentioned earlier good role kathleen quinlan nowhere near annoying apollo "                                                                      
[16] "j t "                                                                                                                                                    
[17] "walsh possibly evil truck driver terrific one best fine batch character actors hollywood doesnt seem know director jonathan mostow right track "         
[18] " reason makes great villain actually looks like real person one anyone able trust makes plot much believable "                                           
[19] "breakdown hollywood doesnt make enough great thriller believable characters scenes indeed viewers edge seats "                                           
[20] "one genuinely exciting films ive seen long time "                                                                                                        
