 [1] " opening scene young couple van pulling loading guns kissing uttering sounds like rock roll "                                                                                                    
 [2] " actually lock load cant help thinking tarantino "                                                                                                                                               
 [3] " course storyline crazy girl boy love turn violent bank robbery film unapologetically takes place alongside films bonnie clyde natural born killers "                                            
 [4] " movies roots pulp fiction exploring modern myth doomed rebels run normal life takes much psychologically realistic look phenomenon "                                                            
 [5] " inspired true events weve heard one yet tale violent couples seemed solidly demonstrated "                                                                                                      
 [6] " strangely poignant "                                                                                                                                                                            
 [7] " story real people whose lives take steadily unreal quality search normal life find increasingly unhinged "                                                                                      
 [8] "beginning final arrest film goes back trace relationship chris luke perry policeman pam ashley judd factory worker "                                                                             
 [9] " fall love marry pams increasingly erratic behaviour going spending sprees slashing knife argument begin trouble solid stable chris "                                                            
[10] " chris gets sacked find heavily debt near breaking "                                                                                                                                             
[11] " chris begins rob banks "                                                                                                                                                                        
[12] "luke perry accomplishes notinconsiderable feat making us nearly forget ever beverly hills buffy vampire slayer "                                                                                 
[13] "moustached tough paternal look yet voice eyes suggest sadness verging exasperation perfectly cast longsuffering husband "                                                                        
[14] " another john mcnaughtons coups castingagainsttype transforming robert de niro nerd bill murray gangster mad dog glory "                                                                         
[15] " character pam commands centrestage ashley judd rises challenge great alternating currents ferocity tenderness making pam fascinating yet often infuriating person "                             
[16] " performance falls short greatness however perhaps role mad woman done often virtually staple cinema whether betty blue tom viv georgia "                                                        
[17] " movies theres danger performance seems mannered collection screwy tics tantrums designed oscar presentation piece "                                                                             
[18] "judd doesnt entirely avoid pitfall pams craziness best movingly presented counterpoint normal chris "                                                                                            
[19] " pam reacts fatherinlaws death showing funeral rollerblades blaring headphones chris face picture pained restraint "                                                                             
[20] " course question normal asked normal life "                                                                                                                                                      
[21] "mcnaughton constantly offers ironies aspirations average domestic life kinship insanity "                                                                                                        
[22] " rational chris loves guns shooting precision control crazy pam loves astronomy yearns dog called chaos chaos "                                                                                  
[23] " real family notes wryly "                                                                                                                                                                       
[24] " chris methodical mind knowledge police procedure allows successful bank robber wellplanned disguise bearded roaring man terror another piece method madness "                                   
[25] " carpark sets first robbery huge sign shopping mall stands background buymore perfectly respectable consumptioncrazy american dream driven pam extravagant purchases desperate situations "      
[26] " perfect film "                                                                                                                                                                                  
[27] " dialogue touch banal perhaps intentionally "                                                                                                                                                    
[28] " use punk hardcore soundtrack pams crazed scenes comes rather close making emotional disturbance seem glamourous sexy image detracts rest film "                                                 
[29] "indeed mcnaughtons seminal film henry portrait serial killer avoidance glamour sensationalism denial standard thrills outlaw film genre gives determinedly unflashy moving film great strengths "
[30] "mcnaughton filmed story quiet coolly realistic method works far better nbk theatrics unsettling viewer "                                                                                         
[31] " suburbs miles whitefenced houses identikit malls take sense claustrophobic blankness "                                                                                                          
[32] " different way makes haunting backdrop wide open spaces terence malicks badlands "                                                                                                               
[33] " pam shares yearnings malicks heroes escape ordinary life chris takes crime precisely can lead normal life little house suburbs financed violent robberies "                                     
[34] " dreams defined constrained even doomed limitations normal conventional world "                                                                                                                  
[35] "pams final scene takes place edge suburbs wild bushes grow symbolically frontier outer limits society also quite literally end road nowhere left go final tragic denouement "                    
[36] " flying inkpots rating system wait video "                                                                                                                                                       
[37] " little creaky still better staying home gotcha "                                                                                                                                                
[38] " pretty good bring friend "                                                                                                                                                                      
[39] " amazing potent stuff "                                                                                                                                                                          
[40] " perfection "                                                                                                                                                                                    
[41] "see twice "                                                                                                                                                                                      
