 [1] "driving miss daisy takes sweet time tell small intimate story "                                                                                                                  
 [2] " quiet film slow film deliberate film "                                                                                                                                          
 [3] " youre patient movie offers innumerable rewards pair selfassured performances morgan freeman jessica tandy "                                                                     
 [4] "driving miss daisy based alfred uhrys pulitzerprize winning play name first opened new york four years ago "                                                                     
 [5] " play garnered international acclaim productions chicago los angeles london vienna norway soviet union "                                                                         
 [6] "uhry wrote screenplay film adaptation driving miss daisy also penned wonderful sleeper mystic pizza "                                                                            
 [7] " film like play set atlanta georgia revolves around two people twilight years cranky something jewish widow feels guilty wealth something black man becomes chauffeur "          
 [8] " movie relies character rather plot propel action "                                                                                                                              
 [9] " fact movie discernible plot traditional sense doesnt present linear story scenes flow together "                                                                                
[10] "rather driving miss daisy made routine activities everyday life shopping listening radio visiting cemetery eating fried chicken "                                                
[11] " film also incorporates story line actual events atlantas history including bombing temple citys oldest jewish congregation ceremony honoring reverend dr martin luther king jr "
[12] " story begins daisy tandy crashing wrecking packard pulls driveway "                                                                                                             
[13] " insurance company cancels insurance son boolie decides hire chauffeur "                                                                                                         
[14] "freeman reprising role play plays chauffeur hoke "                                                                                                                               
[15] " film chronicles warm friendship slowly surely blossoms chauffeur reluctant passenger "                                                                                          
[16] "driving miss daisy movie human nature aging prejudice great many things anything relationship one spans years cars advent civil rights one gravely important cent can salmon "   
[17] "daisy strongwilled set ways outset utterly opposed idea chauffeur "                                                                                                              
[18] "initially treats hoke contempt refusing let drive anywhere "                                                                                                                     
[19] " get car daisy ultimate backseat driver "                                                                                                                                        
[20] " make matters worse extremely selfconscious others might think see escorted around town hired hand "                                                                             
[21] "eventually however daisy worn hokes goodnatured charm infectious cheer softens opens "                                                                                           
[22] "tandy plays part daisy exceedingly well unfortunately feisty cantankerous character just smidgen commonplace "                                                                   
[23] "weve seen woman countless times incarnations golden pond cocoon "                                                                                                                
[24] "nevertheless tandy manages put enough personal stamp familiar character make "                                                                                                   
[25] "freeman hoke hand gives distinctive two performances "                                                                                                                           
[26] " something profoundly moving way hoke maintains pride dignity society forbids using public rest rooms skin color "                                                               
[27] "hoke uneducated illiterate freeman always suggests something man inner strength beneath simpleton exterior "                                                                     
[28] " freeman tandy seem element full command natural charisma "                                                                                                                      
[29] " flirt camera dominate scenes without overtly calling attention "                                                                                                                
[30] " bring light touch humorous banter movies gentle humor "                                                                                                                         
[31] " time tandy freeman provide moments truly poignant drama "                                                                                                                       
[32] " first dramatic role dan aykroyd surprisingly chubby unexpectedly effective boolie tandys loving patient son "                                                                   
[33] "drama seems agree aykroyd taking break comedy seems like good move actor especially consider wretched comedies made recently ghostbusters ii great outdoors stepmother alien "   
[34] " significant characters film daisys housekeeper idella marvelously played esther rolle good times boolies pretentious wife played patti lupone "                                 
[35] " direction bruce beresford crimes heart tender mercies driving miss daisy seems bit stagey now "                                                                                 
[36] " fortunately beresford never forgets hes shooting movie accordingly offers plenty striking cinematic touches gorgeous shots flowers trees tomatoes "                             
[37] " adapting driving miss daisy stage screen filmmakers achieved delicate subtlety "                                                                                                
[38] "uhry understands characters say can just important say "                                                                                                                         
[39] "beresford wisely exercises restraint films dramatic moments "                                                                                                                    
[40] " movie tugs heart never goes jugular "                                                                                                                                           
[41] " sap driving miss daisy trees "                                                                                                                                                  
