 [1] " bond series island film world else look forward cliches things occur films "                                                                                                                                                                   
 [2] " else pure escapism vulnerable hero talking villains blatant product placement predictable action sequences lots promiscuity hoped instead significant change "                                                                                 
 [3] " dont understand thats bond series based "                                                                                                                                                                                                      
 [4] " think films weve mostly got thing variation bit change notably two dalton films "                                                                                                                                                              
 [5] " even king cynicism cant bitch "                                                                                                                                                                                                                
 [6] " tomorrow never dies think eighteenth bond film second brosnan bond film exception "                                                                                                                                                            
 [7] "thank god "                                                                                                                                                                                                                                     
 [8] " plot pure balderdash seems nice kind edge "                                                                                                                                                                                                    
 [9] "instead just plain billionaire psychotics get rupert murdochesque media mogulpsychotic elliot carver jonathan pryce looking bitching whitehaired cru cut always talking like hes breath admittingly ingenius idea getting ratings creating war "
[10] " wag dog wants real war china england stupid enough put coverage anyone else discovered "                                                                                                                                                       
[11] "comes bond "                                                                                                                                                                                                                                    
[12] "james sent around world trying research carver fighting men running one occasion chinese secret agent like wai lin michelle yeoh asian action star extraordinaire "                                                                             
[13] "costar supercop nearly stealing screen jackie chan one "                                                                                                                                                                                        
[14] " two eventually predictably course begin working together yes sexual tension two "                                                                                                                                                              
[15] "luckily relationship never strained never gives cassanovaness finale "                                                                                                                                                                          
[16] "thank god "                                                                                                                                                                                                                                     
[17] " every bond film james bags average three women sometimes sometimes less latter potent towards aidscautionary dalton doesnt spoil one though never see course mean need stay around pg rating "                                                 
[18] "theres always one beginning chick never see big bond girl yeoh time almostcameo teri hatcher carvers wife paris seems one girls bags beginning "                                                                                                
[19] "yes teris attractive seems kind dull "                                                                                                                                                                                                          
[20] " course really fault part underwritten shes small part "                                                                                                                                                                                        
[21] "oh well "                                                                                                                                                                                                                                       
[22] " always big henchmen guys dirty work polished big villains "                                                                                                                                                                                    
[23] " time get tall arianlooking mention robert shaw russia love looking guy named stamper goetz otto pretty awesome although bit stiff well mostly posture really "                                                                                 
[24] " bit comedy get cameo vincent shiavelli german austrian assassin ordered bond one point "                                                                                                                                                       
[25] " government people small parts usual q desmond llewelyn looking near death sadly getting one scene grouchy mood usual m judi dench getting m usually gets mean judi dench "                                                                     
[26] " reason whatsoever except cause good goldeneye joe don baker shows wade admitting reason time annoying "                                                                                                                                        
[27] " oh well "                                                                                                                                                                                                                                      
[28] " action sequences letdown although sometimes go long "                                                                                                                                                                                          
[29] " pop every now mainly sake series significant ones opening one one garage bmw runs remote control motorcylce chase bmw cycle nonetheless china streets vietnam "                                                                                
[30] "plots really essential "                                                                                                                                                                                                                        
[31] "theyre hightech feature much laughs yeah dig "                                                                                                                                                                                                  
[32] " theyre distracting theyre supposed "                                                                                                                                                                                                           
[33] " acting around great "                                                                                                                                                                                                                          
[34] "yeoh actually one better bond girls mainly shes unique "                                                                                                                                                                                        
[35] " better bond girls independent certain wilyness "                                                                                                                                                                                               
[36] "pussy galore homoerotic undertones one best diana rigg married bond end majestys secret service killed added emotional depth "                                                                                                                  
[37] "yeoh notable since shes active great chemistry brosnan "                                                                                                                                                                                        
[38] "pryce awesome villain slimy lovable time "                                                                                                                                                                                                      
[39] " brosnan mack daddy "                                                                                                                                                                                                                           
[40] " bond series built cliches mainly theyre fun add escapism "                                                                                                                                                                                     
[41] " can remember dalton years theyre serious direction remember unsuccessful financially aesthetically "                                                                                                                                           
[42] " series falter bogged much plot many themes much characterization "                                                                                                                                                                             
[43] " dont really understand yet im one bigger fans series northeast united states "                                                                                                                                                                 
[44] " seen yes ive seen twice already can tell adore "                                                                                                                                                                                               
[45] " one best like goldfinger russia love tomorrow never dies nonetheless truly awesome installment even fully amazing better ones "                                                                                                                
