 [1] " bad film fact good achieving purpose actually wished film end quickly "                                                                                                 
 [2] "event horizon runofthemill scifi film im sure many watched will agree "                                                                                                  
 [3] " even original sense borrow heavily films like alien hellraiser even blade runner "                                                                                      
 [4] " magic film lies unorthodox setting methodical buildup makes wonderfully horrifying "                                                                                    
 [5] " story brings us year space travel since enormously progressed "                                                                                                         
 [6] " event horizon actually ship built secret experimental purpose ability fold time space thus making possible travelling distances reachable mans lifetime "               
 [7] " ship disappeared soon went operation years reappeared within orbit neptune "                                                                                            
 [8] " search rescue team led miller fishburne given task check survivors event horizon "                                                                                      
 [9] " designer ship dr weir neill follows along satisfy curiosity actually happened otherwise technologically impressive ship "                                               
[10] "event horizon scifi horror film much truer word say alien ever "                                                                                                         
[11] " alien crew cope ferocious creature encased within tight spaces event horizon forces goes crew undefined yet powerful horrifying "                                       
[12] " story unfolds slowly suspense buildup superb till point really felt like saying loud enough "                                                                           
[13] " cant stand anymore "                                                                                                                                                    
[14] " enough jolts send adrenalin pumping overtime "                                                                                                                          
[15] " story exactly something exciting also acting average commercial standards "                                                                                             
[16] "even essence horror carried well film thanks wellpaced storytelling disturbing set designs really gory sequences incidentally quite generously removed censorship board "
[17] "director paul anderson mortal kombat team atmosphere creators done well keeping event horizon within bounds term horror "                                                
[18] " picture well us boxoffice probably dreadfactor impact audiences people will see many recommend friend watch "                                                           
[19] "although face event horizon mostly molded massentertainment many thrills spills suspense keep audiences focus "                                                          
[20] "however offbeat horror element ultimately convey audiences disturbing "                                                                                                  
[21] " friend say word quite going experience event horizon "                                                                                                                  
[22] " guess just immense feeling dread film cast upon us "                                                                                                                    
[23] " forewarned film fainthearted pure entertainment "                                                                                                                       
[24] " prepared disturbed decide watch film "                                                                                                                                  
[25] "event horizon highly recommendedbut risk "                                                                                                                               
[26] " long time since goodhorror embraced big screen event horizon one "                                                                                                      
