 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                                       
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                                              
 [3] "east meets west mulan latest installment disneys parade annual animated feature films "                                                                                                                                                                                                                                                                                                                                    
 [4] " odd fusion ancient asian traditions disconcerting elements betray obvious massmarket commercial sensibilities confident entry easily engaging satisfying hollywood animated feature years falls short actualizing potential "                                                                                                                                                                                             
 [5] "though lack trying "                                                                                                                                                                                                                                                                                                                                                                                                       
 [6] " many respects mulan among disneys mature efforts skirting surface adult themes daring sneak glimpses messier side combat "                                                                                                                                                                                                                                                                                                
 [7] " violence battles film admittedly sanitized imagery pillaged village neatly encapsulated form childs discarded doll harrowing luke discovering fallen guardians star wars mulans later heroics dispatching ruthless invaders done tidy bloodless method imaginable yet often hollywood animated film long considered last safe refuge innocent dare touch upon consequential horrors war provocative manner "              
 [8] " instant idealistic mulans innocence lost jovial squadron reminded efforts spent defending "                                                                                                                                                                                                                                                                                                                               
 [9] " film based upon ancient chinese fable centers spirited young woman disguises man order serve familys obligatory conscript china finds attack huns cartoonishly depicted easy demonic overtones replete glowing yellow eyes daggeredged teeth although lent surprisingly genuine sense menace "                                                                                                                            
[10] "dipping mythology cultures first time cavorting animated revisitings familiar western european fables literature decades disneys new film boldly set ancient china rather relocated elsewhere story intact neutral territory revels east asian roots aside predominantly asianamerican cast providing films vocal work theres liberal usage oriental iconography throughout artwork reveal hints japanese anime influence "
[11] " film occasionally reach limits starts tread upon old stereotypes invoking pseudoasian references items like beancurd rice every third sentence grows rather hoary cant imagine regiment ancient chinese warriors really included karatechopping blocks stone two rather remarkable movie primarily positioned american european audiences delves wholeheartedly new foreign territory "                                   
[12] " film also freely touches upon cultural idiosyncrasies outset although savvy viewers easily pick intrinsics immediately startlingly assertive providing little shorthand unfamiliar youngsters regards customs traditions mulans land "                                                                                                                                                                                    
[13] " core film tale heroic adventure paints story bold strokes honour perseverance nobility courage "                                                                                                                                                                                                                                                                                                                          
[14] " animation perfect vehicle flavour epic stark emotional simplicity able effectively work handinhand visual purity "                                                                                                                                                                                                                                                                                                        
[15] "scenes play unbearably hokey live action mulans venerable father pridefully tossing aside cane accepting draft notice lent sense strength conveyed greater emotional clarity animation "                                                                                                                                                                                                                                   
[16] "mulan capitalizes strongest moments particularly heroines characterdefining opening halfhour "                                                                                                                                                                                                                                                                                                                             
[17] " film attempts integrate traditional mainstays recent hollywood animation friendly animal sidekick colourful array supporting characters mix goes slightly awry "                                                                                                                                                                                                                                                          
[18] " battle mulan finds trailed jivetalking diminutive dragon called mushu agreeable little lucky cricket ostensibly appear assist subterfuge realistically serve audiencefriendly comic relief "                                                                                                                                                                                                                              
[19] "theyre affable presences precisely ineffective reasonable amounts humour elicited eddie murphy voices mushu amusingly earnest amidst high melodrama effect mildly jarring storytelling perspective questionable necessity "                                                                                                                                                                                                
[20] " training camp mulan antagonizes eventually wins trio fumbling recruits easily characterized simply short clown skinny clown big clown provide levity film decidedly less effectiveness familiar retread traditional disney patterns grows certain fondness handsome squarejawed young captain shang "                                                                                                                     
[21] "everybody needs love even ancient chinese warrior princesses necessarily film "                                                                                                                                                                                                                                                                                                                                            
[22] " romantic angle lets air sails storys neofeminist underpinnings lacks genuine spark plays like contractual obligation "                                                                                                                                                                                                                                                                                                    
[23] "another staple recent disney animated films cache hummable little ditties also obligingly carried mulan proves decided weakness "                                                                                                                                                                                                                                                                                          
[24] "composed matthew wilder none handful tunes particularly distinguishing one ill make man unimaginatively accompanying tired montage featuring crew characters transforming lean fighting machines becomes grating hackneyed seems almost interminable "                                                                                                                                                                     
[25] " reflections early ballad lament proves song consequence serving effective showcase lea salonga one musical theatres wondrously pure voices "                                                                                                                                                                                                                                                                              
[26] "nonetheless mulan especially appealing piece work disney factory strong narrative arc pleasant artwork computergenerated stampede hun warriors charging snow mountain wholly impressive "                                                                                                                                                                                                                                  
[27] " blatantly childfriendly elements times seem incongruous remainder film theyre dissuasive remain fairly enjoyable "                                                                                                                                                                                                                                                                                                        
[28] "briskly paced smart energetic heroine filled high adventure film ultimately satisfying intimate scale father daughter "                                                                                                                                                                                                                                                                                                    
