 [1] "synopsis leonard shelby pearce former insurance investigator trail man killed wife "                                                                                        
 [2] "leonard clues murderers identity make matters worse suffers condition inhibits creation shortterm memories meaning leonard always forgetting happened just minutes earlier "
 [3] " leonard forced rely notes leaves "                                                                                                                                         
 [4] " memento traces investigation back time apparent culmination "                                                                                                              
 [5] "review memento sort movie wish id written can think higher praise "                                                                                                         
 [6] " envious nolan concocted brilliant involved original movie "                                                                                                                
 [7] " instant film noir classic memento virtually flawless "                                                                                                                     
 [8] " script unlike ever seen notable achievement days recycled hollywood homogeneity "                                                                                          
 [9] "although idea starting conclusion plotline moving backward time start entirely new never witnessed executed flair coherence "                                               
[10] " memento endlessly exciting inventive rare story keeps viewers guessing film mulling connotations long leaving theatre "                                                    
[11] " merely exercise cerebrality plenty action unexpected dose humour keep proceedings lively "                                                                                 
[12] "nolans direction equally effective never losing crispness clarity despite memento s challenging gimmick "                                                                   
[13] " top everything performances rise occasion "                                                                                                                                
[14] "pierce terrific troubled leonard moss shows great range enigmatic natalie pantolianos teddy achieves splendidly affable yet sinister quality "                              
[15] " memento may years best screenplay certainly amongst top theatrical attractions "                                                                                           
