 [1] " psycho meets exorcist holds barred "                                                                                                                                                                             
 [2] " blurb like sounds like desperate publicity low budget third rate ripoff "                                                                                                                                        
 [3] " tacky plug comes poster suspiria perhaps italian horror director dario argentos consistently successful film "                                                                                                   
 [4] " impresses rewatching surrealistic supernatural thriller argentos directorial flair stylish visuals matched nearfully coherent narrative "                                                                        
 [5] "screenplays always achilles heel confusing subplots gaping holes totally illogical incidents reactions "                                                                                                          
 [6] " question argento always better director writer "                                                                                                                                                                 
 [7] "fortunately gets plotting pretty well right suspiria taking cue book thomas de quincey called suspiria de profundis "                                                                                             
 [8] " films storyline suffers major lapses logic provided one can accept premise ballet school front coven witches "                                                                                                   
 [9] "jessica harper plays american travels germany studies dance "                                                                                                                                                     
[10] "arriving school late night driving rain sees girl leave run storm clearly distressed state "                                                                                                                      
[11] " happens next dont make comparison lightly murder sequence intensity shock value sheer directorial flair ranks alongside alfred hitchcocks infamous shower scene psycho "                                         
[12] " quite possibly homage hitchcock baroque sets graphic gore brilliantly chaotic musical accompaniment gothic rock group goblin stunning sequence remains much argentos "                                           
[13] "though nothing else quite equals intensity suspirias opening minutes film continues never anything less engrossing harper begins investigations slowly comes realise ordinary ballet school "                     
[14] " meet assortment slightly sinister characters notably head ballet teacher played alida valli another one delicious souroldmatriarchfromhell roles well "                                                          
[15] "several violent murders ensue including startling scene deserted square blind man well wouldnt want spoil things now films climax staged amid secret corridors hidden rooms gothic ghoulishness thats impressive "
[16] " english language versions argento movies usually suffer trimming just violence deep red phenomena example appallingly hacked "                                                                                   
[17] "fortunately cuts suspiria minutes version adversely affected film "                                                                                                                                               
[18] " dubbing italian actors english quite competently done excepting one appalling unintentionally hilarious effort conversation harper professor history witchcraft region "                                         
[19] " soundtrack "                                                                                                                                                                                                     
[20] " interesting imagine power film lost scored someone else "                                                                                                                                                        
[21] " stands use goblins music suspiria outstanding "                                                                                                                                                                  
[22] "apparently argento played soundtrack location filming actors hear music acted parts "                                                                                                                             
[23] " stereo video player adds greatly viewers overall experience "                                                                                                                                                    
[24] "even better see suspiria cinema youll get added bonus widescreen "                                                                                                                                                
[25] " colours "                                                                                                                                                                                                        
[26] "deep reds eerie blues superb use shadow contrast "                                                                                                                                                                
[27] " cinematography luciano tovoli whose recent credits include reversal fortune single white female uniformly superb "                                                                                               
[28] " nod also must go production designer giuseppe bassan wonderful baroque interiors "                                                                                                                               
[29] " kinds settings crucial atmosphere argentos surreal excursions notable example inferno bassan also worked "                                                                                                       
[30] "suspiria film broke dario argento major league european directors fully deserving cult status "                                                                                                                   
[31] " gore times little excessive overstated thats always one argentos shortcomings overall fascinating compelling example italian horror "                                                                            
