 [1] "one best things job every often film still catches surprise "                                                                                                                                                          
 [2] " spy kids certainly "                                                                                                                                                                                                  
 [3] " adventure story aimed primarily children movie smart zippy fun "                                                                                                                                                      
 [4] " production neither panders talks audience "                                                                                                                                                                           
 [5] " brother sister center tale believable likable kids parents get ready intelligent capable loving "                                                                                                                     
 [6] "bathroom humor kept minimum numerous wellstaged action scenes avoid excessive violence "                                                                                                                               
 [7] " relief able review allages film artistic merits ethics "                                                                                                                                                              
 [8] "consider pg rated family friendly movie theaters now "                                                                                                                                                                 
 [9] " see spot run mother going town leaving son idiot neighbor "                                                                                                                                                           
[10] "body function humor abounds including slapstick bit adult male lead repeatedly falling dog poop "                                                                                                                      
[11] " really disturbs jokes bookend film "                                                                                                                                                                                  
[12] " story begins police dog capturing mobster biting one testicles process "                                                                                                                                              
[13] " hospital doctors explain replaced testicle metal ball joke victim lucky dog didnt bit one two metal replacement balls clack together "                                                                                
[14] " course movie ends dog biting remaining testicle shows prisoners laughing criminal clacks past cells "                                                                                                                 
[15] "somebody clue genital mutilation become funny "                                                                                                                                                                        
[16] " spy kids welcome antidote repellent see spot run using imagination instead cruelty crudeness "                                                                                                                        
[17] "carmen alexa vega younger brother juni daryl sabara live beautiful seaside home parents gregorio antonio banderas ingrid cortez carla gugino "                                                                         
[18] "mom dad sultry couple devoted children "                                                                                                                                                                               
[19] " kids dont know also former spies "                                                                                                                                                                                    
[20] " agents different countries assigned erase instead fell love married retired raise family "                                                                                                                            
[21] "needless say get drawn back business "                                                                                                                                                                                 
[22] "shortly first joint mission captured end headquarters fegan floop alan cumming foppish hybrid willy wonka pee wee herman hosts junis favorite tv show "                                                                
[23] " evil behind scenes inventors prepare army robots disguised children "                                                                                                                                                 
[24] "papa gregorio device necessary radically increase efficiency creatures bad guys will stop nothing get "                                                                                                                
[25] "back home uncle felix cheech marin shows reveal mom dads secret kids "                                                                                                                                                 
[26] " brief respite safe house filled enough cool gadgets dozen sharper image stores carmen juni set find parents save world zooming sea submarine pod looks like goldfish slew wicked people including teri hatcher chase "
[27] " course adventures get use jet packs electroshock bubblegum supercomputer sunglasses "                                                                                                                                 
[28] " watch secret agents transformed bizarre creatures silly putty faces used background characters floops tv show "                                                                                                       
[29] " deal guards huge thumbs arms legs heads normally guards ineffective "                                                                                                                                                 
[30] " theyre thumbs "                                                                                                                                                                                                       
[31] " move one colorful locale another including nifty virtual reality room reminiscent holodeck star trek "                                                                                                                
[32] " storyline silly convoluted even dense easier follow either mission impossible movie "                                                                                                                                 
[33] "director robert rodriguez dusk dawn maintains frenetic pace whole film clocking mere minutes "                                                                                                                         
[34] " bit less action little character development nice provide enough quiet moments viewers become fully invested family "                                                                                                 
[35] "alexa vega daryl sabara make agreeable brother sister team squabbling way kids coming together counts "                                                                                                                
[36] "antonio banderas carla gugino even better parents quickly establish maintain great lusty chemistry keeping tongues properly cheek action scenes "                                                                      
[37] "even usually irritating alan cumming nice moments virtual cloudbacked chat character juni one best segments film "                                                                                                     
[38] " rodriguez added scenes like enjoyed film definitely lived without glaring product placement certain mcubiquitous company "                                                                                            
[39] "regardless spy kids hoot offering fun adults children alike "                                                                                                                                                          
[40] " just think managed without sacrificing single testicle "                                                                                                                                                              
