 [1] " watching boiler room constantly reminded last years masterpiece fight club "                                                                                                                                           
 [2] " films consist predominately male cast "                                                                                                                                                                                
 [3] " films follow young men illicitly fight traditional system desires "                                                                                                                                                    
 [4] " films seen eyes one narrator eventually realizes men stopped "                                                                                                                                                         
 [5] " boiler room writerdirector ben younger get point across well david fincher fight club contribute another impressive work series films aiming represent new generation "                                                
 [6] " generation seen internet prosper everyone wants millionaire "                                                                                                                                                          
 [7] "paying homage oliver stones classic wall street younger almost modernizing tale using younger hipper actors play greedy villains opposed older experienced types "                                                      
 [8] " true real life younger minds becoming richer richer knowledge standard technology "                                                                                                                                    
 [9] "boiler room dismisses notion ingenuity shows greed desire power come ages "                                                                                                                                             
[10] "another similarity fight club films action flicks "                                                                                                                                                                     
[11] " people convinced allmale cast automatically means must gory violence proof true "                                                                                                                                      
[12] " want see action movie starring ben affleck go see reindeer games weekend "                                                                                                                                             
[13] " want see smart insightful film excellent acting clever script see boiler room "                                                                                                                                        
[14] "giovanni ribisi gives outstanding performance films narrator seth "                                                                                                                                                     
[15] " dropping college running lucrative gambling center college students apartment seth offered high paying job wealthy man nicky katt "                                                                                    
[16] " agrees take job guaranteed become millionaire within three years selling stock welloff americans midwest telephone begins fit quite well coworkers "                                                                   
[17] "learning tricky techniques deceive innocent people buying shares good production seth figures good true "                                                                                                               
[18] " stumbling room wrong time knows something good company "                                                                                                                                                               
[19] " point seth left ultimate choice continue american dream make millions tell authorities something fishy going "                                                                                                         
[20] "ribisi believable seth especially shares scenes ron rifkin playing seths dad "                                                                                                                                          
[21] " two perfect chemistry troubled father son trying impress simultaneously impress "                                                                                                                                      
[22] " transitions anger sympathy scenes contain standout segments entire film "                                                                                                                                              
[23] " supporting cast greedy coworkers also flawless "                                                                                                                                                                       
[24] "ben affleck shines short sweet performance recruiter company nicky katt fabulous ostensibly friendly boss eventually becomes extremely jealous seth vin diesel gives best performance career foil character nicky katt "
[25] " energy cast whole makes boiler room well paced never boring "                                                                                                                                                          
[26] " major error film nothing major happens "                                                                                                                                                                               
[27] " big plot twist climatic point make film memorable "                                                                                                                                                                    
[28] "due lack major event boiler room never finds suitable genre fit "                                                                                                                                                       
[29] " movie intense enough thriller romantic segments involving seth abby nia long properly finalized dialogue isnt funny enough make comedy "                                                                               
[30] " trouble characterize movie whole boiler room slightly confused times "                                                                                                                                                 
[31] " doesnt seem know category fit "                                                                                                                                                                                        
[32] "one satisfying concluding scene changed whole film better "                                                                                                                                                             
[33] "otherwise movie fun watch thanks lively cast young actors "                                                                                                                                                             
