 [1] "john cusack kind actor seems effortlessly slide respective film roles "                                                                                                                                                                                                                                                           
 [2] " effortlessly people tend forget hes much way people rarely recall many great character actors anyone can put name james rebhorn actors face invited treat product one sponsors "                                                                                                                                                 
 [3] "example day mother asked expert course movies worth seeing never mind tastes couldnt divergent ill never forget day recommended go see night roxbury god sakes fair mightily pissed telling go "                                                                                                                                  
 [4] " lot fun didnt see anything futile attempt conversation "                                                                                                                                                                                                                                                                         
 [5] " muttered little trepidation might enjoy high fidelity "                                                                                                                                                                                                                                                                          
 [6] " responded usual query whose one "                                                                                                                                                                                                                                                                                                
 [7] " question whose answer seems immediately conjure kind movie went see "                                                                                                                                                                                                                                                            
 [8] " reply julia roberts probably assume something wispy light sylvester stallone movie picture bloodbath words much involuntary bicep flexing woody allen movie means hyper articulate white people usually jewish faith fretting upper east side palace "                                                                           
 [9] "anyway answered john cusack replied rather stunned unreasonable know referring "                                                                                                                                                                                                                                                  
[10] "now know fact mother seen several cusack movies recently john malkovich pushing tin suppose understandable recognize name names tougher faces "                                                                                                                                                                                   
[11] " showed picture cusacks mug paper hoping oh yes hes quite good instead got dont know "                                                                                                                                                                                                                                            
[12] " point way beyond frustration realm nose hair yanking anger yes filmic ignorance takes get nose hair pulling zone till realized something doubt much america recognize cusacks relatively bland visage even name rather bland compared coolness brad pitt tom cruise onesyllable names glide tongue velocity speeding car "       
[13] "cusack cusack quite cool "                                                                                                                                                                                                                                                                                                        
[14] "im sure twenty years now cusack will forever referred guy add cusack film choice "                                                                                                                                                                                                                                                
[15] "hes brand name movies usually arent big moneymakers unassuming way hes kind genius "                                                                                                                                                                                                                                              
[16] " pleasant common man looks charming semiarticulate blatherings become one likeable romantic leading men s "                                                                                                                                                                                                                       
[17] " sure thing say anything cusack merged talents early tom hanks early jack lemmon "                                                                                                                                                                                                                                                
[18] "despite fact nearly every character plays variation character schlumpy every man hes constantly enjoyable screen persona like albert brooks woody allen "                                                                                                                                                                         
[19] " knows chose scripts stephan baldwins val kilmers seem put selves everything former actually insight follow oscar winner usual suspects pauly shore vehicle judging latest projects looks like still yet fire agent cusack generally picks rewarding projects save unwatchable hot pursuit film also featuring young ben stiller "
[20] "high fidelity second collaboration hit miss english director stephan fears grifters hilo country hit "                                                                                                                                                                                                                            
[21] " also cowritten cusack collaborators terrific comedy grosse point blank "                                                                                                                                                                                                                                                         
[22] " quite entertaining funny film progresses meandering fashion movie cast something spell "                                                                                                                                                                                                                                         
[23] "high fidelity begins hipster ode noncommittal rob vinyl record store owner opens film breaking fourth wall much abandon educating us top break ups list "                                                                                                                                                                         
[24] " something cusack entire film la ferris buellers day "                                                                                                                                                                                                                                                                            
[25] " first talkingdirectlyintothecameraschtick vaguely annoyed mostly reminded much film body shots used similar conceit began grow due almost entirely cusacks witty delivery "                                                                                                                                                      
[26] "hes kind guy dont mind talking directly us "                                                                                                                                                                                                                                                                                      
[27] "gradually film settles shampoolike tragicomic character study guy must confront personal failures order figure true person yes existential "                                                                                                                                                                                      
[28] "though plotline mostly enjoyable thing liked film much pleasure offers introducing us minor characters now really something terrific enough warrant films "                                                                                                                                                                       
[29] " best jack black funny show tenacious d program sadly went way bruce willis hair unfortunately annoying smirk remains ardent record store employee bullies customers buying exactly wants buy "                                                                                                                                   
[30] "hes kind guy im sure weve met blowhard thinks hes always right will anything power yell argue insult hoist opinion onto others "                                                                                                                                                                                                  
[31] " like guy black plays "                                                                                                                                                                                                                                                                                                           
[32] " actor portly round baby face crazy eyes despite size leaps fro like manic speed freak might bit redundant description seeing speed freaks know manic "                                                                                                                                                                           
[33] "hes kind supporting character impossibly annoying comic relief films "                                                                                                                                                                                                                                                            
[34] " look hack jan de bont poor phillip seymour hoffman twister "                                                                                                                                                                                                                                                                     
[35] " fears black never let happen "                                                                                                                                                                                                                                                                                                   
[36] " character shucking jiving steeped reality "                                                                                                                                                                                                                                                                                      
[37] "hes top way can probably relate "                                                                                                                                                                                                                                                                                                 
[38] "catherine zetajones brief role gives vivid portrayal women completely enamored charm "                                                                                                                                                                                                                                            
[39] "tim robbins registers even tinier part new agetype character played entirely cartoon yuks still manages work desired comic effect "                                                                                                                                                                                               
[40] " one exception acting department bit doozy main love interest played danish actress iben hjejle mifune completely obliterates trace danish accent replacing stilted american phonation "                                                                                                                                          
[41] " give kudos attempting contradictory role instead likeable comes across rather robotic hard see cusacks character obsessed especially beautiful intelligent writer natasha gregson wagner potentially waiting wings "                                                                                                             
[42] " reminded say anything charming cusack paired charmless ione skye midnight garden good evil poor bastard put alison eastwood whose unbelievably wooden father clint special people whose wheels turn little slower "                                                                                                              
[43] " fact cusack rarely paired personality matches though id bet laura natasha switched roles result effective "                                                                                                                                                                                                                      
[44] "high fidelity works almost entirely strength characters performances "                                                                                                                                                                                                                                                            
[45] "fears direction somewhat stilted script sometimes little word im beginning hate use alas must quirky good think ill blame scott rosenberg judging beautiful girls con air things denver dead fingerprints irritating bits movie "                                                                                                 
[46] " cusack really deserve award damn cusackian "                                                                                                                                                                                                                                                                                     
[47] "im afraid talents understated may wait till hip needs replacing offered award worthy considerable talent "                                                                                                                                                                                                                        
[48] " character rob whose sort like older bitter lloyd say anything funny tragic without pathetic cusack can still imprint onto minds audiences something achievement "                                                                                                                                                                
