 [1] " admit disliked film initially "                                                                                                                               
 [2] " certianly isnt every taste sheer torture sit youre restless mood "                                                                                            
 [3] " said right mood absolutely incredible "                                                                                                                       
 [4] " second favorite movie shooin first almost year "                                                                                                              
 [5] "perhaps big turnoff many films unconventionality "                                                                                                             
 [6] "id hardpressed compare film ive seen artsy incredibly slow amazingly works beautifully "                                                                       
 [7] " second viewing realized film follows three act structure didnt think sort structure first saw "                                                               
 [8] " first act serves set characters sort "                                                                                                                        
 [9] " exists even moreso set mood tension restlesness perhaps even feelings boredom "                                                                               
[10] " shattered intense violence second encompasses movie "                                                                                                         
[11] " majority film one extended battle scene intercut brief flashbacks voiceovers "                                                                                
[12] " artsier elements detract action add succeed briefly letting viewer peek minds soldiers suddenly yanked back reality battle resumes "                          
[13] " battle scenes amazing second saving private ryan opinion "                                                                                                    
[14] "theyre brutal horrifying times beautiful due amazing cinematography "                                                                                          
[15] " second act immersive brilliant haunting film ever seen "                                                                                                      
[16] " problems come first third acts "                                                                                                                              
[17] "malick takes little long get film started "                                                                                                                    
[18] "although initial scenes consist two soldiers experiencing nearedenlike paradise going awol preperations battle effective necessary hints pretentiousness sink "
[19] " film just tad artsy near beginning lot people disliked movie probably gave "                                                                                  
[20] " final act effective winding film problems first persist bit long comes pretentious times "                                                                    
[21] " said two sequences one soldier gets devastating note wife another one main characters killed nothing short incredible "                                       
[22] " performances phenominal around "                                                                                                                              
[23] " two standouts nick nolte newcomer jim caviezel nominated oscars "                                                                                             
[24] "nolte riveting intense colonel charge operation "                                                                                                              
[25] " character hard mean somewhat reckless lives men yet nolte somehow manages evoke sympathy "                                                                    
[26] "caviezel forever questioning nature war place theres deeper meaning hell hes going "                                                                           
[27] " absolutely perfect genuine sympathetic sincere yet strong needs "                                                                                             
[28] "although restricted relatively small role sean penn also good companys pessimistic seargent "                                                                  
[29] " stacks saving private ryan second favorite movie ryan first "                                                                                                 
[30] " really hard compare two different wont beyond saying spielbergs film impact "                                                                                 
[31] "however two comparable standpoint quality can easily see someone thin red line ryan "                                                                          
[32] " highly recommend consider two best war movies ever made "                                                                                                     
[33] " thin red line filmmaking incredibly high order "                                                                                                              
[34] " slight faults easily offset sheer brilliance done right "                                                                                                     
[35] " real shame tanked box office films unconventional powerful thoughtprovoking dont come along often "                                                           
