 [1] " indecent proposal close personal redford wise direct picture last "                                                                                                               
 [2] "redford may look great onscreen past years hes proven bigger talent behind camera "                                                                                                
 [3] "ordinary people one best films nineteeneighties first picture helmed "                                                                                                             
 [4] " milagro beanfield war occasionally successful combining magicrealism um "                                                                                                         
 [5] "realism ive never much fan river runs chagrin many quiz show dazzling energetic convincing "                                                                                       
 [6] " horse whisperer represents directorial return nature films first time subgenre redford seems equally concerned humans scenery "                                                   
 [7] "scottthomas plays annie maclean uptight respected new york magazine editor whose daughter grace johanssen loses leg good friend early morning ride climaxes horses colliding semi "
 [8] "graces horse survived barely gone mad "                                                                                                                                            
 [9] "annie refuses put animal misery believing horse heals will mend graces newlybroken spirit "                                                                                        
[10] "eventually mother daughter travel alone montana tom booker redford famed horse whisperer gift calming horses simple looks touches leaving busy husband neill behind "              
[11] "eventually move onto booker ranch rest toms family annie finds falling love things montana including naturally tom wise lonely trainer "                                           
[12] " horse whisperer delicately made "                                                                                                                                                 
[13] " dare say lyrical since many peoples ear word synonymous boring "                                                                                                                  
[14] "hardly "                                                                                                                                                                           
[15] " horse whisperer little offer way surprise honesty refreshing consistently enjoyable watch especially final third story "                                                          
[16] "scottthomas johanssen seem like mother daughter doubt believing mountain vistas put new yorkers spell especially since d p "                                                       
[17] "robert richardsons photography casts montana heaven earth "                                                                                                                        
[18] " gimmicky effective technique filmmakers employ switch aspect ratio squarish widescreen central location shifts new york montana "                                                 
[19] " underrated sam neill turns perhaps heartfelt emotive performance niceguy husband authoritive likeable tom "                                                                       
[20] " indeed refreshing change sexist lout husband many writers resort shortcut explaining away cheating spouses motivation "                                                           
[21] "unfortunately one horse whisperers flaws chemistry wouldbe lovers scottthomas redford "                                                                                            
[22] " liked didnt necessarily believe redford fall cold fish even countryside air thawed slightly "                                                                                     
[23] "luckily curiously rich textured movie doesnt quite mattertheir adultery seems like afterthought obligatory subplot ties many characters complex relationships together "           
