 [1] "now lets first look history shark films "                                                                                                                                                        
 [2] " unforgettable jaws "                                                                                                                                                                            
 [3] " exciting jaws rather flaky jaws d sometime late s another film genre cant seem recall son jaws returning wreak revenge something like "                                                         
 [4] "now magic cgi one shark simply enough deep blue sea big mean really smart ones "                                                                                                                 
 [5] "russell frankiln jackson visits aquatica seabound research center research conducted extraction hormone substance found uniquely within shark brain can cure reverse effects alzheimers disease "
 [6] " substance small quantity lead researcher dr susan macalaester genetically alters shark dna grows twice size brains big humans naturally producing much treasured hormones "                     
 [7] " sure sun sets west shark breaks lose wreaks havoc within facility hormone extraction procedure "                                                                                                
 [8] " flexibility offered cgi sharks get fulllength screen time predecessors remotecontrolled rubber suit days "                                                                                      
 [9] "gone days people getting pulled water water turning red right "                                                                                                                                  
[10] " time get see entire gobbling action floating limbs "                                                                                                                                            
[11] "soso acting expected average action film "                                                                                                                                                       
[12] "jackson fresh jedi master role phantom menace takes darkside force different kind fits well wisecracking lines "                                                                                 
[13] "ll cool js cook role preacher film steven seagals cook dream achieve two siege films "                                                                                                           
[14] "deep blue sea offer psychological thrills jaws offer "                                                                                                                                           
[15] " however prove refreshing followup within genre full visual thrills suspense believe \005 humour "                                                                                               
[16] " like jurassic park water "                                                                                                                                                                      
[17] "nothing stressful pure entertainment "                                                                                                                                                           
[18] "renny harlin forgiven making cutthroat island "                                                                                                                                                  
