 [1] " stagy film adapted roger rueffs play hospitality suite "                                                                                                                                                                                                     
 [2] " three travelling salesmen attending industrial convention whose chicago company sent wichita company paid expenses rent hospitality suite th floor hotel aim score substantial account big kahuna someone named dick fuller head big industrial corporation "
 [3] " someone never met want sell industrial lubricants want desperately land new account reason coming convention "                                                                                                                                               
 [4] " big kahuna revels salesmentalk among three white christian males two larry spacey phil devito veteran salesmen teamed together last twelve years bob facinelli young man just recently hired firm works research department "                                
 [5] " three virtually imprisoned small hospitality suite waiting meet big kahuna focus claustrophobic film interactions hospitality suite "                                                                                                                        
 [6] " three salesmen different things mind troubling different attitude job going internal changes profoundly altering life "                                                                                                                                      
 [7] " outstanding cast tries figure way "                                                                                                                                                                                                                          
 [8] " comes question opinions life death god morality make living "                                                                                                                                                                                                
 [9] " tough questions truth seems somewhere sales pitch "                                                                                                                                                                                                          
[10] " dialogue acerbic witty analytical "                                                                                                                                                                                                                          
[11] "following long tradition salesmen films death salesman tin men glengarry glen ross film tries get see salesmanship gets men high "                                                                                                                            
[12] " case landing big kahuna "                                                                                                                                                                                                                                    
[13] " trying see hes top chasing "                                                                                                                                                                                                                                 
[14] " makes film different others blatant religious message comparing orthodox religion must sell product "                                                                                                                                                        
[15] " ones psyche stripped clean pause lesson life sunk pertinent "                                                                                                                                                                                                
[16] " goal movie literally landing big kahuna finding bill goods sold made salesmen "                                                                                                                                                                              
[17] "larry phil one way things qualms incorporating sales pitch part life "                                                                                                                                                                                        
[18] "bob thinks fray pitches every chance can get belief jesus christ "                                                                                                                                                                                            
[19] " vacuous character smug outlook life covered disarming smile eagerness prove actions words jesus literally believes "                                                                                                                                         
[20] "bob baptist takes nonquestioning literal attitude religion "                                                                                                                                                                                                  
[21] " just look another woman lust sin according way reads bible "                                                                                                                                                                                                 
[22] " asked larry married wife seems puzzled cant even say loves marriage something sacred "                                                                                                                                                                       
[23] " contrast personalities stark "                                                                                                                                                                                                                               
[24] "larry business simply wants close sale "                                                                                                                                                                                                                      
[25] " comes room pumped convention using attack mode establish serious salesman "                                                                                                                                                                                  
[26] " criticizes phil placid getting small suite cheap food tray carrot sticks rather one stuffed shrimp burnedout "                                                                                                                                               
[27] " tells go vacation "                                                                                                                                                                                                                                          
[28] "get woman "                                                                                                                                                                                                                                                   
[29] " phil reflective best years gone contemplating career change now painfully divorcing wife lived lonely life road long "                                                                                                                                       
[30] " now finds suffering troubling dreams questioning believes "                                                                                                                                                                                                  
[31] " always charmer shaking everyones hand trying please clients trying make sale "                                                                                                                                                                               
[32] "larry aggressive salesman always heart attack away every big sale "                                                                                                                                                                                           
[33] " contrast bob twenties everything seems fresh "                                                                                                                                                                                                               
[34] " first time road "                                                                                                                                                                                                                                            
[35] " dick fuller doesnt arrive party salesmen throw larry becomes confrontational asks phil spoke man gathering "                                                                                                                                                 
[36] " told spoke secretary larry throws tantrum resigned going back home office without new account "                                                                                                                                                              
[37] " start talking bob forced act bartender surprised learn fuller indeed come wearing another mans name tag bob spent entire evening consoling tycoon recently deceased dog talking jesus "                                                                      
[38] "bob tells boys private party fuller attending afterwards invited bob attend "                                                                                                                                                                                 
[39] "larry phil cant fathom bob didnt make sales pitch "                                                                                                                                                                                                           
[40] " soon take another tact decide prep bob get fullers attention companys product sent meet fuller will await return hotel room "                                                                                                                                
[41] " two sharp salesmen reduced waiting smug kid come back tell saved ass "                                                                                                                                                                                       
[42] " irony situation played darkness hotel room stay late night trying make sense lives "                                                                                                                                                                         
[43] " three performers outstanding understanding role called coming marvelous performance "                                                                                                                                                                        
[44] " problem film play cinematic experience "                                                                                                                                                                                                                     
[45] " insightful dialogue refreshing dramatics give intelligent selling point make good product see "                                                                                                                                                              
