  [1] " remember seeing trailer black cauldron pinocchio video "                                                                                                                                                                            
  [2] " really scared didnt want go see "                                                                                                                                                                                                   
  [3] "however heard wonderful wanted see "                                                                                                                                                                                                 
  [4] " didnt get chance now "                                                                                                                                                                                                              
  [5] " film disneys th animated feature opens menacing shot great black cauldron unshrouded mist narrator begins tell tale long time ago land prydain king evil spirit captured cauldron "                                                 
  [6] " hidden centuries whoever possesses will power conjure army deathless warriors rule world destroy "                                                                                                                                  
  [7] " meet farmerwizard dallben young apprentice taran "                                                                                                                                                                                  
  [8] "taran dreams warrior instead pigkeeper pig named henwen "                                                                                                                                                                            
  [9] "one day gives hen wen nice warm bath pig goes crazy dallben realizes watching hen wens thoughts bucket water taran must hide hen wen forest "                                                                                        
 [10] " evil ruler known horned king searching black cauldron hen wen power show location "                                                                                                                                                 
 [11] "taran leads hen wen forest course loses tries go find "                                                                                                                                                                              
 [12] "along way meets mischievous little creature named gurgi desires munchings crunchings much dismay besides stole apple taran trying use bring back hen wen "                                                                           
 [13] " hears hen wens squeal far away though races rescue see get kidnapped dragonlike gwythants "                                                                                                                                         
 [14] "taran chases gwythants finds staring horned kings castle far away "                                                                                                                                                                  
 [15] "taran climbs castle walls brings castle attempts rescue hen wen "                                                                                                                                                                    
 [16] " manages captured thrown dungeon "                                                                                                                                                                                                   
 [17] " meets princess eilonwy magic bauble another thing horned king hoping use find cauldron two escape deep castle walls "                                                                                                               
 [18] "along way taran finds sword burial chamber rescue comic bard named fflewdurr flamm harp whose strings break whenever tells lie "                                                                                                     
 [19] " three manage escape horned kings castle taran realizes sword magic "                                                                                                                                                                
 [20] " rest forest gurgi reappears claiming found hen wens trail "                                                                                                                                                                         
 [21] " leads taran eilonwy fflewdurr way pig tracks whirlpool "                                                                                                                                                                            
 [22] "suddenly get sucked meet fairylike fairfolk "                                                                                                                                                                                        
 [23] "taran reunited hen wen informed black cauldron hidden land morva "                                                                                                                                                                   
 [24] " devises crazy idea can destroy cauldron prevent horned king destroying world "                                                                                                                                                      
 [25] " help grumpy fairy named doli four travelers manage find mysterious cottage "                                                                                                                                                        
 [26] " turns ordinary cottage three comically strange witches inhabit place "                                                                                                                                                              
 [27] " taran tells searching black cauldron agree let exchange sword "                                                                                                                                                                     
 [28] "taran agrees much eilonwys horror least get black cauldron "                                                                                                                                                                         
 [29] " cauldron cant destroyed evil powers can stopped "                                                                                                                                                                                   
 [30] " way living climb free will never return alive "                                                                                                                                                                                     
 [31] "things take turn worse horned kings henchmen capture taran eilonwy fflewdurr along black cauldron lead back castle "                                                                                                                 
 [32] "taran eilonwy fflewdurr watch horror horned king unleashes supernatural powers cauldron ressurect army deathless warriors horrifying scene film dead army comes alive "                                                              
 [33] "just seems lost though gurgi reappears rescues taran eilonwy fflewdurr "                                                                                                                                                             
 [34] "taran jump black cauldron gurgi stops wanting throw life away "                                                                                                                                                                      
 [35] "gurgi jumps black cauldron deathless warriors decay "                                                                                                                                                                                
 [36] "taran tries find way rescue gurgi forced battle horned king "                                                                                                                                                                        
 [37] " kicks horned king away magically sucked black cauldron powers immediately destroy completely "                                                                                                                                      
 [38] "taran eilonwy fflewdurr manage escape horned kings castle just selfdestructs "                                                                                                                                                       
 [39] " witches reappear attempt take now useless black cauldron away fflewdurr stops saying never give anything away bargain "                                                                                                             
 [40] " response witches offer taran sword back taran instead new trade cauldron gurgi "                                                                                                                                                    
 [41] " trade made gurgis seemingly lifeless body reappears heartbroken group "                                                                                                                                                             
 [42] " taran cradles arms though gurgi stirshe dead "                                                                                                                                                                                      
 [43] " happy group returns home hen wen brought home fairfolk dangers past dallben even doli await triumphant return "                                                                                                                     
 [44] " spectacular sounds black cauldron really suffered lot past times "                                                                                                                                                                  
 [45] " ron miller fired position chairman walt disney productions bought novel lloyd alexander called black cauldron sword sorcery tale studio "                                                                                           
 [46] "bringing book screen studios fondest dream "                                                                                                                                                                                         
 [47] "miller entitled executive producer promised proved projects "                                                                                                                                                                        
 [48] " micheal eisner executives arrived disney animation studio animators struggling complete black cauldron "                                                                                                                            
 [49] " time things gone really rocky animation department "                                                                                                                                                                                
 [50] "many studios old men retired died "                                                                                                                                                                                                  
 [51] "therefore animators suffered hard time making film "                                                                                                                                                                                 
 [52] "originally budgeted million costs raised million constant changes everything finally released june black cauldron greeted praising reviews critics somehow film flopped "                                                            
 [53] " film rated pg film although disneyfied lloyd alexanders chronicles prydain film based much scarier darker disneys previous efforts rescuers fox hound probably many people considered scary stayed away "                           
 [54] " addition critics rejected heart unmemorable compared disney animated features "                                                                                                                                                     
 [55] " whatever real reason black cauldron financial disaster grossing million "                                                                                                                                                           
 [56] " failure film grounded studios animation department exiled animation team annex buildings nearby glendale seemed like animated features longer become part studios reputation "                                                      
 [57] " next two disney animated features great mouse detective oliver company although little lighthearted black cauldron didnt much better although oliver company grossed much black cauldron great mouse detective "                    
 [58] " little mermaid studio regain reputation successful animated features "                                                                                                                                                              
 [59] " black cauldron rereleased cities temporary time title taran magic cauldron "                                                                                                                                                        
 [60] "finally studio locked film film vault denied ever even released "                                                                                                                                                                    
 [61] " might ask black cauldron really bad movie "                                                                                                                                                                                         
 [62] " people seen film didnt think "                                                                                                                                                                                                      
 [63] " fact many people calls buena vista home video requesting film course denied "                                                                                                                                                       
 [64] " seemed like black cauldron never released video september disney released black cauldron video united kingdom "                                                                                                                     
 [65] " people imported video england converted ntsc including hadnt seen film yet included got quite treat "                                                                                                                               
 [66] " people bootleg copies black cauldron noticed scene horned king raises army deathless warriors seconds ghoulish looking skeletons slightly trimmed film get u rating uk u rating means universal suitable ages kinda like version g "
 [67] "somewhere online team diehard black cauldron fans signed petition said bring back black cauldron disney finally decided release video united states "                                                                                
 [68] " time rumors online made video trimmed like uk video get g rating add songs "                                                                                                                                                        
 [69] " rumors put rest walt disney company announced black cauldron released pg rated version "                                                                                                                                            
 [70] "even still finally released us reaction mixed "                                                                                                                                                                                      
 [71] " felt indeed cut felt wasnt "                                                                                                                                                                                                        
 [72] " minor criticisms seemed laughable since film absent thirteen years finally available "                                                                                                                                              
 [73] " saw movie first time converted ntsc video didnt expect much "                                                                                                                                                                       
 [74] " fact heard many mediocre things didnt think film ever good film "                                                                                                                                                                   
 [75] "much surprise saw first minutes film asking film everyone saw "                                                                                                                                                                      
 [76] " one flopped box office "                                                                                                                                                                                                            
 [77] " one critics filmgoers alike called bad movie "                                                                                                                                                                                      
 [78] " doesnt seem like "                                                                                                                                                                                                                  
 [79] "instead classic right "                                                                                                                                                                                                              
 [80] " film wonderful cast characters "                                                                                                                                                                                                    
