 [1] " spent entire life awful little apartment raised cared imprisoned domineering mother "                                                                                                                                                                                                                                                                                                                                       
 [2] " inspires love fear instills similar love fear jesus "                                                                                                                                                                                                                                                                                                                                                                       
 [3] " rudimentary grasp language mouthing monosyllables repetitions mothers phrases "                                                                                                                                                                                                                                                                                                                                             
 [4] " taught world outside fatally poisonous mother dons gasmask whenever goes door "                                                                                                                                                                                                                                                                                                                                             
 [5] " yearsold body child mind spirit "                                                                                                                                                                                                                                                                                                                                                                                           
 [6] " premise bad boy bubby defiantly original australian movie man called bubby nicholas hope spent entire life awful little apartment etc etc one day father ralph cotterill appears "                                                                                                                                                                                                                                          
 [7] " father shabby downatheels priest appears permanently misplaced religion "                                                                                                                                                                                                                                                                                                                                                   
 [8] "unsurprisingly thrilled way boy turned "                                                                                                                                                                                                                                                                                                                                                                                     
 [9] " however rather pleased renewing acquaintance mother claire benito point ample breasts "                                                                                                                                                                                                                                                                                                                                     
[10] "soon copulating dingy couch bubby crouches confused next room acutely aware mother devoted attention new interest "                                                                                                                                                                                                                                                                                                          
[11] "bubbys relationship world may warped least stable "                                                                                                                                                                                                                                                                                                                                                                          
[12] " fathers arrival disturbs precarious balance causing oedipal conflict endsfreud pleasedin violence result freedom "                                                                                                                                                                                                                                                                                                          
[13] "bubby intuits fathers arrival air outside breathable leaves apartment past world behind "                                                                                                                                                                                                                                                                                                                                    
[14] " far good "                                                                                                                                                                                                                                                                                                                                                                                                                  
[15] " first thirty minutes bad boy bubby bring us point quite brilliant "                                                                                                                                                                                                                                                                                                                                                         
[16] " movie best stays within constraints bubbys hermetic tworoom universe "                                                                                                                                                                                                                                                                                                                                                      
[17] " follows unrelentingly implications premise bubby used mother sex unwittingly suffocates pet cat cellophane terrifed notion jesus will beat senseless sins "                                                                                                                                                                                                                                                                 
[18] " grim savage appalling also strangely tenderde heer imagined life bizarre bubbys exaggerate comic grotesqe purposes simply empathizes "                                                                                                                                                                                                                                                                                      
[19] " observes might like "                                                                                                                                                                                                                                                                                                                                                                                                       
[20] " intensity opening scenes minimalist miseenscene immerses us claustrophobic environment seems decayed stratum world owes much david lynchs eraserhead least ambient industrial white noise soundtrack "                                                                                                                                                                                                                      
[21] " thirty minutes movie maintains feel mood reality seem far removed "                                                                                                                                                                                                                                                                                                                                                         
[22] " de heer lets bubby brings contact world film never quite recovers "                                                                                                                                                                                                                                                                                                                                                         
[23] " unlikely hero finds port adelaide wanders streets meets people suffers learns survives "                                                                                                                                                                                                                                                                                                                                    
[24] " seduced young woman salvation army band antisocial halfwit sense hygiene manages get laid mere hours escape sort question film encourages wisely given free pizza sympathetic waitress insults traffic cop punched stomach shares beers back truck rock group imprisoned raped becomes translator mentally handicapped people whose speech impaired beyond comprehension loved motherly largebreasted nurse carmel johnson "
[25] " "                                                                                                                                                                                                                                                                                                                                                                                                                           
[26] " "                                                                                                                                                                                                                                                                                                                                                                                                                           
[27] " goes turns inventive silly tasteless endearing sometimes things "                                                                                                                                                                                                                                                                                                                                                           
[28] "de heer never seems sure bubby interface real world tone shifts uneasily fable realism satire back "                                                                                                                                                                                                                                                                                                                         
[29] " scenes try touch base believable version reality weakest film best understood kind parable indeed religious implications bubbys experiences foregrounded icons jesus cross hang mothers walls bubby dons priests collar stolen father church organplaying atheist lectures necessity unbelief woman redeems named angel "                                                                                                   
[30] " manifold stresses world shatter bubbys mind fragment psychosis rather world accomodates heals "                                                                                                                                                                                                                                                                                                                             
[31] "although de heers touch times overbearing bubbys salvation touching seemd first harsh lesson damaging effects social construction reality becomes na ve humanist tale improbable hope "                                                                                                                                                                                                                                      
[32] " hapless rock group write song bubby sing give gift community "                                                                                                                                                                                                                                                                                                                                                              
[33] " returns favour steps stage one night becomes frontman turning fragmented impressions experiences performance art turning band popular draw "                                                                                                                                                                                                                                                                                
[34] "innocence triumphs "                                                                                                                                                                                                                                                                                                                                                                                                         
[35] "bubby becomes holy fool idiot savant graces us wisdom "                                                                                                                                                                                                                                                                                                                                                                      
[36] " strange turn events now shouldnt surprised bad boy bubby aint like movies "                                                                                                                                                                                                                                                                                                                                                 
