 [1] " movie underground music scene difficult beast master "                                                                                                                           
 [2] " meaning found underground usually lost dumbingdown experience make accessible general public "                                                                                   
 [3] " film produced directed people enough understanding subject matter work production assistants vh "                                                                                
 [4] "human traffic new film exploring british underground partyrave scene people immersed world clubbing pubbing drugs sex beautiful beautiful music example really done "             
 [5] " film follows five brits young twenties wild weekend parties drugs dancing sex pop culture discussions relationships wanking front mirror mum interrupts "                        
 [6] " cast character consists jip john simm narrator bit problem willy known mr floppy "                                                                                               
 [7] "koop shaun parkes black dj maestro insecurity issues afraid girlfriend nina nicola reynolds shagging men "                                                                        
 [8] "nina cant stand mcjob longs freedom weekends "                                                                                                                                    
 [9] "lulu lorraine pilkington jips best mate tired cheating boyfriends "                                                                                                               
[10] " moff danny dyer cant seem escape black hole awful life "                                                                                                                         
[11] " film follows five individuals one weekend discovers love friendship selffulfillment raging party background "                                                                    
[12] "human traffic proof cinema can still tell us deep stories visually alive director justin kerrigans subtle use camera lets audience become part action "                           
[13] " use direct communication audience collection characters works well making viewer subconscious mind characters "                                                                  
[14] "dialogue crisp moves even pace acting confident "                                                                                                                                 
[15] "however two females leads tend promote relationships dialogue bit unneeded urgency shows poignancy needed "                                                                       
[16] "human traffic try explain rave scene "                                                                                                                                            
[17] "instead gives audience ability listen people inside letting choose convictions powerful musical movement brings together strangers friends lovers one blissful night music peace "
