 [1] "urban legend surprised "                                                                                                                                                                                             
 [2] "based last films genre produced including exclusive likes know last summer disturbing behavior disappointing halloween h positive store another mildly entertaining silly ultimately boring rehash scream phenomena "
 [3] "thankfully legend rose soggy premise become hip scary stylish entertainment also will probably become one best films year "                                                                                          
 [4] "youre familiar plot bunch overly horny teenagers get systematically slaughtered masked maniac whos identity revealed closing moments film turns guessed everybodys favorite veteran whodunit flicks "                
 [5] " person didnt suspect "                                                                                                                                                                                              
 [6] "however just legend doesnt really break new ground far literary even technical achievements go mean cant qualify firstclass entertainment "                                                                          
 [7] " believe one funnest times ive movies year "                                                                                                                                                                         
 [8] " thing im really sure made particular stab pardon pun genre seem fresh alive "                                                                                                                                       
 [9] "maybe abovepar performances movies two leads jared leto cybil actress alicia witt "                                                                                                                                  
[10] " target direction jamie blanks "                                                                                                                                                                                     
[11] " likely though inspired premise "                                                                                                                                                                                    
[12] " dont think need tell killer hacking people ala urban folklore much frightening killer fisherman "                                                                                                                   
[13] "urban legend begins sequence reminded classic scream opener much plotting attention detail makes absolutely chilling teaser rest film "                                                                              
[14] " pretty young coed driving deserted road gasp gas problem heehee forces stop equally deserted gas station refill "                                                                                                   
[15] "one problem though "                                                                                                                                                                                                 
[16] " want stop station run brad dourif "                                                                                                                                                                                 
[17] " thought "                                                                                                                                                                                                           
[18] "predictably attendant ends coaxing main building sort problem credit card company "                                                                                                                                  
[19] " odd though pick phone realize nobodys line "                                                                                                                                                                        
[20] "naturally potential victim escapes car drives "                                                                                                                                                                      
[21] " least expect whack "                                                                                                                                                                                                
[22] " decapitation "                                                                                                                                                                                                      
[23] " turns creepy looking attendant just trying warn maniac back seat car "                                                                                                                                              
[24] " time "                                                                                                                                                                                                              
[25] " obvious candidate slightly offkilter professor college girl went none freddy kruger robert englund teaches class urban legends "                                                                                    
[26] "aha "                                                                                                                                                                                                                
[27] " famehungry local journalist leto looking meaty story put resume "                                                                                                                                                   
[28] "like movies nature one chief pleasures trying guess whodunit "                                                                                                                                                       
[29] " turns course one didnt suspect "                                                                                                                                                                                    
[30] "im going pretend urban legend anything must give credit credit due "                                                                                                                                                 
[31] " flick definitely deserves credit many recent horror films fun "                                                                                                                                                     
[32] " complimentary movie ticket courtesy valley cinemas lodi ca "                                                                                                                                                        
