 [1] "good films hard find days "                                                                                                                                                                     
 [2] "great films beyond rare "                                                                                                                                                                       
 [3] "proof life russell crowes onetwo punch deft kidnap rescue thriller one rare gems "                                                                                                              
 [4] " taut drama laced strong subtle acting intelligent script masterful directing together delivers something virtually unheard film industry days genuine motivation story rings true "            
 [5] "consider strange coincidence russell crowes character proof life making moves distraught wife played meg ryans character film real russell crowe hitching married woman meg ryan outside world "
 [6] " havent seen much chemistry actors since mcqueen mcgraw teamed peckinpahs masterpiece getaway "                                                                                                 
 [7] " enough gossip lets get review "                                                                                                                                                                
 [8] " film revolves around kidnapping peter bowman david morse american engineer working south america kidnapped mass ambush civilians antigovernment soldiers "                                     
 [9] "upon discovering identity rebel soldiers decide ransom million "                                                                                                                                
[10] " problem company peter bowman works auctioned one will step forward money "                                                                                                                     
[11] " choice available bowmans wife alice ryan hires terry thorne crowe highly skilled negotiator rescue operative arrange return husband "                                                          
[12] " things go wrong always situations terry team includes surprising casting choice year david caruso take matters hands "                                                                         
[13] " film notable takes simple story line creates complex intelligent characterdriven vehicle filled wellwritten dialogue shades motivation convincing acting actors "                              
[14] " script based book long march freedom magazine article pertaining kidnapransom situations story sharply pieced together tony gilroy screenwriter devils advocate dolores claiborne "            
[15] " biggest surprise chemistry crowe ryan crowe david caruso "                                                                                                                                     
[16] "dug bmovie hell caruso pulls gutsy performance crowes right hand gun providing films humor "                                                                                                    
[17] "ryan cries lot smokes many cigarettes david morse ends getting everyone guerilla camp hate crowe provides another memorable acting turn stoic gunslinger character terry thorne "               
[18] " memorable pieces film lie action scenes "                                                                                                                                                      
[19] " bulk scenes bookend movie work extremely well establishment closure devices storys characters "                                                                                                
[20] " scenes skillfully crafted executed amazing accuracy poise "                                                                                                                                    
[21] "director taylor hackford mixes oldschool style filmmaking dizziness lars von trier film "                                                                                                       
[22] "proof life thinking mans action movie "                                                                                                                                                         
[23] " film choices men women make face love war sacrifices one makes choices sacrifices help sleep night "                                                                                           
