 [1] " id rather die today go heaven live hundred go hell earnestly proclaims pentecostal preacher "                                                                              
 [2] " line coming fundamentalist christian minister hollywood taught us fill rest story "                                                                                        
 [3] " will turn scoundrel less actual belief god average american preaching will turn cynical ruse extort money naive congregation "                                             
 [4] " elmer gantry learned expect movies go church "                                                                                                                             
 [5] "well think apostle robert duvall wanted make decade take usual tack smearing minister implication rest organized religion "                                                 
 [6] "instead gives us highly devout man certainly foibles absolute dedication ministry god "                                                                                     
 [7] " arguably just surprising goodspirited film comedy even humorous moments "                                                                                                  
 [8] "instead levity picture takes touchingly serious approach introduces us world normally seen motion pictures "                                                                
 [9] " privacy attic robert duvall texas preacher euliss sonny dewey argues sternly lord scene shares kinship emily watsons character crying god breaking wavess powerful scene " 
[10] " body story starts sonnys coming upon horrific auto accident another part life generally ignored modern screenwriters "                                                     
[11] " well worn bible hand sonny leaps car can go pray accidents dying victims "                                                                                                 
[12] " scowling police officer orders go away tried work miracles sonny leaves smile confidence done lords work "                                                                 
[13] "robert duvall gives moving realistic performance surely destined receive academy award nomination also films director writer executive producer chief financier "           
[14] "rarely movie labor love "                                                                                                                                                   
[15] " white suit peachcolored shirt tie dark sunglasses sonny looks much like rock star preacher "                                                                               
[16] "duvall every movement pat "                                                                                                                                                 
[17] "even walking street ever strutting sonny contain energy "                                                                                                                   
[18] " dances claps way "                                                                                                                                                         
[19] "sonnys churches black members white means shares preaching duties many deepvoiced black orators rhetoric always competitive "                                               
[20] " may devils hitlist im gods mailing list shouts congregation revival tent "                                                                                                 
[21] " lap "                                                                                                                                                                      
[22] "people jump scream praise lord "                                                                                                                                            
[23] " mean "                                                                                                                                                                     
[24] " intensity shared religious experience palpable "                                                                                                                           
[25] " sonny saint "                                                                                                                                                              
[26] " turns wandering eye angers wife jessie played remarkably controlled performance farrah fawcett "                                                                           
[27] "jessie gets revenge taking churchs youth minister conniving gain control sonnys church leaving unemployed "                                                                 
[28] "sonny letting temper get best something foolish causes leave town two beloved kids forever "                                                                                
[29] " bulk film occurs small predominately black church louisiana builds derelict building congregation remodeled church one way road heaven holiness temple enthusiastic flock "
[30] " part rebaptizes apostle e f apostle hard worker willing take odd job necessary obtain funds church "                                                                       
[31] " asks members tithe gives money "                                                                                                                                           
[32] " good deeds extend secret donations food local poor folks "                                                                                                                 
[33] " man cant stand still tells one friends quit school didnt like recess "                                                                                                     
[34] " new town meets toosie miranda richardson like family hasnt seen "                                                                                                          
[35] " romance separated woman like rest film doesnt follow standard patterns grown expect movies "                                                                               
[36] "billy bob thornton shows one day playing local racist general troublemaker "                                                                                                
[37] " confrontation apostle yet another shows many surprising scenes breaking many rules conceptions approach deeply religious people might take "                               
[38] "although probably couldnt ended way movie wrap things nicely "                                                                                                              
[39] " dont miss sweet epilogue films closing credits "                                                                                                                           
[40] " tour de force acting performance duvall surprising unrelentingly dedicated script makes outstanding moving film "                                                          
[41] " apostle runs little long "                                                                                                                                                 
[42] " rated pg mild profanity brief violence fine kids eleven "                                                                                                                  
