 [1] " endurance shackletons legendary antarctic expedition "                                                                                                                  
 [2] " great war descended upon europe sir ernest shackleton began third expedition antarctica time first cross icebound continent foot "                                      
 [3] " men set sail brigantine endurance heard nearly two years "                                                                                                              
 [4] "director george butler using film footage photographs historic journey tells remarkable story endurance shackletons legendary antarctic expedition "                     
 [5] " expedition started merely incredibly difficult quest traverse foot vast wasteland antarctica "                                                                          
 [6] " intrepid ship crew entered weddell sea entry cold cruel continent plan dense pack ice bringing voyage abrupt halt endurance became trapped within sight land "          
 [7] " months ice thickened compressed ship crushed stranding men flow propelling away goal eventually lifeboats safety "                                                      
 [8] "shackleton faced desolate situation made decision lead three tiny boats relative safety uninhabited elephant island "                                                    
 [9] " safe haven shackleton next turned sights saving crew returning civilization "                                                                                           
[10] " five men leave island open boat make mile journey worlds roughest sea get help nearest inhabited island south georgia "                                                 
[11] "miraculously six land days sea uninhabited side target island forced trek across treacherous snow covered mountains covering miles just hours "                          
[12] " ordeal followed several attempts shackleton get back elephant island rescue remaining crewmen "                                                                         
[13] " end successful everyone made back home alive swallowed ravages war "                                                                                                    
[14] " title fascinating documentary endurance just name ship carried crew brave men edge world "                                                                              
[15] " also description stamina ability every one men survived months toughest grueling conditions face earth "                                                                
[16] " name film tribute every member crew ship sheltered many month frigid antarctic weather "                                                                                
[17] " also describes focused mental state shackleton never gave men "                                                                                                         
[18] " astonishing foresight shackleton brought australian cinematographer photographer frank hurley along journey "                                                           
[19] " filmed footage photos remarkable capture ordeal men day day life affection felt loyal sled dogs slow destruction endurance preparations get pack ice flow "             
[20] " sinking ship remaining film stock exception still camera three rolls film discarded continuing chronicle incredible journey gets less photo documentation ordeal plods "
[21] "considering hurley using relatively primitive photo technology one worlds harshest environments captured much film feat unto "                                           
[22] " hurley created account shackleton expedition documentary south interesting companion piece endurance "                                                                  
[23] " shackletons original idea document trek across frigid southern continent successful considered super human feat "                                                       
[24] " watch story endurance unfold realize disastrous obstacles sir ernest men faced overcame even greater accomplishments first intent "                                     
[25] " shackletons amazing mile journey open boat fodder rousing adventure story "                                                                                             
[26] " couple minor nitpicks fine work though "                                                                                                                                
[27] "actor liam neeson narrates story voice soft spoken lilting dramatic tale "                                                                                               
[28] " nature ordeal also concentrates visual material film photo documentarys first half "                                                                                    
[29] " crews adventure takes drastic paths hurley less less film stock available chronicle awesome events "                                                                    
[30] "helmer butler team fill blanks treasure endurance film footage mostly relegated early months expedition "                                                                
[31] " cant think truelife adventure shows better triumph man seemingly insurmountable odds "                                                                                  
[32] " endurance based caroline alexanders book eyeopening documentary goes men gone even remarkably survivors lived tell "                                                    
[33] " give b "                                                                                                                                                                
