 [1] "getting right far far cry teenage sex comedy might expect summer movie male virginity "                                                                                             
 [2] " film directed randal kleiser brought us bubblegum classics grease blue lagoon "                                                                                                    
 [3] " thanks kleisers surprisingly good direction intelligent script getting right pleasantly quiet moving memorable filmone geared strictly toward sophisticated adult audience "       
 [4] "getting right stars jesse birdsall emily lloyds boyfriend wish gavin painfully shy yearold hairdresser lives home parents whogaspis still virgin "                                  
 [5] "gavin problem whatsoever making small talk elderly women clamor services hair salon expose single yearold beauty hes mess "                                                         
 [6] "much gavins surprise woman finally brings shell robs virginity joan lynn redgrave rich married lonely yearold "                                                                     
 [7] "getting right simple story gavins awkward haphazard efforts get right find right woman fulfill life "                                                                               
 [8] "getting right one rare movies devotes entirely indepth character development "                                                                                                      
 [9] "gavins selfconscious voiceover narration experiences firmly thrusts us psyche "                                                                                                     
[10] " observe fascinating metamorphosis shy passive introversion assertive selfconfident maturity "                                                                                      
[11] "birdsalls superb understated performance gavin real backbone film seems convincing authentic throughout "                                                                           
[12] " charm getting right also lies wide array people inhabit invade gavins life "                                                                                                       
[13] "despite limited screen time redgrave makes quite splash movie gavins middleaged seducer "                                                                                           
[14] " supporting character joan unusually impressively complex thanks large part redgraves magnificent performance "                                                                     
[15] "gavin also pursued perhaps plagued minnie totally neurotic daughter rich aristocrat "                                                                                               
[16] " minnie gavin meet party takes great pleasure disrupting safe simple life "                                                                                                         
[17] "helena bonham carter delightfully pathetic kooky role sir john gielgud tongue cheek embodies height arrogance father "                                                              
[18] "gavins eventual loveinterest jenny adorable twentyyearold single mother assists beauty salon london stage actress jane horrocks fine performance yields touchingly sweet character "
[19] "peter cook great british satirist appears briefly film gavins uptight employer "                                                                                                    
[20] " scenes gavins home life parents also treat "                                                                                                                                       
[21] "gavins overprotective mother pat heywood even woody allen find overbearing almost steals movie "                                                                                    
[22] " life seems limited just two activities treating gavin like yearold preparing exotic inedible meals scalding hot curry baked chicken chocolate sauce "                              
[23] "gavin fathers attempts avoid eating meals extremely amusing "                                                                                                                       
[24] "getting right part wellcrafted except two minor shortcomings "                                                                                                                      
[25] "first movie minutes long consequently loses momentum times "                                                                                                                        
[26] "second film includes altogether extraneous subplot domestic problems gavins best friend harry unfaithful lover winthrop "                                                           
[27] "overall however getting right quite memorable humor depth sophistication outstanding acting "                                                                                       
[28] "director kleiser screenwriter elizabeth jane howard adapting highly acclaimed novel deserve praise finding just right tone tale growth maturation selfdiscovery "                   
