 [1] "youve got love disney "                                                                                                                                                                                                               
 [2] " matter serve guaranteed success long animated "                                                                                                                                                                                      
 [3] "kids go see movie "                                                                                                                                                                                                                   
 [4] " get toys "                                                                                                                                                                                                                           
 [5] "oh video came "                                                                                                                                                                                                                       
 [6] "got buy risk little billys temper tantrums next month "                                                                                                                                                                               
 [7] " culminates childhood equivalent pilgrimage mecca visit magic kingdom "                                                                                                                                                               
 [8] "stay disneyland hotel "                                                                                                                                                                                                               
 [9] "buy disney tshirt "                                                                                                                                                                                                                   
[10] "eat ice cream mickey mouse stick "                                                                                                                                                                                                    
[11] " vertical horizontal monopoly think "                                                                                                                                                                                                 
[12] "dale carnegie good "                                                                                                                                                                                                                  
[13] "whats amazing success spite severe lack originality "                                                                                                                                                                                 
[14] " see disney animated features days two components theme plot "                                                                                                                                                                        
[15] " theme changes new movie plot "                                                                                                                                                                                                       
[16] " plot mold characters ancient fable dropped try might rise characters previous features nearly always destined "                                                                                                                      
[17] "however success disney animated feature generally given far boxoffice receipts merchandising dollars glimmers eyes little children critically varied anything else hollywood offer "                                                  
[18] "luckily disneys latest animated offering mulan manages engaging refreshing even rife formula "                                                                                                                                        
[19] " film starts invasion ancient china huns led imposing shanyu miguel ferrer "                                                                                                                                                          
[20] "soon chinas emperor pat morita mobilizes armies decrees one male family country shall serve fight chinas defense "                                                                                                                    
[21] " fa family served notice elderly father fa zhou soontek oh must answer call males household "                                                                                                                                         
[22] "fearing father will surely killed battle fa mulan mingna wen disguises man sneaks royal orders join chinese army "                                                                                                                    
[23] "mulan based chinese epic poem classic tale triumph ugly duckling "                                                                                                                                                                    
[24] "mulan disgrace loving family difficult time fitting traditional womans role amusing scene matchmaker attempts assess value potential husband see grace one strong points "                                                            
[25] " early presented high importance bringing honor ones family botching chance gaining favor matchmaker mulan fails task "                                                                                                               
[26] " leaving home fight fathers place may spare life bring honor "                                                                                                                                                                        
[27] " case disney musicals songs first rate pervasive throughout film "                                                                                                                                                                    
[28] "im sure will get much airplay least one songs will doubt receive recognition come oscar time "                                                                                                                                        
[29] " lea salonga provides singing voice mulan donny osmond sings shang captain mulans army unit obligatory love interest competent although salongas voice translates much better animation "                                             
[30] " hear understand "                                                                                                                                                                                                                    
[31] "interestingly musical numbers often done big flourishes surprisingly muted mulan "                                                                                                                                                    
[32] " significantly big number customary second third song disney film detract significantly rest movie "                                                                                                                                  
[33] " however expectation built disneys formulaic history viewers may feel something missing "                                                                                                                                             
[34] "artistically animators chosen adopt subdued pastels chinese artwork although may live vibrance associated many disney works helps contribute authentic therefore credible nature otherwise may seen typically disneyfied ethnic tale "
[35] " also couple visually standout scenes one involving charge shanyus hun army utilizes computerenhanced imagery disney animators employed since chandelier beauty beast "                                                               
[36] " scene worth mentioning quick might miss "                                                                                                                                                                                            
[37] " mulan resolves take fathers place dons fathers old battle armor unsheathes sword "                                                                                                                                                   
[38] " can see reflection polished metal "                                                                                                                                                                                                  
[39] " just left thinking really cool "                                                                                                                                                                                                     
[40] " wonderful range performances delight audience throughout film varying straight soontek oh fa zhou comical harvey fierstein yao gruff pugilistic member shangs conscripted army "                                                     
[41] "even outrageous eddie murphy mushu diminutive guardian dragon sent look mulan "                                                                                                                                                       
[42] "although obvious attempt relive chemistry brought forth robin williams aladdin murphy nevertheless distinguishes winning performance "                                                                                                
[43] " found choice b d "                                                                                                                                                                                                                   
[44] "wong shang little strange may remember martin shorts wedding planner assistant father bride used robbie benson voice beast beauty beast guess anythings possible "                                                                    
[45] " event wong performs admirably well "                                                                                                                                                                                                 
[46] "one character provides significant amount humor grandmother fa "                                                                                                                                                                      
[47] " deserves recognition levity brings movie also voiced two remarkable people "                                                                                                                                                         
[48] "june foray supplies grandmother fas speaking voice venerable voice actress may best known work rocky squirrel natasha fatale boris natasha "                                                                                          
[49] "marni nixon provides grandmother fas singing voice vocalist dubbed voices anna king maria west side story eliza fair lady "                                                                                                           
[50] " mind hearing grandmother fa like listening little piece history "                                                                                                                                                                    
[51] "mulan latest disney animated feature get away eurocentrism long dominated disney films "                                                                                                                                              
[52] " effort culturally sensitive avoid miss saigon type debacle disney also wisely chosen employ many asianamerican actors lead supporting roles "                                                                                        
[53] " addition actors already mentioned cast includes ubiquitous talents james hong gedde watanabe james shigeta george takei "                                                                                                            
[54] " guess clyde kusatsu wasnt available "                                                                                                                                                                                                
[55] " running time slightly hour half mulan moves quickly provides solid entertainment children happily adults "                                                                                                                           
[56] " kind disney feature makes wonder will next rather hope next one better "                                                                                                                                                             
