 [1] " remake alfred hitchcock film best uncertain project perfect murder illustrates "                                                                                                                                                 
 [2] "frankly dial m murder one master directors greatest efforts ample room improvement "                                                                                                                                              
 [3] "unfortunately instead updating script ironing faults speeding pace little perfect murder inexplicably managed eliminate almost everything worthwhile dial m murder leaving behind nearly unwatchable wreckage wouldbe s thriller "
 [4] "almost suspense films loaded plot implausibilities "                                                                                                                                                                              
 [5] " best thrillers keep viewers involved enough whats going flaws logic dont become apparent long final credits rolled "                                                                                                             
 [6] "unfortunately perfect murder faults often overt become aware theyre happening "                                                                                                                                                   
 [7] " bad sign "                                                                                                                                                                                                                       
 [8] " occurrences shatter suspension disbelief astute viewer looking next blunder "                                                                                                                                                    
 [9] " course case perfect murder least gives audience member something besides concentrating inane plot lifeless cardboard characters "                                                                                                
[10] " perfect murder isnt strict remake dial m murder borrow heavily frederick knotts play also source material hitchcocks version well madefortv retelling "                                                                          
[11] "emily hayes gwyneth paltrow wealthy wife powerful wall street moverandshaker steven hayes michael douglas "                                                                                                                       
[12] " marriage isnt going well emily resents stevens controlling instincts form rebellion affair penniless painter david shaw viggo mortensen "                                                                                        
[13] " steven learns relationship decides confront david approach isnt typical cuckolded husband "                                                                                                                                      
[14] "instead yelling threatening steven offers david proposal thats good resist cash rest break stevens new york apartment kill emily "                                                                                                
[15] " course getting first payment david never bothers ask hes supposed get rest "                                                                                                                                                     
[16] "ultimately im sure three main characters supposed sympathetic coldhearted husband wants wife dead can get hands fortune mercenary lover willing deed halfamillion woman happily carrying extramarital affair "                    
[17] " individuals profoundly dislikable theyre interesting "                                                                                                                                                                           
[18] " possible make good movie detestable characters see reservoir dogs something compelling case isnt "                                                                                                                               
[19] "steven emily david lifted directly screenwriting text book stereotypes "                                                                                                                                                          
[20] " actors film obviously just hand get paychecks "                                                                                                                                                                                  
[21] "michael douglas playing kind heartless tycoon can sleep hes gordon gekko unfaithful wife "                                                                                                                                        
[22] "gwyneth paltrow recently delightful appealing sliding doors simply awful "                                                                                                                                                        
[23] " now dubious distinction starred two s worst thrillers hush "                                                                                                                                                                     
[24] " least viggo mortensen g "                                                                                                                                                                                                        
[25] "jane little fun part usually interesting things even bad movies "                                                                                                                                                                 
[26] " thin supporting cast includes david suchet star poirot police inspector sarita choudhury kama sutra emilys best friend "                                                                                                         
[27] " perfect murder plodding production generates almost suspense beginning end "                                                                                                                                                     
[28] " arent many twists turns unexpectedly linear script makes ending inevitable almost start "                                                                                                                                        
[29] " surprising see director andrew davis man behind fugitive involved mess like stars needs earn living "                                                                                                                            
[30] " just remaking hitchcock badly hardly seems honorable way go getting dough "                                                                                                                                                      
