 [1] " s many european intellectuals especially left political hemisphere became obsessed rise fascism "                                                                                                                                                                                                     
 [2] " wasnt hard expect social turmoil s economic decline s seemed breeding ground many dangerous ideologies "                                                                                                                                                                                              
 [3] " times political involvement associated noble passion many filmmakers tried warn present generations dangers lurk ahead giving look prewar europe circumstances led phenomena like fascist italy nazi germany "                                                                                        
 [4] " course authors jumped bandwagon less noble reasons "                                                                                                                                                                                                                                                  
 [5] " moral depravity fascism explained audience explicitly showing sexual depravity era "                                                                                                                                                                                                                  
 [6] " naturally made films popular among teen audience "                                                                                                                                                                                                                                                    
 [7] "one filmmakers italian director tinto brass later made career shooting expensive stylish soft porn "                                                                                                                                                                                                   
 [8] "salon kitty film losely based novel peter nordern book deals bizarre yet true story took place first years ww "                                                                                                                                                                                        
 [9] " walter schellenberg one heads nazi intelligence service set elite exclusive brothel berlin clientele comprised top nazi officials foreign diplomats "                                                                                                                                                 
[10] "none customers knew girls nazi agents rooms happened bugged "                                                                                                                                                                                                                                          
[11] " bizarre thing fact even kitty nominal madame brothel didnt know real purpose enterprise "                                                                                                                                                                                                             
[12] "screenplay tinto brass course simplifies story changes names "                                                                                                                                                                                                                                         
[13] "schellenberg now wallenberg helmut berger ambitious nazi official wants use brothel order blackmail way top "                                                                                                                                                                                          
[14] "kitty kellerman ingrid thulin apart madam second job cabaret singer "                                                                                                                                                                                                                                  
[15] "caught net depravity sweet innocent girl margerithe theresa ann savoy thrown brothel "                                                                                                                                                                                                                 
[16] " falls love customer hans reiter bekim fehmiu disenchanted pilot luftwaffe "                                                                                                                                                                                                                           
[17] " margerithe discovers lover executed defeatist speeches made brothel finds place bugged "                                                                                                                                                                                                              
[18] " informs madam real situation women decide confront wallenberg "                                                                                                                                                                                                                                       
[19] " tend bash benigni exploiting holocaust topic comedy probably go bananas watching film uses darkest pages european history cheap sexploitation "                                                                                                                                                       
[20] " although salon kitty doesnt happen anything rather stylish expensive soft porn although successful supposedly erotic scenes quite unappealing try multidimensional characters even something resembling dramatic conflict time powerhungry scruples wallenberg hedonistic womanhood symbolised kitty "
[21] "unfortunately brass seems overuse cinematical references probably thinking repeat successful interaction berger thulin luchino viscontis damned noticeable irritating ingrid thulins unsuccessful attempt imitate lisa minellis musical numbers cabaret "                                              
[22] " salon kitty failure although interesting moments "                                                                                                                                                                                                                                                    
