 [1] " love movies "                                                                                                                                                                                       
 [2] " really "                                                                                                                                                                                            
 [3] "every time watch great movies like goodfellas raiders lost ark tear comes eye due awesome talent skill entertainment display "                                                                       
 [4] "even lower grade films naked gun ghostbusters ii exactly brilliantly well made certainly waste celluloid present entertainment value "                                                               
 [5] " theres favourite martian exact opposite movie hurried poorly written acted movie one goal make money "                                                                                              
 [6] "disney ever since lion king lost magic touch dross just shows far disney sunk "                                                                                                                      
 [7] "christopher lloyd plays martian crash lands front t v reporters tim ohara car daniels soon tim finds martian home trying recover fix spaceship "                                                     
 [8] "along zoot spacesuit voiced wayne knight must fix spaceship explodes also try stop identity revealed public firstly ohara later rival t v presenter brace channing hurley calling tims uncle martin "
 [9] "laughter supposed arise comical events never "                                                                                                                                                       
[10] "many bad films good intentions favourite martian doesnt appear try provide entertainment "                                                                                                           
[11] "filled brim wham bang special effects favourite martian offers little nice eye candy "                                                                                                               
[12] "christopher lloyd mugs way entire movie ive never seen man pull face minutes now "                                                                                                                   
[13] "jeff daniels plays staple nice guy role useless "                                                                                                                                                    
[14] " performance incredibly lazy although paperthin character doesnt deserve performance gives "                                                                                                         
[15] "darryl hannah looks pretty ever role somewhat erm limited "                                                                                                                                          
[16] "hurley mistakes acting shouting looking like twit wins david wilcock award irritating godawful performance moving picture "                                                                          
[17] "way go liz "                                                                                                                                                                                         
[18] " supporting cast disney manage assemble every character actor film going guy ah er "                                                                                                                 
[19] " finally giving switching "                                                                                                                                                                          
[20] "another major setback staple comedy sidekick "                                                                                                                                                       
[21] "unfortunately writers sherri stoner deanna oliver anyone cares forget comedy sidekick needs funny "                                                                                                  
[22] "instead deliver zoot martians deeply unfunny sidekick "                                                                                                                                              
[23] "although meant manic character doubt every line comes neck dud "                                                                                                                                     
[24] " real dud "                                                                                                                                                                                          
[25] "citizen kane delivers laughs minute hell spawn piece polyester "                                                                                                                                     
[26] "even kids audience insulted character one child even bothered smirk "                                                                                                                                
[27] " nice special effect though "                                                                                                                                                                        
[28] "another problems comedy gags "                                                                                                                                                                       
[29] " rather lack "                                                                                                                                                                                       
[30] " favourite martian reaches new level toilet humour goes past bowl pipe sewer "                                                                                                                       
[31] "now toilet humour can funny dumb dumber humorously showed "                                                                                                                                          
[32] " characters farting belching almost getting crapped literally amusing "                                                                                                                              
[33] " insulting "                                                                                                                                                                                         
[34] "theres one good gag right credits appears guy wrote gag tragically died unfunny twin continued "                                                                                                     
[35] "either hoping easy please six year olds wouldnt mind fact movie beaten men work funny stakes "                                                                                                       
[36] "yes men work "                                                                                                                                                                                       
[37] "yowza "                                                                                                                                                                                              
[38] " fact lot money pumped film actually got people agree film just depresses even "                                                                                                                     
[39] " thousands brilliant films cant get distribution yet trash like gets released nationwide ease "                                                                                                      
[40] "thankfully soon makes money will never seen favourite martian will end two lead characters near end movie toilet "                                                                                   
