 [1] "way gun brimming surprises good bad "                                                                                                                                                                                                                                                                                                                                              
 [2] "one good ones ryan phillippes surprisingly halfway decent performance "                                                                                                                                                                                                                                                                                                            
 [3] " actor gained much attention posing preening teen swill like know last summer hinted bit growth last years cruel intentions amusingly contemptuous john malkovich meets james spader performance though acting film faltered around third act mark precisely screenplay made character grow heart presumably appeal training bra wearing fans start bellyaching hed fallen target "
 [4] " dramatic shift neither phillippe films director negotiate "                                                                                                                                                                                                                                                                                                                       
 [5] " seems trying shouldnt overlooked probably praised seeing point really isnt required much look pretty "                                                                                                                                                                                                                                                                            
 [6] " phillippe procured five day growth beard hair askew affect altered sound something like james cagney look see glory "                                                                                                                                                                                                                                                             
 [7] " tough believe pretty boy like phillippe hard ass performance actually helps illusion "                                                                                                                                                                                                                                                                                            
 [8] "unlike ben afflecks puppy dog approach reindeer games phillippe believable bad "                                                                                                                                                                                                                                                                                                   
 [9] " plot well thats one bad surprises phillippe great benicio del torro play two moronic even remotely likeable criminals introduced us parking lot rave stupidly pick fight twenty people hatch scheme kidnap surrogate mother juliette lewis overhearing shes carrying baby painter scott wilson well connected wealthy man "                                                       
[10] " kidnapping devolves laborious shoot much damage done many killed "                                                                                                                                                                                                                                                                                                                
[11] " antiheroes escape woman aging hit man james caan two scheming bodyguards taye diggs nicky katt remain pursuit "                                                                                                                                                                                                                                                                   
[12] "directed christopher mcquarrie screenwriter won oscar work usual suspects overrated piece crime noir many circles one included way gun hodgepodge crime thriller motifs just oozes eye rolling familiarity "                                                                                                                                                                       
[13] "unlike phillipe mcquarrie doesnt seem growing fills flick sprawling labyrinth plot snatched movies know ive seen worse feels like "                                                                                                                                                                                                                                                
[14] " film lacks even fresh approach like soderbergh sight limey clich s spewed us picture tries desperately hip gritty without bothering notice common "                                                                                                                                                                                                                               
[15] " features characters living code seemed picked sam peckinpah rather thing resembling life "                                                                                                                                                                                                                                                                                        
[16] "even attempts emotional weight feel strained like preposterous scene enemies james caan benicio del torro stop tracks cup coffee pontificate life philosophy etc didnt like bit much first appeared heat even self consciously dramatic "                                                                                                                                          
[17] "usual suspects also featured bunch low lives seemed live code learned movies worked degree astonishing twist ending "                                                                                                                                                                                                                                                              
[18] "nowadays astonishing twist per ending de rigeur never mind deems transpired completely inconsequential "                                                                                                                                                                                                                                                                           
[19] "thus nearly every character way comes least one dirty little secret amateurishly projected appear ironic little twist end nothing earth shattering like usual suspects admit didnt see coming smiled "                                                                                                                                                                             
[20] "however movie feels exactly like interrogation scenes palminteri spacey usual suspects lot faux huffing puffing rhythm reason "                                                                                                                                                                                                                                                    
[21] " substance "                                                                                                                                                                                                                                                                                                                                                                       
[22] " just overplotted suspects often dull overplotted movie without interesting characters distinctive style good script "                                                                                                                                                                                                                                                             
[23] "even good stuff involves james caan fine job feels odd place movie thinks lines like karma justice satisfaction clever "                                                                                                                                                                                                                                                           
[24] " one point caan laments need ultimate monkey line inexplicable might well said love like hippo ass "                                                                                                                                                                                                                                                                               
[25] "ive seen porno better dialogue "                                                                                                                                                                                                                                                                                                                                                   
[26] " better plot lines "                                                                                                                                                                                                                                                                                                                                                               
[27] " rarely porn offered talented cast mean can even compare james caan ron jeremy "                                                                                                                                                                                                                                                                                                   
[28] "caan slips role seeming ease kind softspoken tough guy coma manages give character depth weariness "                                                                                                                                                                                                                                                                               
[29] "benicio del torro always welcome though plays fairly straight rather another oddball character creation like ones actor gave us usual suspects excess baggage adopting brad pittesque quizzical pout go along heavy swaggering "                                                                                                                                                   
[30] "speaking pitt ex juliette lewis weak link either shouting lines ear shattering shrillness waddling like silly goose "                                                                                                                                                                                                                                                              
[31] "nicky katt brilliant brief role limey role just brief seems wasted hes kept around cold presence "                                                                                                                                                                                                                                                                                 
[32] "taye diggs similar function cool ever never character though guy one helluva death scene "                                                                                                                                                                                                                                                                                         
[33] " part way incessantly talky reason give hippos ass thing transpires since characters never simplistic pawns "                                                                                                                                                                                                                                                                      
[34] " vaguely tarantinoish bad truth consequences nm way phillippe one scene leaping stupid rant faggots migrating los angeles "                                                                                                                                                                                                                                                        
[35] " know routine "                                                                                                                                                                                                                                                                                                                                                                    
[36] " final shoot pure bargain basement john woo seems bargain basement john woo interchangeable bad guys lining shot "                                                                                                                                                                                                                                                                 
[37] " gun shots sure crack like thunder "                                                                                                                                                                                                                                                                                                                                               
[38] "just day watching old dirty harry movie cable stunned hear weak elephant gruntlike sound emanated harrys fetishized smith wesson "                                                                                                                                                                                                                                                 
[39] "oh far weve come "                                                                                                                                                                                                                                                                                                                                                                 
