 [1] "words thought id never write sequel urban legend lacks grace wit power original "                                                                                                                                
 [2] "put gun head pull trigger put misery "                                                                                                                                                                           
 [3] "better yet put horror genre misery "                                                                                                                                                                             
 [4] " youve finished watching urban legends final cut youll share grim point view thanks horrible acting terrible script ridiculous directing become common today "                                                   
 [5] "urban legends final cut smorgasbord stolen movie ideas mainly blair witch project scream fabulous people perfect teeth skin one creepy film school dog eating freshly removed kidney one movies hapless victims "
 [6] "urban legends delivers story bunch film students working thesis films win coveted hitchcock award guarantees winner director deal hollywood "                                                                    
 [7] "one female filmmaker jennifer morrison freaky dead girl stir echoes writes fiction script based serial killer kills victims according urban legend tales "                                                       
 [8] "suddenly entire crew starts getting bumped urbanlegendary homicides bodies always missing often witness killings "                                                                                               
 [9] " killer wears fencing mask long black overcoat looking like scorned olympian avenge defeat sydney "                                                                                                              
[10] " scary never explained "                                                                                                                                                                                         
[11] " course golden rule sequels must least one recurring character continuitys sake "                                                                                                                                
[12] "urban legends one minor recurring character original never cared anyway security guard people "                                                                                                                  
[13] " central problem character already seen urban legend killings shes utterly clueless whats going around "                                                                                                         
[14] "call suspension disbelief "                                                                                                                                                                                      
[15] " film also prime example horror films now completely dead water "                                                                                                                                                
[16] " last decent horror film blair witch project seemed like snuff film fiction "                                                                                                                                    
[17] " stalking killer crazy motivation become tired clich everyone seems forgotten real horror seen unknown "                                                                                                         
